episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,1,1.0006,3.7525,1503,500,1503,500,1.0103,1.0069,0.000642852,0.000672203,0.00196201,0.00201384
0,Hankel a0 rollout,1,1.0001,1.5294,1503,500,1503,500,1.0006,1.0003,0.000649578,0.000665746,0.00196125,0.00200053
0,Hankel a1 rollout,1,1.0003,2.5629,1503,500,1503,500,1.0082,1.0020,0.000649873,0.000670811,0.00197216,0.00200401
0,Hankel a2 rollout,1,1.0003,5.1555,1503,500,1503,500,1.0273,1.0191,0.00066418,0.000683515,0.00199931,0.00203816
0,Hankel a3 rollout,1,1.0002,4.0804,1503,500,1503,500,1.0269,1.0157,0.00066216,0.000683227,0.00199565,0.00203131
0,Hankel a4 rollout,1,1.0004,2.6351,1503,500,1503,500,1.0215,1.0160,0.000660234,0.000679631,0.00199942,0.00203208
0,Hankel a5 rollout,1,1.0007,8.2000,1503,500,1503,500,1.0229,1.0100,0.000652517,0.000680601,0.0019782,0.00201994
100,Hankel Q rollout,5,1.0018,1.1318,1503,500,1503,500,4.1200,3.3155,0.000147404,0.00274116,0.00048207,0.00663108
100,Hankel a0 rollout,425,2.3409,1.0922,1503,500,1503,500,1.9866,1.1181,0.000416126,0.00132174,0.0017322,0.00223623
100,Hankel a1 rollout,477,2.6054,1.0775,1503,500,1503,500,1.5613,1.0314,0.000535713,0.00103877,0.00187893,0.00206287
100,Hankel a2 rollout,471,2.6950,1.1278,1503,500,1503,500,1.5833,1.0402,0.000477931,0.00105345,0.00189782,0.00208048
100,Hankel a3 rollout,474,2.8440,1.3110,1503,500,1503,500,1.5317,1.0436,0.00054162,0.00101907,0.00191082,0.00208727
100,Hankel a4 rollout,490,3.1090,1.1875,1503,500,1503,500,1.1869,1.0172,0.000576858,0.000789713,0.00192883,0.00203444
100,Hankel a5 rollout,489,3.1461,1.2243,1503,500,1503,500,1.2680,1.0153,0.000581302,0.000843637,0.00195985,0.00203058
200,Hankel Q rollout,1,1.0006,1.0572,1503,500,1503,500,1.0233,1.0074,0.000632522,0.000680836,0.00191181,0.00201481
200,Hankel a0 rollout,455,2.6189,1.0745,1503,500,1503,500,1.5452,1.0535,0.000274791,0.00102808,0.00191844,0.00210707
