episode,reward,steps
0,-180.041013,1000
1,-418.699379,1000
2,-371.884604,1000
3,-210.609334,1000
4,-341.345064,1000
5,-434.870232,1000
6,-260.83473,1000
7,-197.658596,1000
8,-275.357871,1000
9,-225.052387,1000
10,-378.985061,1000
11,-154.571989,1000
12,-265.555701,1000
13,-311.868009,1000
14,-293.219625,1000
15,-173.403392,1000
16,-158.288061,1000
17,-165.455506,1000
18,-214.46348,1000
19,-144.125616,1000
20,-256.702357,1000
21,-194.920538,1000
22,-137.324552,1000
23,-327.922229,1000
24,-115.004607,1000
25,22.648339,1000
26,922.927266,1000
27,227.196935,1000
28,1022.768926,1000
29,1238.11982,1000
30,1505.63025,1000
31,1901.30947,1000
32,1806.42962,1000
33,1398.790286,1000
34,1923.96662,1000
35,2289.962802,1000
36,2206.706816,1000
37,2751.227578,1000
38,2749.51684,1000
39,2539.638798,1000
40,2817.46838,1000
41,2519.146922,1000
42,2683.521057,1000
43,2867.147478,1000
44,3228.948528,1000
45,2919.198521,1000
46,3198.575296,1000
47,3126.029671,1000
48,3400.596458,1000
49,3342.664618,1000
50,3547.01212,1000
51,3764.067835,1000
52,3395.224995,1000
53,3745.728062,1000
54,3734.937343,1000
55,3595.988123,1000
56,4135.247103,1000
57,4045.012155,1000
58,3763.35507,1000
59,4044.425959,1000
60,3840.232552,1000
61,4226.640971,1000
62,3980.456229,1000
63,3992.447033,1000
64,3952.467851,1000
65,4021.086377,1000
66,4283.67761,1000
67,4289.370634,1000
68,4219.046376,1000
69,4257.582293,1000
70,3831.766401,1000
71,4387.827843,1000
72,4327.573711,1000
73,4452.661399,1000
74,4283.621171,1000
75,4308.958043,1000
76,4456.440678,1000
77,3626.705846,1000
78,4234.720279,1000
79,4329.348446,1000
80,4497.903172,1000
81,4375.755172,1000
82,4212.603101,1000
83,4286.874517,1000
84,4365.851655,1000
85,4449.036033,1000
86,4487.460773,1000
87,4444.507207,1000
88,4450.580226,1000
89,4357.087361,1000
90,4340.085836,1000
91,4404.859864,1000
92,4498.745651,1000
93,4684.917576,1000
94,4268.173993,1000
95,4581.583665,1000
96,987.804318,1000
97,4588.013822,1000
98,4406.012443,1000
99,4545.615036,1000
100,629.544149,1000
101,4588.976785,1000
102,4602.370295,1000
103,4609.310082,1000
104,4684.322817,1000
105,4403.318219,1000
106,2614.250564,1000
107,4251.07096,1000
108,4785.649942,1000
109,4742.231812,1000
110,4998.196974,1000
111,4651.847346,1000
112,4612.473877,1000
113,4581.980431,1000
114,4823.296592,1000
115,4703.168006,1000
116,4868.631019,1000
117,4701.138838,1000
118,4703.822543,1000
119,4506.382232,1000
120,4720.606084,1000
121,4657.126699,1000
122,4612.962232,1000
123,4549.771239,1000
124,1983.894116,1000
125,4628.322692,1000
126,4656.711974,1000
127,4674.979077,1000
128,4706.166136,1000
129,4660.220402,1000
130,4676.991369,1000
131,4691.498476,1000
132,4827.817933,1000
133,4751.366997,1000
134,4743.097439,1000
135,4700.587256,1000
136,4640.160732,1000
137,4890.130877,1000
138,4718.61494,1000
139,4835.316696,1000
140,4847.189642,1000
141,4884.259388,1000
142,4795.854965,1000
143,4946.250545,1000
144,4985.333881,1000
145,4993.429851,1000
146,4836.243672,1000
147,4873.893555,1000
148,4783.713927,1000
149,4858.835,1000
150,4947.795817,1000
151,4822.827623,1000
152,5036.082693,1000
153,4858.403104,1000
154,4983.281962,1000
155,4903.873972,1000
156,5046.473439,1000
157,5238.172604,1000
158,4943.227837,1000
159,5134.221249,1000
160,5091.018631,1000
161,4859.438882,1000
162,5123.674998,1000
163,5009.597765,1000
164,5087.513407,1000
165,5023.193358,1000
166,4950.297233,1000
167,5170.415299,1000
168,5152.013865,1000
169,5066.306992,1000
170,5293.734149,1000
171,5363.025943,1000
172,5155.458311,1000
173,5292.355917,1000
174,5227.282932,1000
175,5204.251087,1000
176,5084.888876,1000
177,5121.738443,1000
178,5096.775405,1000
179,5193.564359,1000
180,5159.850541,1000
181,5354.342759,1000
182,5098.501653,1000
183,5325.594841,1000
184,5113.189668,1000
185,5322.273081,1000
186,5282.730458,1000
187,5406.934727,1000
188,5207.839003,1000
189,5320.876635,1000
190,5415.731488,1000
191,5298.747532,1000
192,5289.0093,1000
193,5424.730042,1000
194,5389.491186,1000
195,5399.299295,1000
196,5334.104391,1000
197,5490.971385,1000
198,5232.010237,1000
199,5407.460962,1000
200,5530.115523,1000
201,5289.388705,1000
202,5338.895091,1000
203,5314.111879,1000
204,5275.794962,1000
205,5440.25724,1000
206,5561.176827,1000
207,5272.523441,1000
208,5378.933507,1000
209,5475.925878,1000
210,5521.927732,1000
211,5655.368787,1000
212,5506.624708,1000
213,5471.01722,1000
214,5362.501937,1000
215,5423.835333,1000
216,5491.683385,1000
217,5584.034662,1000
218,5595.294807,1000
219,5537.586562,1000
220,5580.568249,1000
221,5581.811819,1000
222,5652.525642,1000
223,5638.018105,1000
224,5489.406118,1000
225,3603.791433,1000
226,5381.866677,1000
227,5559.023312,1000
228,5607.436376,1000
229,5719.07387,1000
230,5752.939731,1000
231,5497.036236,1000
232,5590.889035,1000
233,5609.704306,1000
234,5471.682703,1000
235,5355.47999,1000
236,5771.275249,1000
237,5657.172579,1000
238,5769.524887,1000
239,5467.758313,1000
240,5682.67734,1000
241,5531.935875,1000
242,5764.298604,1000
243,5587.041578,1000
244,5633.501915,1000
245,5620.108179,1000
246,5591.190349,1000
247,5513.860097,1000
248,5664.756159,1000
249,5578.857124,1000
250,5627.242949,1000
251,5692.980977,1000
252,5848.626876,1000
