episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,1,1.0006,3.7525,1503,500,1503,500,1.0103,1.0069,0.000642852,0.000672203,0.00196201,0.00201384
0,Hankel a0 rollout,1,1.0001,1.5294,1503,500,1503,500,1.0006,1.0003,0.000649578,0.000665746,0.00196125,0.00200053
0,Hankel a1 rollout,1,1.0003,2.5629,1503,500,1503,500,1.0082,1.0020,0.000649873,0.000670811,0.00197216,0.00200401
0,Hankel a2 rollout,1,1.0003,5.1555,1503,500,1503,500,1.0273,1.0191,0.00066418,0.000683515,0.00199931,0.00203816
0,Hankel a3 rollout,1,1.0002,4.0804,1503,500,1503,500,1.0269,1.0157,0.00066216,0.000683227,0.00199565,0.00203131
0,Hankel a4 rollout,1,1.0004,2.6351,1503,500,1503,500,1.0215,1.0160,0.000660234,0.000679631,0.00199942,0.00203208
0,Hankel a5 rollout,1,1.0007,8.2000,1503,500,1503,500,1.0229,1.0100,0.000652517,0.000680601,0.0019782,0.00201994
100,Hankel Q rollout,1,1.0005,1.0611,1503,500,1503,500,1.0287,1.0183,0.000635662,0.000684448,0.00191748,0.00203667
100,Hankel a0 rollout,429,2.0543,1.1032,1503,500,1503,500,1.3370,1.0470,0.000488737,0.000889584,0.00187527,0.00209405
100,Hankel a1 rollout,446,3.3551,1.1139,1503,500,1503,500,1.1943,1.0671,0.00056746,0.000794638,0.00188626,0.00213427
100,Hankel a2 rollout,349,2.0172,1.1010,1503,500,1503,500,1.9776,1.2086,0.000409459,0.00131577,0.00175096,0.00241712
100,Hankel a3 rollout,469,2.7740,1.1590,1503,500,1503,500,1.2479,1.0303,0.000520669,0.000830301,0.0019367,0.0020607
100,Hankel a4 rollout,416,2.0394,1.0820,1503,500,1503,500,1.4522,1.1456,0.000501883,0.000966225,0.00180824,0.00229123
100,Hankel a5 rollout,479,2.0524,1.2175,1503,500,1503,500,1.1951,1.0289,0.000542108,0.000795163,0.00195673,0.00205786
200,Hankel Q rollout,1,1.0003,1.0388,1503,500,1503,500,1.0178,1.0068,0.000632643,0.000677163,0.00191543,0.0020137
200,Hankel a0 rollout,233,2.0056,1.0569,1503,500,1503,500,3.8420,1.9674,0.000268285,0.0025562,0.00144423,0.00393485
