episode,reward,steps
0,-180.041013,1000
1,-418.699379,1000
2,-371.884604,1000
3,-210.609334,1000
4,-341.345064,1000
5,-434.870232,1000
6,-260.83473,1000
7,-197.658596,1000
8,-275.357871,1000
9,-225.052387,1000
10,-378.985061,1000
11,-154.571989,1000
12,-265.555701,1000
13,-311.868009,1000
14,-293.219625,1000
15,-173.403392,1000
16,-158.288061,1000
17,-165.455506,1000
18,-214.46348,1000
19,-144.125616,1000
20,-587.822032,1000
21,-316.12156,1000
22,-149.445531,1000
23,-220.017618,1000
24,-128.896232,1000
25,-153.133912,1000
26,-209.183999,1000
27,-163.872573,1000
28,-159.155429,1000
29,-193.980197,1000
30,-185.286726,1000
31,-183.749252,1000
32,-212.253306,1000
33,-224.139998,1000
34,-225.910886,1000
35,-251.978156,1000
36,-277.070395,1000
37,-222.430903,1000
38,-242.522482,1000
39,-210.734414,1000
40,-163.025552,1000
41,-172.774313,1000
42,-158.489444,1000
43,-196.46459,1000
44,-177.776214,1000
45,-160.332815,1000
46,-100.574586,1000
47,-119.191647,1000
48,-107.879493,1000
49,-99.49698,1000
50,-103.840333,1000
51,-64.687,1000
52,24.519337,1000
53,-6.914532,1000
54,-64.178272,1000
55,23.838526,1000
56,73.282769,1000
57,26.051252,1000
58,46.437089,1000
59,56.661355,1000
60,-6.799944,1000
61,109.570774,1000
62,87.832182,1000
63,49.225816,1000
64,159.642728,1000
65,135.203315,1000
66,85.445404,1000
67,115.386582,1000
68,88.253753,1000
69,88.586422,1000
70,85.708969,1000
71,107.760788,1000
72,78.202302,1000
73,96.820391,1000
74,183.623498,1000
75,102.365936,1000
76,220.433794,1000
77,108.696493,1000
78,194.895427,1000
79,140.589441,1000
80,169.478968,1000
81,119.462845,1000
82,262.825434,1000
83,203.815247,1000
84,170.307005,1000
85,187.51094,1000
86,229.455795,1000
87,144.434403,1000
88,188.559272,1000
89,255.346593,1000
90,180.924128,1000
91,131.782836,1000
92,160.334429,1000
93,189.773569,1000
94,183.562155,1000
95,222.611042,1000
96,197.369336,1000
97,181.066315,1000
98,164.306829,1000
99,245.855057,1000
100,241.294996,1000
101,158.552919,1000
102,187.541902,1000
103,191.733522,1000
104,185.887993,1000
105,182.15887,1000
106,340.924006,1000
107,278.305984,1000
108,304.402705,1000
109,314.048702,1000
110,309.674587,1000
111,231.695776,1000
112,311.87495,1000
113,234.571084,1000
114,279.629265,1000
115,281.812957,1000
116,292.085085,1000
117,210.708123,1000
118,244.02047,1000
119,250.893976,1000
120,260.011156,1000
121,309.470499,1000
122,348.610319,1000
123,379.184522,1000
124,390.784649,1000
125,335.786913,1000
126,758.367976,1000
127,683.964889,1000
128,1130.97667,1000
129,995.896595,1000
130,434.18359,1000
131,416.067166,1000
132,1243.139041,1000
133,1141.563216,1000
134,1370.115116,1000
135,1566.462723,1000
136,1490.242934,1000
137,1775.129615,1000
138,493.660085,1000
139,2029.583064,1000
140,2112.573241,1000
141,2018.182207,1000
142,2119.558277,1000
143,2067.452114,1000
144,1960.492483,1000
145,2397.690285,1000
146,2350.026132,1000
147,2212.244928,1000
148,2376.13778,1000
149,2352.302968,1000
150,2262.691832,1000
151,2280.456444,1000
152,1811.487662,1000
153,2007.493594,1000
154,2254.798853,1000
155,2372.043856,1000
156,2390.600696,1000
157,2620.223786,1000
158,2501.394509,1000
159,2859.366712,1000
160,2590.925653,1000
161,3210.772875,1000
162,3418.610329,1000
163,2976.196489,1000
164,3341.164265,1000
165,3709.135257,1000
166,3403.000312,1000
167,3522.113723,1000
168,3636.128214,1000
169,3692.396607,1000
170,3761.912154,1000
171,3689.946939,1000
172,3874.184782,1000
173,3848.714593,1000
174,3876.192772,1000
175,3881.817138,1000
176,3788.738695,1000
177,3931.690444,1000
178,3956.027782,1000
179,3869.038454,1000
180,3998.17511,1000
181,4035.021815,1000
182,4047.489692,1000
183,4021.151929,1000
184,4108.153442,1000
185,4003.955031,1000
186,4090.761828,1000
187,3972.992006,1000
188,3922.688573,1000
189,4039.934761,1000
190,3980.069762,1000
191,3997.760563,1000
192,4142.736826,1000
193,4044.31994,1000
194,3931.281685,1000
195,4237.891873,1000
196,4224.206438,1000
197,4103.070612,1000
198,4145.66021,1000
199,2485.686244,1000
200,4063.784724,1000
201,4119.40475,1000
202,4085.783443,1000
203,4062.043406,1000
204,4186.841487,1000
205,4204.450073,1000
206,4192.27088,1000
207,4243.739936,1000
208,4076.506614,1000
209,4137.190762,1000
210,4108.51325,1000
211,4277.127121,1000
212,4141.508554,1000
213,4170.299345,1000
214,4348.695817,1000
215,4240.149665,1000
216,4278.535999,1000
217,4133.699511,1000
218,4317.95569,1000
219,4226.367826,1000
220,4192.78279,1000
221,4367.71642,1000
222,4147.655517,1000
223,4399.582383,1000
224,4139.690321,1000
225,4030.139458,1000
226,4351.71643,1000
227,4200.974467,1000
228,4207.811194,1000
229,4209.812661,1000
230,4240.42223,1000
231,4227.382978,1000
232,4251.889119,1000
233,4051.080212,1000
234,4164.032194,1000
235,4092.994234,1000
236,4129.956463,1000
237,4243.637395,1000
238,4263.733887,1000
239,4164.049901,1000
240,4319.787804,1000
241,4274.954177,1000
242,4176.477887,1000
243,4334.911539,1000
244,4225.672611,1000
245,4256.952326,1000
246,4385.585784,1000
247,4162.798388,1000
248,4397.564374,1000
249,4308.314258,1000
250,4186.285608,1000
251,4138.666645,1000
252,4404.650577,1000
253,4162.754344,1000
254,4215.734156,1000
255,4272.615547,1000
256,4253.40399,1000
257,4256.453967,1000
258,4296.88365,1000
259,4168.215691,1000
