grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03,pen_sv_04,pen_sv_05,pen_sv_06,pen_sv_07,pen_sv_08,pen_sv_09
0,10048,17,9,251,10,0,8.514538764953613,4.509583950042725,4.38642692565918,4.275768280029297,4.046211242675781,3.956099510192871,3.9188549518585205,3.8404552936553955,3.700396776199341,3.533254623413086,3.448671579360962,3.4070472717285156,3.2422046661376953,3.103423833847046,2.966888427734375,2.542130708694458,2.33335280418396,6.459447383880615,4.349643230438232,3.985933542251587,3.8730812072753906,3.659214735031128,3.537083864212036,3.445528984069824,3.189432144165039,2.507869005203247
0,10048,17,9,251,10,1,12.224997520446777,4.137818336486816,4.0747575759887695,3.748991012573242,3.649998188018799,3.4905998706817627,3.417133331298828,3.4016780853271484,3.336118459701538,3.1902623176574707,3.1296660900115967,3.003678560256958,2.828233242034912,2.7480268478393555,2.671863555908203,2.547605514526367,2.361015558242798,9.101987838745117,3.9811758995056152,3.666534662246704,3.400269031524658,3.216320514678955,3.1394786834716797,3.075277805328369,2.878654956817627,2.7340619564056396
5000,15040,17,9,249,16,0,2158.928955078125,79.39120483398438,50.4568977355957,34.263893127441406,28.94759178161621,25.743562698364258,22.15622901916504,20.399585723876953,16.724151611328125,14.82673454284668,14.229144096374512,13.17192554473877,11.96467399597168,11.766982078552246,10.641422271728516,9.647185325622559,9.227944374084473,1568.1767578125,49.359222412109375,29.61878204345703,22.146181106567383,17.37854766845703,15.420353889465332,12.85267162322998,10.92317008972168,10.516885757446289
5000,15040,17,9,249,16,1,2164.589111328125,77.51384735107422,51.133113861083984,33.77692794799805,29.710956573486328,25.664173126220703,21.95602035522461,20.83067512512207,17.866785049438477,16.08519744873047,13.43474292755127,13.255987167358398,12.672538757324219,12.344635009765625,10.737656593322754,10.319300651550293,9.50079345703125,1571.91552734375,49.65916061401367,30.41214942932129,21.696510314941406,18.462215423583984,16.073469161987305,13.458937644958496,11.417134284973145,10.832232475280762
10000,20032,17,9,250,21,0,1955.041748046875,77.9089126586914,49.63587188720703,32.86566162109375,26.25505828857422,24.90007209777832,21.478837966918945,16.713743209838867,15.274469375610352,14.373781204223633,13.356632232666016,11.963982582092285,11.292052268981934,10.659811019897461,10.410727500915527,9.420413970947266,8.98487377166748,1419.0379638671875,44.96260070800781,26.534696578979492,21.587770462036133,16.06981658935547,14.705538749694824,12.05260944366455,10.685081481933594,9.9365816116333
10000,20032,17,9,250,21,1,1952.673095703125,77.4398193359375,50.021358489990234,32.61891555786133,26.389144897460938,25.421812057495117,21.975353240966797,17.01801872253418,15.88630485534668,14.80690860748291,12.883161544799805,12.58039379119873,11.82286548614502,11.522771835327148,10.762414932250977,10.69762134552002,9.44814682006836,1417.0577392578125,44.76887893676758,25.866779327392578,22.41111946105957,16.68714141845703,14.710518836975098,12.171527862548828,11.157516479492188,10.849414825439453
15000,25024,17,9,247,25,0,1624.143310546875,90.58658599853516,62.42401123046875,43.50318908691406,33.277835845947266,30.626550674438477,22.63039779663086,18.001672744750977,17.6652889251709,14.745423316955566,13.88545036315918,13.164412498474121,11.40902042388916,10.885611534118652,10.526419639587402,9.915543556213379,9.711806297302246,1178.4920654296875,63.15419387817383,37.78984832763672,25.47071075439453,17.964218139648438,14.488486289978027,13.01701831817627,10.518319129943848,10.248087882995605
15000,25024,17,9,247,25,1,1621.1226806640625,90.00238037109375,65.13600158691406,43.90205383300781,33.36344909667969,30.34385871887207,22.62662696838379,19.82957649230957,17.922027587890625,15.88576602935791,14.157299995422363,13.487839698791504,11.576051712036133,11.304625511169434,10.853540420532227,9.841012954711914,9.141307830810547,1175.8526611328125,64.7735366821289,37.4956169128418,25.257112503051758,18.187501907348633,14.450430870056152,13.433841705322266,11.607102394104004,9.477526664733887
20000,30016,17,9,251,30,0,1852.380615234375,132.9102783203125,74.08419799804688,47.54456329345703,35.82686233520508,29.271574020385742,27.98847770690918,22.678234100341797,21.845735549926758,19.35706901550293,16.874149322509766,15.418251037597656,14.319872856140137,13.493416786193848,13.081624031066895,11.615763664245605,11.080988883972168,1346.0965576171875,68.86491394042969,39.65794372558594,28.18766212463379,22.58611297607422,20.022871017456055,14.744519233703613,13.785472869873047,12.391768455505371
20000,30016,17,9,251,30,1,1862.5791015625,133.34642028808594,74.3713150024414,47.90083312988281,35.24085235595703,28.633031845092773,27.46639633178711,22.637195587158203,21.214967727661133,18.312767028808594,17.404159545898438,15.35230541229248,14.06595230102539,13.28464412689209,12.821810722351074,11.527937889099121,10.367267608642578,1354.6978759765625,68.45254516601562,39.843505859375,27.369443893432617,21.45256805419922,17.96653938293457,14.685647964477539,13.104969024658203,11.989484786987305
25000,35008,17,9,248,35,0,2682.65625,158.65415954589844,84.06869506835938,47.56184005737305,39.588165283203125,35.25297164916992,31.519617080688477,28.496591567993164,24.700733184814453,24.246299743652344,19.99873161315918,17.810577392578125,17.142484664916992,16.376548767089844,15.414097785949707,14.580099105834961,14.363913536071777,1951.9544677734375,76.03289794921875,41.006126403808594,33.938720703125,28.193635940551758,22.268789291381836,17.437889099121094,15.971144676208496,15.573792457580566
25000,35008,17,9,248,35,1,2674.603759765625,158.5019073486328,84.53291320800781,46.455833435058594,38.47859573364258,34.39740753173828,29.53600311279297,28.1573543548584,25.14276885986328,23.365352630615234,19.031309127807617,17.5974178314209,16.593225479125977,15.902158737182617,14.585657119750977,13.805302619934082,13.050850868225098,1945.1068115234375,76.67537689208984,39.045814514160156,32.41068649291992,27.396753311157227,21.458370208740234,17.899995803833008,15.07978630065918,13.931196212768555
30000,40000,17,9,250,39,0,3899.687255859375,192.45538330078125,94.36811065673828,63.418827056884766,53.81132888793945,39.031864166259766,34.457393646240234,29.511259078979492,28.922306060791016,23.49786376953125,22.959367752075195,21.155590057373047,20.191530227661133,19.36125373840332,18.188283920288086,16.260433197021484,15.075298309326172,2847.6650390625,97.0345687866211,53.026023864746094,35.77188491821289,29.24680519104004,22.73695945739746,20.77912712097168,18.990217208862305,16.610591888427734
