episode,reward,steps
0,-219.339152,1000
1,-363.666137,1000
2,-303.729398,1000
3,-402.469499,1000
4,-407.006997,1000
5,-294.107017,1000
6,-323.174418,1000
7,-211.887325,1000
8,-430.054664,1000
9,-463.575061,1000
10,-152.74982,1000
11,-101.767676,1000
12,-240.212588,1000
13,-196.123157,1000
14,-182.932303,1000
15,-195.260328,1000
16,-217.087971,1000
17,-356.990261,1000
18,-520.669995,1000
19,-420.690245,1000
20,-267.529196,1000
21,-157.153393,1000
22,-158.070669,1000
23,478.093845,1000
24,-25.61843,1000
25,356.661369,1000
26,-153.485875,1000
27,650.456098,1000
28,288.545878,1000
29,671.350536,1000
30,884.293173,1000
31,635.449789,1000
32,1211.22957,1000
33,1432.847206,1000
34,1554.138338,1000
35,1708.970052,1000
36,1922.329226,1000
37,2212.674178,1000
38,1839.848909,1000
39,2508.368488,1000
40,2947.40947,1000
41,3009.448551,1000
42,3359.483367,1000
43,3557.424281,1000
44,3734.027254,1000
45,-208.317407,1000
46,3627.045214,1000
47,3430.945683,1000
48,3454.163274,1000
49,3593.108604,1000
50,4278.721335,1000
51,4185.849225,1000
52,4098.680272,1000
53,1857.384719,1000
54,4254.992964,1000
55,3212.707453,1000
56,1909.862144,1000
57,4533.101155,1000
58,4515.277456,1000
59,4913.08176,1000
60,4727.377374,1000
61,4807.166997,1000
62,4859.836607,1000
63,4784.155564,1000
64,4740.674754,1000
65,4853.010216,1000
66,4580.822693,1000
67,4734.951159,1000
68,4937.258825,1000
69,4770.2023,1000
70,4842.758693,1000
71,5011.170903,1000
72,4911.507574,1000
73,4949.335568,1000
74,4902.93573,1000
75,4769.184437,1000
76,4952.784545,1000
77,4989.4967,1000
78,5004.389318,1000
79,5271.934332,1000
80,4660.560092,1000
81,4837.350858,1000
82,5179.466409,1000
83,5170.675227,1000
84,4979.069041,1000
85,5128.78474,1000
86,5047.436344,1000
87,5086.122478,1000
88,5222.971807,1000
89,5171.306874,1000
90,5037.207079,1000
91,5065.02635,1000
92,5241.941088,1000
93,5179.227215,1000
94,5250.71772,1000
95,5374.541422,1000
96,5365.848519,1000
97,5462.98057,1000
98,5348.767293,1000
99,5176.610704,1000
100,5362.954323,1000
101,5174.355185,1000
102,5361.840069,1000
103,5193.431697,1000
104,5437.420376,1000
105,5670.526419,1000
106,5311.35873,1000
107,5510.849563,1000
108,5511.029221,1000
109,5558.424499,1000
110,5450.249706,1000
111,5504.316122,1000
112,5692.047037,1000
113,5501.074374,1000
114,5592.893,1000
115,5562.91451,1000
116,5579.113547,1000
117,5441.005661,1000
118,5488.281519,1000
119,5466.382734,1000
120,5644.721624,1000
121,5675.042765,1000
122,5706.205399,1000
123,5769.035238,1000
124,5699.444585,1000
125,5707.536058,1000
126,5741.54552,1000
127,5556.793895,1000
128,5948.102431,1000
129,5510.365723,1000
130,5709.828458,1000
131,5598.68297,1000
132,5588.514392,1000
133,5824.745886,1000
134,5843.468215,1000
135,5843.208515,1000
136,5824.110789,1000
137,5826.993692,1000
138,5715.512521,1000
139,5593.739862,1000
140,5718.328283,1000
141,5808.574258,1000
142,5805.054605,1000
143,5857.546716,1000
144,5671.008201,1000
145,5761.376204,1000
146,5887.607604,1000
147,5938.46633,1000
148,5980.660733,1000
149,5900.58915,1000
150,6041.096186,1000
151,6009.39723,1000
152,6047.277173,1000
153,5891.848919,1000
154,5826.687464,1000
155,5914.183506,1000
156,6012.228448,1000
157,5885.434654,1000
158,5994.91869,1000
159,5977.598443,1000
160,5992.182898,1000
161,5923.873951,1000
162,5917.808929,1000
163,5973.744774,1000
164,5939.709674,1000
165,5904.410817,1000
166,5968.379185,1000
167,5974.401554,1000
168,6076.042872,1000
169,6073.646963,1000
170,5958.052027,1000
171,5920.490287,1000
172,6003.033686,1000
173,6072.901012,1000
174,5960.176249,1000
175,6100.707375,1000
176,5899.263161,1000
177,6017.928073,1000
178,6087.060067,1000
179,6055.149831,1000
180,6114.850552,1000
181,6130.048125,1000
182,6093.802409,1000
183,6055.13693,1000
184,6070.690343,1000
185,6086.720375,1000
186,6001.620877,1000
187,6028.265784,1000
188,5915.475395,1000
189,6125.082445,1000
190,6099.434233,1000
191,6065.627283,1000
192,6167.82514,1000
193,6095.129889,1000
194,6167.260635,1000
195,6101.359789,1000
196,6061.172979,1000
197,6114.558487,1000
198,6080.442819,1000
199,6073.29426,1000
200,6140.383409,1000
201,6092.519011,1000
202,6072.818915,1000
203,6067.514289,1000
204,6205.679267,1000
205,6110.030443,1000
206,6194.361757,1000
207,6154.019968,1000
208,6103.992014,1000
209,6176.652424,1000
210,6228.235485,1000
211,6248.375399,1000
212,6051.269968,1000
213,6085.591332,1000
214,6152.477294,1000
215,6192.021172,1000
216,6165.431825,1000
217,6217.841178,1000
218,6170.694429,1000
219,6334.306087,1000
220,6246.261759,1000
221,6280.545466,1000
222,6182.281217,1000
223,6197.778086,1000
224,6206.957187,1000
225,6257.219798,1000
226,6264.952497,1000
227,6326.427889,1000
228,6250.014624,1000
229,6177.617469,1000
230,6231.342579,1000
231,6277.958929,1000
232,6322.522033,1000
233,6338.571555,1000
234,6150.460609,1000
235,6276.255824,1000
236,6258.571891,1000
237,6268.791381,1000
238,6433.690518,1000
239,6392.376739,1000
240,6212.678402,1000
241,6370.465153,1000
242,6206.594964,1000
243,6386.453063,1000
244,6250.999896,1000
245,6228.896086,1000
246,6335.274385,1000
247,6328.914868,1000
248,6282.513791,1000
249,6331.425654,1000
250,6424.442998,1000
251,6325.391701,1000
252,6446.849027,1000
253,6387.21064,1000
254,6388.299553,1000
255,6271.460873,1000
256,6487.097118,1000
257,6484.624295,1000
258,6301.296842,1000
259,6356.823644,1000
260,6375.78667,1000
261,6348.95664,1000
262,6353.706476,1000
263,6340.34273,1000
264,6356.156496,1000
265,6390.298211,1000
266,6441.114181,1000
267,6336.585415,1000
268,6469.402415,1000
269,6383.129833,1000
270,6395.387418,1000
271,6400.426849,1000
272,6486.225352,1000
273,6257.147583,1000
274,6378.493648,1000
275,6345.047407,1000
276,6569.851118,1000
277,6448.911173,1000
278,6408.611179,1000
279,6547.280231,1000
280,6445.268365,1000
281,6419.310333,1000
282,6443.841543,1000
283,6426.23013,1000
284,6461.803701,1000
285,6546.324742,1000
286,6542.828749,1000
287,6483.537106,1000
288,6572.472104,1000
289,6420.067076,1000
290,6496.870833,1000
291,6421.410608,1000
292,6491.438669,1000
293,6531.283875,1000
294,6522.165792,1000
295,6630.299288,1000
296,6446.821308,1000
297,6572.011307,1000
298,6336.011121,1000
299,6471.371511,1000
300,6401.101839,1000
301,6495.957533,1000
302,6443.763499,1000
303,6672.100182,1000
304,6588.418143,1000
305,6686.292325,1000
306,6537.55906,1000
307,6604.227474,1000
308,6718.78051,1000
309,6591.247395,1000
310,6520.348909,1000
311,6644.730864,1000
312,6630.946966,1000
313,6558.650771,1000
314,6462.657237,1000
315,6647.810237,1000
316,6610.580399,1000
317,6564.824084,1000
318,6619.654011,1000
319,6716.317556,1000
320,6655.787564,1000
321,6550.677763,1000
322,6642.418821,1000
323,6760.839825,1000
324,6730.140979,1000
325,6695.107675,1000
326,6712.342608,1000
327,6698.025383,1000
328,6562.711864,1000
329,6617.698286,1000
330,6870.325526,1000
331,6505.792751,1000
332,6727.469947,1000
333,6711.437431,1000
334,6630.555155,1000
335,6733.812783,1000
336,6546.493801,1000
337,6585.056779,1000
338,6726.499288,1000
339,6707.588912,1000
340,6638.504362,1000
341,6733.805411,1000
342,6792.919064,1000
343,6698.437117,1000
344,6716.728938,1000
345,6627.80199,1000
346,6594.606556,1000
347,6748.700281,1000
348,6696.57217,1000
349,6776.393365,1000
350,6680.341308,1000
351,6692.474362,1000
352,6618.804994,1000
353,6750.329964,1000
354,6677.93894,1000
355,6702.668116,1000
356,6943.803285,1000
357,6732.302104,1000
358,6768.671461,1000
359,6678.574305,1000
360,6788.324928,1000
361,6795.524719,1000
362,6596.548699,1000
363,6782.658148,1000
364,6789.418829,1000
365,6754.236058,1000
366,6821.718929,1000
367,6732.273952,1000
368,6731.833812,1000
369,6788.658752,1000
370,6896.830737,1000
371,6841.348019,1000
372,6791.41149,1000
373,6822.250647,1000
374,6819.67213,1000
375,6708.434635,1000
376,7049.502904,1000
377,6868.9218,1000
378,6913.545614,1000
379,6854.612074,1000
380,6844.893429,1000
381,6806.233347,1000
382,6803.350495,1000
383,6886.42719,1000
384,7029.22702,1000
385,6784.627936,1000
386,6936.253739,1000
387,6804.968075,1000
388,6928.517006,1000
389,6980.817017,1000
390,6951.158392,1000
391,6990.335239,1000
392,7031.957943,1000
393,6891.58902,1000
394,6963.618944,1000
395,6875.006102,1000
396,6999.977372,1000
397,6856.711774,1000
398,6996.784125,1000
399,6948.828426,1000
400,7098.952084,1000
401,7031.823777,1000
402,7056.05298,1000
403,6958.962054,1000
404,7146.027192,1000
405,7098.428467,1000
406,6961.712231,1000
407,7056.96534,1000
408,7110.828637,1000
409,7006.355869,1000
410,7026.065103,1000
411,7204.051949,1000
412,7127.997688,1000
413,7167.979744,1000
414,7209.282893,1000
415,7048.791187,1000
416,7201.665528,1000
417,7142.778658,1000
418,7218.384595,1000
419,7080.550946,1000
420,7220.380513,1000
421,7249.462691,1000
422,7222.698029,1000
423,7275.934848,1000
424,7280.082046,1000
425,7089.414214,1000
426,7252.915547,1000
427,7207.621637,1000
428,7331.58615,1000
429,7189.570443,1000
430,7298.060471,1000
431,6955.317668,1000
432,7285.114396,1000
433,7268.452091,1000
434,7251.156839,1000
435,7117.459992,1000
436,7341.572851,1000
437,7418.650106,1000
438,7271.983358,1000
439,7405.367602,1000
440,7417.530834,1000
441,7226.203538,1000
442,7473.475987,1000
443,7261.278514,1000
444,7324.230746,1000
445,7510.692934,1000
446,7258.89737,1000
447,7201.838514,1000
448,7525.745939,1000
449,7414.875212,1000
450,7303.962989,1000
451,7522.938229,1000
452,7349.497938,1000
453,7406.513993,1000
454,7488.316532,1000
455,7439.872453,1000
456,7534.614665,1000
457,7459.135198,1000
458,7439.310564,1000
459,7529.174811,1000
460,7489.281953,1000
461,7573.676188,1000
462,7602.495405,1000
463,7658.238577,1000
464,7413.520952,1000
465,7388.935146,1000
466,7463.087837,1000
467,7440.236829,1000
468,7602.996352,1000
469,7571.950946,1000
470,7651.741671,1000
471,7565.910483,1000
472,7594.754318,1000
473,7575.340891,1000
474,7539.596253,1000
475,7463.509205,1000
476,7546.094166,1000
477,7555.622129,1000
478,7619.363649,1000
479,7694.210661,1000
480,7595.760313,1000
481,7747.231134,1000
482,7507.245474,1000
483,7785.116331,1000
484,7778.273224,1000
485,7672.397592,1000
486,7683.975422,1000
487,7797.649319,1000
488,7635.671453,1000
489,7529.997799,1000
490,7500.578685,1000
491,7775.13284,1000
492,7637.632251,1000
493,7896.545028,1000
494,7720.43653,1000
495,7566.512882,1000
496,7631.649707,1000
497,7750.95427,1000
498,7772.742004,1000
499,7730.475112,1000
500,7985.83128,1000
501,7724.217481,1000
502,7892.568609,1000
503,7830.181358,1000
504,7720.54258,1000
505,8005.651682,1000
506,7803.237891,1000
507,7878.894146,1000
508,7797.550221,1000
509,7870.294243,1000
510,8021.036234,1000
511,7857.880701,1000
512,8108.610104,1000
513,8038.738922,1000
514,7862.412096,1000
515,7975.772641,1000
516,7777.024536,1000
517,7898.530617,1000
518,7965.364475,1000
519,7973.658086,1000
520,7926.284638,1000
521,7830.280016,1000
522,7987.612543,1000
523,7839.469858,1000
524,7903.645555,1000
525,7902.330393,1000
526,7932.04668,1000
527,7877.76914,1000
528,8086.86262,1000
529,7716.175869,1000
530,7905.109813,1000
531,7809.556655,1000
532,8123.313403,1000
533,7983.475671,1000
534,8009.977453,1000
535,8202.764223,1000
536,7813.325779,1000
537,8041.126584,1000
538,7999.515636,1000
539,8235.648985,1000
540,7981.722245,1000
541,8004.884198,1000
542,7919.440476,1000
543,8152.801894,1000
544,8017.042119,1000
545,7993.513801,1000
546,8020.580011,1000
547,8042.778308,1000
548,8030.000853,1000
549,8260.657327,1000
550,7893.981541,1000
551,8001.369451,1000
552,8066.428383,1000
553,8206.649952,1000
554,8013.521044,1000
555,8247.62517,1000
556,8154.093637,1000
557,8313.481487,1000
558,8233.206567,1000
559,8232.353898,1000
560,8259.869302,1000
561,8318.451595,1000
562,7952.446983,1000
563,7866.98619,1000
564,8354.383936,1000
565,8231.321781,1000
566,7883.363409,1000
567,8245.571676,1000
568,8002.472257,1000
569,8046.68142,1000
570,8106.685933,1000
571,8150.872542,1000
572,8142.514431,1000
573,8281.706906,1000
574,8402.527046,1000
