grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03
0,10001,17,3,253,10,0,5.327943801879883,5.05095911026001,4.733632564544678,4.646716117858887,4.420778274536133,4.264898777008057,4.020143508911133,3.7785515785217285,3.7325637340545654,3.539557933807373,3.4246761798858643,3.2757763862609863,3.183912754058838,2.720546245574951,2.49520206451416,2.215519666671753,1.92917001247406,4.14104700088501,3.8934996128082275,3.2434699535369873
0,10001,17,3,253,10,1,5.523657321929932,5.403284072875977,5.1938323974609375,5.1273274421691895,4.874614715576172,4.710877418518066,4.463322162628174,4.305486679077148,4.138454914093018,3.990725040435791,3.77648663520813,3.5693013668060303,3.4898688793182373,3.3837811946868896,2.7855701446533203,2.2451305389404297,2.134596824645996,4.490132808685303,4.190608978271484,3.203446626663208
5000,15001,17,3,254,15,0,2170.089111328125,68.17352294921875,41.96416091918945,33.99290084838867,28.0231876373291,25.647802352905273,23.089054107666016,19.77392578125,18.21255874633789,17.006765365600586,16.374542236328125,14.320326805114746,13.85193920135498,12.746363639831543,12.048944473266602,12.008157730102539,10.57697582244873,918.4638061523438,20.573423385620117,15.306120872497559
5000,15001,17,3,254,15,1,2171.584228515625,67.51148223876953,42.08921813964844,32.382484436035156,29.131118774414062,25.46477699279785,21.6342830657959,19.569293975830078,18.05874252319336,17.874666213989258,14.2005033493042,14.093475341796875,13.969215393066406,12.46872615814209,11.717509269714355,11.16117000579834,10.890945434570312,918.8418579101562,19.463027954101562,14.383033752441406
10000,20001,17,3,254,20,0,1955.713134765625,99.88082885742188,61.97455596923828,43.472198486328125,32.60487747192383,26.297447204589844,24.40496063232422,22.6973934173584,18.919776916503906,16.04317283630371,14.81699275970459,13.831450462341309,13.166197776794434,12.756904602050781,11.827814102172852,11.305235862731934,10.696471214294434,825.8607177734375,25.308494567871094,14.285816192626953
10000,20001,17,3,254,20,1,1946.5538330078125,99.50940704345703,59.5330924987793,44.01393127441406,32.21011734008789,27.329837799072266,24.581928253173828,21.598054885864258,18.106704711914062,16.431640625,16.004684448242188,14.751755714416504,13.74791431427002,12.619413375854492,11.866377830505371,11.109536170959473,10.046546936035156,821.654296875,24.52640724182129,14.186308860778809
15000,25001,17,3,249,25,0,1688.505126953125,112.37478637695312,68.86796569824219,41.416160583496094,34.357521057128906,29.010074615478516,24.481348037719727,20.816387176513672,19.657169342041016,17.612058639526367,16.362913131713867,15.49118423461914,14.675911903381348,13.76761245727539,12.878565788269043,11.825187683105469,11.307577133178711,709.8846435546875,24.982532501220703,15.166685104370117
15000,25001,17,3,249,25,1,1669.9866943359375,110.6503677368164,68.71206665039062,41.78733444213867,33.79409408569336,29.20232391357422,26.30840492248535,20.948625564575195,20.285444259643555,16.502944946289062,15.249094009399414,14.16972827911377,13.536591529846191,12.988387107849121,12.87916374206543,11.464714050292969,10.452012062072754,701.0685424804688,24.728191375732422,14.25396728515625
20000,30001,17,3,252,30,0,1868.318359375,158.59239196777344,77.35270690917969,48.7973747253418,37.0908317565918,32.423831939697266,30.367521286010742,24.294153213500977,20.741004943847656,20.241125106811523,18.700721740722656,16.260528564453125,14.485803604125977,13.820619583129883,13.657211303710938,12.047867774963379,11.714507102966309,787.9693603515625,27.44003677368164,14.848060607910156
20000,30001,17,3,252,30,1,1871.0772705078125,156.4908905029297,76.46043395996094,47.8262825012207,38.50862121582031,32.06367492675781,28.03457260131836,24.27607536315918,21.007959365844727,18.647693634033203,17.29054832458496,15.695263862609863,15.166962623596191,14.619473457336426,13.335396766662598,12.390195846557617,11.401514053344727,788.1098022460938,27.57387924194336,15.22745418548584
25000,35001,17,3,254,35,0,2548.66015625,142.8925018310547,81.50626373291016,47.844154357910156,40.224273681640625,34.957054138183594,28.06769371032715,25.2825984954834,24.23181915283203,20.619422912597656,17.424272537231445,16.749286651611328,16.40144157409668,14.674440383911133,13.888880729675293,13.268155097961426,13.052760124206543,1067.680419921875,28.09527015686035,17.704282760620117
25000,35001,17,3,254,35,1,2551.44921875,143.6458740234375,81.15834045410156,46.25577163696289,40.10116195678711,36.764949798583984,29.242055892944336,25.9334659576416,23.303537368774414,21.312868118286133,18.87160873413086,17.268356323242188,17.071863174438477,15.103721618652344,14.34748649597168,13.160309791564941,12.624874114990234,1066.9879150390625,32.058143615722656,18.424121856689453
30000,40001,17,3,251,40,0,3313.462890625,178.1615753173828,89.24191284179688,64.95355224609375,48.49748611450195,36.08064270019531,35.69327926635742,29.30389404296875,26.563753128051758,25.919940948486328,22.131452560424805,20.813005447387695,19.44904327392578,18.19585609436035,17.30232048034668,16.83616065979004,16.142187118530273,1386.36865234375,35.75186538696289,20.079498291015625
30000,40001,17,3,251,40,1,3322.378173828125,176.5564422607422,87.9030990600586,65.4317398071289,45.19053268432617,36.60446548461914,34.91336441040039,31.646690368652344,29.640548706054688,26.279001235961914,21.7821102142334,19.789600372314453,19.250627517700195,18.561965942382812,17.33899688720703,16.4443359375,15.409423828125,1390.271240234375,37.98066329956055,20.736928939819336
35000,45001,17,3,250,45,0,5034.70849609375,203.9669647216797,119.97567749023438,78.94680786132812,54.92216110229492,45.916961669921875,42.298160552978516,35.07341766357422,32.915367126464844,31.43645668029785,26.990510940551758,25.617708206176758,25.227018356323242,23.888309478759766,23.694530487060547,20.30771255493164,19.525114059448242,2108.96337890625,43.85195541381836,26.98723030090332
35000,45001,17,3,250,45,1,5026.2685546875,202.78656005859375,117.61746215820312,78.3318862915039,53.86479187011719,46.226436614990234,40.90316390991211,34.3050422668457,33.10940933227539,31.176807403564453,26.44295310974121,25.09715461730957,24.356239318847656,23.93534278869629,20.82213020324707,20.60634994506836,19.711894989013672,2105.636474609375,43.85210037231445,25.856279373168945
40000,50001,17,3,247,50,0,6781.20849609375,322.4056396484375,148.94664001464844,97.10684204101562,74.81546783447266,62.15159225463867,51.544403076171875,45.00630187988281,37.47084426879883,36.8433723449707,34.039817810058594,32.67650604248047,31.65997314453125,29.950836181640625,26.66145896911621,25.29412078857422,24.973304748535156,2853.968994140625,57.67969512939453,34.10494613647461
40000,50001,17,3,247,50,1,6802.39208984375,322.59991455078125,150.82009887695312,97.42669677734375,75.061767578125,59.75503921508789,53.58597183227539,49.12541961669922,40.465579986572266,36.38532257080078,33.658748626708984,32.89099884033203,30.852327346801758,28.16431427001953,27.63189125061035,26.17365074157715,24.116775512695312,2863.921142578125,57.69343566894531,33.67930603027344
45000,55001,17,3,250,52,0,8796.431640625,329.6148681640625,170.4951171875,105.03231811523438,74.36383056640625,62.4091911315918,57.0770263671875,51.293827056884766,48.64065933227539,40.11833953857422,35.317420959472656,33.164825439453125,31.795713424682617,29.345108032226562,28.72618865966797,27.770978927612305,25.226177215576172,3703.64306640625,55.108970642089844,33.83740234375
45000,55001,17,3,250,52,1,8787.6220703125,329.07733154296875,170.48855590820312,106.75096130371094,76.13097381591797,62.65342712402344,54.455833435058594,51.42467498779297,50.830833435058594,43.6617546081543,36.747013092041016,34.97898864746094,34.056583404541016,31.720176696777344,31.144180297851562,29.182056427001953,27.785707473754883,3697.077880859375,58.27981948852539,36.20241165161133
50000,60001,17,3,254,59,0,10420.25,318.9565734863281,173.4231414794922,118.15028381347656,90.03581237792969,65.07838439941406,60.567501068115234,54.123252868652344,45.118961334228516,44.05530548095703,41.21208953857422,37.551612854003906,36.10599899291992,34.027381896972656,32.528358459472656,32.43153762817383,30.63212013244629,4386.72021484375,65.95722198486328,37.049869537353516
50000,60001,17,3,254,59,1,10421.8583984375,322.7353820800781,170.58416748046875,119.15680694580078,91.83653259277344,64.5517349243164,61.04580307006836,53.710052490234375,50.598793029785156,42.91156005859375,40.493831634521484,38.128013610839844,36.839019775390625,35.40201950073242,33.55046081542969,33.25273895263672,29.072956085205078,4388.06005859375,64.28870391845703,38.740386962890625
55000,65001,17,3,251,65,0,12321.01171875,403.23529052734375,213.27847290039062,127.233154296875,88.39900970458984,78.50688171386719,68.38099670410156,57.46498489379883,52.87413787841797,47.73485565185547,41.455806732177734,39.67090606689453,37.88649368286133,35.939029693603516,34.0009880065918,33.186614990234375,31.71680450439453,5189.4482421875,73.90709686279297,41.37553405761719
55000,65001,17,3,251,65,1,12311.4931640625,403.45855712890625,211.75360107421875,122.1081771850586,90.17462921142578,76.48798370361328,67.3116455078125,53.21785354614258,48.15464782714844,44.241329193115234,42.67386245727539,38.556114196777344,38.173194885253906,35.499176025390625,32.59577178955078,30.7662353515625,29.358224868774414,5188.564453125,69.52919006347656,37.935157775878906
60000,70001,17,3,249,66,0,13635.1826171875,439.8815002441406,180.46875,117.16891479492188,96.6820068359375,77.622802734375,71.09599304199219,62.60518264770508,50.87187194824219,47.605403900146484,47.232444763183594,41.35565948486328,40.87991714477539,34.740318298339844,33.242706298828125,32.749385833740234,29.282821655273438,5715.7080078125,74.56358337402344,40.91759490966797
60000,70001,17,3,249,66,1,13621.54296875,448.9842224121094,181.11216735839844,121.19049072265625,97.29043579101562,78.76630401611328,65.94930267333984,60.30942153930664,52.079444885253906,48.68960189819336,43.585113525390625,41.07512664794922,39.53701400756836,37.888065338134766,35.42359924316406,33.937007904052734,32.08263397216797,5709.52001953125,72.39566802978516,37.311161041259766
65000,75001,17,3,252,75,0,15061.462890625,509.7436218261719,225.0655517578125,174.3248748779297,104.82835388183594,75.88247680664062,70.62898254394531,67.40233612060547,59.506221771240234,54.02275848388672,46.569732666015625,43.552024841308594,42.37238693237305,39.05268096923828,37.57200622558594,35.220130920410156,32.39000701904297,6325.8095703125,76.89698028564453,41.703887939453125
65000,75001,17,3,252,75,1,15036.2060546875,511.8792419433594,227.10833740234375,174.91981506347656,103.28988647460938,76.85810852050781,71.21539306640625,68.9745101928711,61.6199836730957,54.93397903442383,45.80303955078125,44.064754486083984,41.04025650024414,39.259090423583984,36.43218994140625,35.424591064453125,33.74232482910156,6312.5029296875,71.86249542236328,43.428466796875
70000,80001,17,3,255,77,0,15961.3818359375,417.8994140625,196.19712829589844,134.92762756347656,90.99273681640625,78.33723449707031,63.19637680053711,59.046241760253906,50.97084045410156,50.109771728515625,41.853633880615234,40.803707122802734,38.456172943115234,36.5402946472168,33.77743148803711,31.538772583007812,29.898456573486328,6713.6923828125,70.1891860961914,38.67483139038086
70000,80001,17,3,255,77,1,15926.6494140625,427.0863952636719,196.81427001953125,133.57000732421875,90.55712890625,80.07427215576172,63.72724151611328,58.98257064819336,53.49724578857422,46.19684600830078,44.773441314697266,42.37401580810547,39.771305084228516,36.45362091064453,33.61933517456055,32.35285568237305,29.88981056213379,6700.3984375,73.06886291503906,42.14884948730469
75000,85001,17,3,252,79,0,17050.80078125,394.35711669921875,193.36984252929688,115.54107666015625,88.26871490478516,71.51818084716797,61.964691162109375,57.06476593017578,49.028587341308594,47.179176330566406,42.43550491333008,37.9527587890625,36.78392791748047,35.424442291259766,32.538639068603516,31.489564895629883,30.282758712768555,7150.92333984375,66.0348892211914,40.76485061645508
75000,85001,17,3,252,79,1,17040.794921875,395.6334533691406,191.93055725097656,119.2690200805664,86.37091064453125,69.6530532836914,62.699066162109375,57.42229080200195,51.48693084716797,45.4570426940918,43.237648010253906,40.28565216064453,38.35541915893555,35.17746353149414,34.269859313964844,33.46312713623047,31.32174301147461,7145.982421875,70.71350860595703,40.916656494140625
80000,90001,17,3,253,83,0,17394.431640625,429.8608703613281,176.94345092773438,118.52937316894531,89.83914947509766,70.91128540039062,54.014549255371094,51.571964263916016,48.765785217285156,40.75471878051758,37.58662414550781,36.704444885253906,34.76948928833008,31.95819091796875,30.080963134765625,29.11013412475586,27.532062530517578,7302.1982421875,79.30967712402344,40.249969482421875
80000,90001,17,3,253,83,1,17419.623046875,422.68170166015625,176.23934936523438,116.58462524414062,90.9612808227539,66.01569366455078,58.165748596191406,53.8171272277832,49.07136535644531,43.34563446044922,39.863441467285156,36.41957092285156,35.13032913208008,33.6497688293457,32.72918701171875,32.2784309387207,32.1094970703125,7312.8994140625,74.46176147460938,42.517704010009766
85000,95001,17,3,254,93,0,17922.892578125,359.59002685546875,196.52479553222656,126.24972534179688,89.78710174560547,66.70704650878906,60.96383285522461,53.869903564453125,52.91765594482422,46.753787994384766,44.74829864501953,40.84630584716797,38.631629943847656,36.255741119384766,34.892269134521484,33.64652633666992,31.059621810913086,7511.86767578125,66.15213775634766,41.37390899658203
85000,95001,17,3,254,93,1,17940.6953125,356.55963134765625,196.7880096435547,124.6568603515625,90.91297149658203,65.97586059570312,59.51565933227539,55.402549743652344,50.32482147216797,48.51936721801758,42.122528076171875,37.36738967895508,36.54519271850586,35.60382843017578,32.75276184082031,31.367189407348633,29.73666763305664,7516.63671875,63.77386474609375,40.76705551147461
90000,100001,17,3,250,93,0,18751.021484375,326.9502258300781,175.7120361328125,112.90416717529297,79.59024047851562,59.187232971191406,55.659912109375,48.6552848815918,43.962425231933594,40.7121696472168,37.722190856933594,34.81364059448242,33.86979675292969,31.737051010131836,31.296524047851562,27.244722366333008,25.520856857299805,7900.4404296875,62.01267623901367,37.10362243652344
90000,100001,17,3,250,93,1,18740.044921875,325.200439453125,174.4718475341797,111.86827087402344,79.648681640625,61.282833099365234,60.613197326660156,49.81583023071289,47.062164306640625,41.5645866394043,39.35345458984375,37.25553512573242,34.13119888305664,32.74452209472656,30.85633659362793,27.491329193115234,27.183931350708008,7896.392578125,66.36032104492188,38.41167068481445
95000,105001,17,3,250,99,0,18898.79296875,462.94476318359375,178.71542358398438,130.17996215820312,89.94021606445312,71.50050354003906,60.05155563354492,53.23193359375,46.84374237060547,40.661441802978516,39.451534271240234,37.77435302734375,34.84220504760742,34.10171890258789,33.20590591430664,30.777257919311523,25.014184951782227,7935.70361328125,70.97621154785156,35.78242492675781
95000,105001,17,3,250,99,1,18899.806640625,462.86053466796875,177.58612060546875,131.02835083007812,88.75531005859375,70.94265747070312,63.40082931518555,53.59967803955078,47.69038009643555,41.84365463256836,39.93421173095703,38.706233978271484,36.073097229003906,34.422367095947266,33.422142028808594,30.963958740234375,29.029739379882812,7934.96826171875,76.87298583984375,36.82068634033203
100000,110001,17,3,251,102,0,19411.453125,383.1756896972656,167.84730529785156,114.84841918945312,82.97473907470703,66.00321960449219,59.76728820800781,56.527862548828125,51.90798568725586,44.6661376953125,40.40144348144531,36.58876419067383,35.461021423339844,32.96702194213867,31.14811897277832,29.487001419067383,28.5631160736084,8180.353515625,67.57257080078125,36.38886642456055
100000,110001,17,3,251,102,1,19460.33984375,380.7791442871094,170.77427673339844,114.85588073730469,84.46305847167969,64.44953918457031,59.77020263671875,54.642311096191406,50.08627700805664,47.787837982177734,37.56289291381836,36.7584228515625,34.5194091796875,32.62245559692383,30.764904022216797,29.61487579345703,27.339889526367188,8201.9462890625,71.87825775146484,35.64625930786133
