episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,7,1.0145,22.6358,1503,500,1503,500,118.3972,71.2911,9.50136e-05,0.0787739,0.000285968,0.142582
0,Hankel a0 rollout,1,1.0005,3.1804,1503,500,1503,500,1.0064,1.0003,0.000636595,0.000669612,0.00194684,0.00200062
0,Hankel a1 rollout,1,1.0001,3.3548,1503,500,1503,500,1.0276,1.0227,0.000663835,0.000683667,0.00199608,0.00204533
0,Hankel a2 rollout,1,1.0000,2.8347,1503,500,1503,500,1.0090,1.0028,0.000662224,0.000671356,0.00199568,0.00200555
0,Hankel a3 rollout,1,1.0001,1.2325,1503,500,1503,500,1.0011,1.0010,0.000657097,0.000666096,0.00197824,0.00200202
0,Hankel a4 rollout,1,1.0001,2.3955,1503,500,1503,500,1.0011,1.0010,0.000654083,0.000666093,0.00198216,0.00200193
0,Hankel a5 rollout,1,1.0001,1.9149,1503,500,1503,500,1.0094,1.0077,0.000665137,0.000671571,0.0019994,0.00201544
100,Hankel Q rollout,1,1.0007,1.0795,1503,500,1503,500,1.0248,1.0048,0.000630213,0.00068184,0.00192972,0.00200954
100,Hankel a0 rollout,483,7.7878,1.1608,1503,500,1503,500,1.1292,1.0278,0.000595223,0.000751317,0.00195954,0.00205565
100,Hankel a1 rollout,486,6.0463,1.2316,1503,500,1503,500,1.1602,1.0255,0.000587033,0.000771947,0.00197311,0.00205102
100,Hankel a2 rollout,485,7.0313,1.1669,1503,500,1503,500,1.1522,1.0189,0.00056483,0.000766631,0.0019487,0.00203777
100,Hankel a3 rollout,484,2.1895,1.1682,1503,500,1503,500,1.1250,1.0268,0.000602308,0.000748532,0.00195866,0.00205359
100,Hankel a4 rollout,475,6.9240,1.1504,1503,500,1503,500,1.1300,1.0438,0.000590556,0.00075186,0.00194275,0.00208751
100,Hankel a5 rollout,495,15.1396,1.4327,1503,500,1503,500,1.0949,1.0074,0.000595815,0.000728506,0.00197621,0.00201481
