episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,5,1.0048,15.1639,1503,500,1503,500,118.1660,97.7366,0.000133265,0.0786201,0.000400281,0.195473
0,Hankel a0 rollout,1,1.0003,4.7685,1503,500,1503,500,1.0285,1.0225,0.000661776,0.000684292,0.00199608,0.00204507
0,Hankel a1 rollout,4,1.0028,11.1715,1503,500,1503,500,140.1978,91.9821,0.000166411,0.0932786,0.000501305,0.183964
0,Hankel a2 rollout,2,1.0012,8.5027,1503,500,1503,500,103.0445,100.1256,0.000331286,0.0685592,0.00100023,0.200251
0,Hankel a3 rollout,8,1.0444,41.4533,1503,500,1503,500,150.5236,62.1202,8.33997e-05,0.100149,0.000251295,0.12424
0,Hankel a4 rollout,1,1.0002,3.9907,1503,500,1503,500,1.0360,1.0303,0.000662865,0.000689286,0.00199536,0.00206064
0,Hankel a5 rollout,1,1.0003,4.4588,1503,500,1503,500,1.0116,1.0052,0.00065833,0.000673053,0.00199247,0.00201033
100,Hankel Q rollout,3,1.0013,1.1019,1503,500,1503,500,7.0263,6.3496,0.000232862,0.00467485,0.000850453,0.0126993
100,Hankel a0 rollout,454,7.0436,1.0641,1503,500,1503,500,1.1419,1.0887,0.000568552,0.000759733,0.00192955,0.00217742
100,Hankel a1 rollout,481,6.6945,1.1302,1503,500,1503,500,1.1240,1.0258,0.000561222,0.000747857,0.00194858,0.00205161
100,Hankel a2 rollout,485,7.8205,1.2276,1503,500,1503,500,1.1055,1.0265,0.000580486,0.000735551,0.00195949,0.00205291
100,Hankel a3 rollout,485,4.0977,1.4053,1503,500,1503,500,1.0669,1.0199,0.000600056,0.000709817,0.00196062,0.00203972
100,Hankel a4 rollout,484,7.6221,1.2347,1503,500,1503,500,1.1772,1.0207,0.000604275,0.000783233,0.00195894,0.00204137
100,Hankel a5 rollout,492,10.1308,1.2972,1503,500,1503,500,1.0781,1.0137,0.000603541,0.000717296,0.00195421,0.00202748
200,Hankel Q rollout,1,1.0005,1.0723,1503,500,1503,500,1.0280,1.0114,0.000630155,0.000683948,0.00190826,0.00202289
200,Hankel a0 rollout,472,11.6198,1.0624,1503,500,1503,500,1.0762,1.0509,0.000597805,0.000716036,0.00194166,0.00210185
200,Hankel a1 rollout,487,12.8654,1.2030,1503,500,1503,500,1.1007,1.0192,0.000608919,0.000732345,0.00193812,0.00203843
200,Hankel a2 rollout,478,12.1379,1.1512,1503,500,1503,500,1.0924,1.0397,0.000584712,0.00072678,0.00195975,0.00207937
200,Hankel a3 rollout,484,7.5631,1.2876,1503,500,1503,500,1.1283,1.0255,0.000585048,0.000750674,0.00195188,0.002051
200,Hankel a4 rollout,489,12.8000,1.1563,1503,500,1503,500,1.1135,1.0122,0.000594913,0.000740883,0.00193684,0.00202433
200,Hankel a5 rollout,492,3.4223,1.3467,1503,500,1503,500,1.1182,1.0126,0.000580514,0.000743992,0.00197998,0.00202513
300,Hankel Q rollout,1,1.0007,1.0523,1503,500,1503,500,1.0310,1.0169,0.000631454,0.000685951,0.00189967,0.00203379
300,Hankel a0 rollout,483,19.1582,1.0767,1503,500,1503,500,1.1248,1.0271,0.000559809,0.00074836,0.00197262,0.00205426
300,Hankel a1 rollout,491,14.0690,1.2763,1503,500,1503,500,1.1541,1.0150,0.000591911,0.000767854,0.00197174,0.00203004
300,Hankel a2 rollout,487,8.0567,1.1643,1503,500,1503,500,1.1330,1.0162,0.000570895,0.000753812,0.0019534,0.00203246
