episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,9,1.0397,29.6273,1503,500,1503,500,106.0520,55.0918,7.53159e-05,0.0705602,0.000226656,0.110184
0,Hankel a0 rollout,1,1.0001,2.4263,1503,500,1503,500,1.0175,1.0082,0.00065966,0.000676981,0.00199904,0.00201643
0,Hankel a1 rollout,8,1.0306,33.3677,1503,500,1503,500,138.1665,59.2472,8.50651e-05,0.0919272,0.000256522,0.118494
0,Hankel a2 rollout,2,1.0010,6.8586,1503,500,1503,500,103.9369,97.4937,0.000332545,0.069153,0.000999762,0.194987
0,Hankel a3 rollout,3,1.0017,6.6364,1503,500,1503,500,107.1831,124.4478,0.000221754,0.0713128,0.000666795,0.248896
0,Hankel a4 rollout,1,1.0002,3.8117,1503,500,1503,500,1.0375,1.0321,0.00066494,0.000690301,0.00199881,0.0020642
0,Hankel a5 rollout,17,2.5697,201.2728,1503,500,1503,500,81.9267,29.4002,4.09575e-05,0.0545088,0.000125213,0.0588004
100,Hankel Q rollout,6,1.0019,1.0901,1503,500,1503,500,4.6849,3.9179,0.000196829,0.00311706,0.000946956,0.00783586
100,Hankel a0 rollout,478,4.4778,1.0294,1503,500,1503,500,1.1245,1.0371,0.000574534,0.000748163,0.00194451,0.00207413
100,Hankel a1 rollout,486,3.5786,1.1616,1503,500,1503,500,1.1886,1.0228,0.000543121,0.000790816,0.00195159,0.0020456
100,Hankel a2 rollout,468,3.7330,1.0491,1503,500,1503,500,1.3372,1.0508,0.000455838,0.000889695,0.00193294,0.00210164
100,Hankel a3 rollout,476,4.1403,1.1327,1503,500,1503,500,1.3096,1.0288,0.000531643,0.000871333,0.00190043,0.00205755
100,Hankel a4 rollout,181,2.2233,1.0024,1503,500,1503,500,4.5944,2.7369,1.74553e-05,0.00305685,0.00165913,0.00547375
100,Hankel a5 rollout,468,4.2277,1.0925,1503,500,1503,500,1.3378,1.0392,0.00047559,0.000890058,0.00190673,0.00207847
200,Hankel Q rollout,1,1.0009,1.0706,1503,500,1503,500,1.0364,1.0113,0.000615628,0.000689579,0.00187939,0.00202255
200,Hankel a0 rollout,478,12.2333,1.0322,1503,500,1503,500,1.1155,1.0375,0.000583596,0.000742214,0.0019486,0.00207494
