episode,reward,steps
0,-284.701577,1000
1,-291.378065,1000
2,-408.26425,1000
3,-170.727692,1000
4,-344.372678,1000
5,-296.713556,1000
6,-370.00397,1000
7,-317.030944,1000
8,-302.994506,1000
9,-431.665516,1000
10,-472.002744,1000
11,-457.895942,1000
12,-214.406523,1000
13,-353.158333,1000
14,-249.219096,1000
15,-205.588969,1000
16,-72.413344,1000
17,44.845573,1000
18,230.062114,1000
19,439.411869,1000
20,391.024908,1000
21,741.465238,1000
22,723.464151,1000
23,797.216512,1000
24,656.344253,1000
25,704.816311,1000
26,931.230802,1000
27,1050.198626,1000
28,1090.866354,1000
29,1122.442728,1000
30,1073.815143,1000
31,1213.736152,1000
32,1378.868725,1000
33,1742.801032,1000
34,1772.433636,1000
35,1903.044296,1000
36,2458.506595,1000
37,2268.074717,1000
38,2429.675965,1000
39,2540.538507,1000
40,2596.143023,1000
41,2602.990159,1000
42,2930.450558,1000
43,2853.819691,1000
44,2997.668079,1000
45,3085.633555,1000
46,3280.701011,1000
47,3188.109388,1000
48,3491.428801,1000
49,3548.672294,1000
50,3435.141942,1000
51,3006.42968,1000
52,3575.310347,1000
53,3472.17473,1000
54,3309.658665,1000
55,3556.624515,1000
56,3491.56195,1000
57,3686.925876,1000
58,3978.336758,1000
59,2347.629269,1000
60,3669.801084,1000
61,3815.118524,1000
62,3924.697828,1000
63,3711.231049,1000
64,4040.853231,1000
65,4194.088707,1000
66,4301.27264,1000
67,4177.085299,1000
68,4078.9532,1000
69,4266.471717,1000
70,4401.975802,1000
71,4537.349661,1000
72,4389.095334,1000
73,4362.115619,1000
74,4490.819901,1000
75,4521.876151,1000
76,4650.135544,1000
77,4444.238097,1000
78,4518.015183,1000
79,4580.30013,1000
80,4633.795324,1000
81,4292.184847,1000
82,4690.833211,1000
83,4709.201665,1000
84,4874.535991,1000
85,4831.678817,1000
86,4944.69642,1000
87,4620.197877,1000
88,4869.97849,1000
89,4842.884275,1000
90,4653.174394,1000
91,5026.367371,1000
92,4977.678765,1000
93,4849.278447,1000
94,4860.5551,1000
95,4981.076579,1000
96,4857.199876,1000
97,4939.407493,1000
98,4841.455563,1000
99,5013.224319,1000
100,4887.52589,1000
101,4891.476931,1000
102,5031.857689,1000
103,4917.809932,1000
104,4809.216915,1000
105,5059.787315,1000
106,5079.396739,1000
107,4898.791175,1000
108,5220.216807,1000
109,5080.659484,1000
110,5039.066176,1000
111,4992.064304,1000
112,5173.265766,1000
113,5124.163185,1000
114,4983.292929,1000
115,5081.019169,1000
116,5049.514174,1000
117,4954.601623,1000
118,5088.424996,1000
119,5268.038007,1000
120,5227.729562,1000
121,5164.24514,1000
122,5319.876696,1000
123,5156.567127,1000
124,5428.414119,1000
125,5363.835511,1000
126,5283.74489,1000
127,5286.20006,1000
128,5324.172337,1000
129,5298.836645,1000
130,5095.899628,1000
131,5248.269907,1000
132,5361.290161,1000
133,5283.978673,1000
134,5411.78341,1000
135,5445.674369,1000
136,5396.730893,1000
137,5517.65961,1000
138,5046.572919,1000
139,5460.829817,1000
140,5564.287129,1000
141,5348.224693,1000
142,5435.983628,1000
143,5318.057857,1000
144,5353.867781,1000
145,5404.254271,1000
146,5506.644281,1000
147,5436.919409,1000
148,5383.789564,1000
149,5415.914191,1000
150,5385.690611,1000
151,5448.020523,1000
152,5488.039814,1000
153,5468.899137,1000
154,5554.346666,1000
155,5604.839503,1000
156,5664.006388,1000
157,5715.154718,1000
158,5639.568918,1000
159,5669.760849,1000
160,5594.852295,1000
161,5366.90949,1000
162,5416.846676,1000
163,5697.729187,1000
164,5740.234133,1000
165,5628.958282,1000
166,5775.959225,1000
167,5732.584348,1000
168,5742.014469,1000
169,5441.056834,1000
170,5676.901232,1000
171,5707.683345,1000
172,5701.449927,1000
173,5619.931696,1000
174,5823.290621,1000
175,5879.260088,1000
176,5613.92321,1000
177,5709.174002,1000
178,5710.629998,1000
179,5646.012835,1000
180,5716.237692,1000
181,5867.103715,1000
182,6001.301301,1000
183,5791.046727,1000
184,5748.655091,1000
185,5584.521972,1000
186,5976.851267,1000
187,5823.504348,1000
188,5782.430111,1000
189,5711.965703,1000
190,5924.939448,1000
191,5898.75176,1000
192,5876.792289,1000
193,5837.312183,1000
194,5929.890325,1000
195,5867.28084,1000
196,5922.110417,1000
197,5887.465102,1000
198,5856.01988,1000
199,5687.550895,1000
200,5628.858505,1000
201,5876.570592,1000
202,5839.671943,1000
203,5863.988764,1000
204,6058.40753,1000
205,5945.58734,1000
206,5852.165814,1000
207,5790.595341,1000
208,5973.31088,1000
209,6090.721104,1000
210,5891.509724,1000
211,5959.478954,1000
212,5991.838362,1000
213,5889.881847,1000
214,6149.958013,1000
215,5916.593935,1000
216,5900.709121,1000
217,6251.366722,1000
218,5957.49955,1000
219,6082.840929,1000
220,6054.726039,1000
221,6117.701797,1000
222,6160.888399,1000
223,6232.812615,1000
224,5993.318683,1000
225,6144.069114,1000
226,5984.901706,1000
227,5978.623,1000
228,6211.343735,1000
229,6080.823216,1000
230,6089.621243,1000
231,6161.587617,1000
232,6095.90863,1000
233,6060.235266,1000
234,6277.754271,1000
235,6163.77741,1000
236,6252.059481,1000
237,6016.101254,1000
238,6227.065811,1000
239,6117.758566,1000
240,6049.733464,1000
241,6168.96996,1000
242,6125.380753,1000
243,6148.050671,1000
244,6061.200293,1000
245,6158.027684,1000
246,6245.486522,1000
247,6039.893667,1000
248,6229.687423,1000
249,6359.471969,1000
250,6304.059137,1000
251,6142.00933,1000
252,6095.484144,1000
253,6075.838105,1000
254,6091.403811,1000
255,6279.602098,1000
256,6116.458221,1000
257,6145.743681,1000
258,6356.462748,1000
259,6343.346577,1000
260,6547.623015,1000
261,6386.111359,1000
262,6355.594013,1000
263,6120.103996,1000
264,6245.294778,1000
265,6380.130156,1000
266,6353.602118,1000
267,6268.76202,1000
268,6016.673616,1000
269,6106.004566,1000
270,6259.394222,1000
271,6231.354839,1000
272,6373.428891,1000
273,6495.895934,1000
274,6385.45756,1000
275,6281.300852,1000
276,6411.039807,1000
277,6402.222554,1000
278,6307.123102,1000
279,6195.95481,1000
280,6179.649008,1000
281,6237.158527,1000
282,6537.218606,1000
283,6367.080628,1000
284,6552.751891,1000
285,6424.040027,1000
286,6236.135592,1000
287,6385.45226,1000
288,6295.5379,1000
289,6498.36975,1000
290,6497.623438,1000
291,6267.843212,1000
292,6533.726224,1000
293,6502.764037,1000
294,6446.317294,1000
295,6498.940197,1000
296,6608.289336,1000
297,6349.440494,1000
298,6764.25887,1000
299,6263.693018,1000
300,6542.448152,1000
301,6461.461898,1000
302,6598.836168,1000
303,6591.444687,1000
304,6604.321628,1000
305,6320.075588,1000
306,6720.087117,1000
307,6639.788211,1000
308,6433.879829,1000
309,6340.271116,1000
310,6501.703454,1000
311,6575.606406,1000
312,6659.104381,1000
313,6593.687986,1000
314,6623.219767,1000
315,6581.334982,1000
316,6604.936098,1000
317,6605.139271,1000
318,6556.421465,1000
319,6627.472173,1000
320,6672.287876,1000
321,6397.992481,1000
322,6410.932389,1000
323,6447.484988,1000
324,6527.958786,1000
325,6648.883193,1000
326,6818.862124,1000
327,6566.884479,1000
328,6593.82672,1000
329,6577.742723,1000
330,6665.023002,1000
331,6682.673932,1000
332,6568.188851,1000
333,6551.577844,1000
334,6642.557962,1000
335,6594.021492,1000
336,6568.825906,1000
337,6432.523966,1000
338,6669.246109,1000
339,6908.714893,1000
340,6750.200364,1000
341,6489.913645,1000
342,6578.12173,1000
343,6658.697506,1000
344,6750.248965,1000
345,6809.4773,1000
346,6767.549453,1000
347,5389.018473,1000
348,6674.357779,1000
349,6822.146418,1000
350,6524.458882,1000
351,6742.77071,1000
352,6586.047257,1000
353,6619.000338,1000
354,6506.082324,1000
355,6581.683555,1000
356,6863.886713,1000
357,6752.232746,1000
358,6744.563888,1000
359,6646.628072,1000
360,6607.413361,1000
361,6708.231233,1000
362,6754.543687,1000
363,6684.752489,1000
364,6599.364187,1000
365,6837.90795,1000
366,6589.373487,1000
367,6732.0835,1000
368,6762.059702,1000
369,6751.652287,1000
370,6819.204243,1000
371,6582.421146,1000
372,6828.560205,1000
373,6525.913257,1000
374,6581.935068,1000
375,6755.543607,1000
376,6535.332545,1000
377,6634.200511,1000
378,6919.851547,1000
379,6946.130817,1000
380,6752.801265,1000
381,6840.62525,1000
382,6857.339776,1000
383,6912.298901,1000
384,6787.888175,1000
385,6806.074492,1000
386,6841.194689,1000
387,6833.010862,1000
388,6908.762034,1000
389,6643.7859,1000
390,6859.733114,1000
391,7032.257416,1000
392,7037.363808,1000
393,4509.020843,1000
394,6885.095735,1000
395,6936.402258,1000
396,6988.976217,1000
