episode,reward,steps
0,-284.701577,1000
1,-291.378065,1000
2,-408.26425,1000
3,-170.727692,1000
4,-344.372678,1000
5,-296.713556,1000
6,-370.00397,1000
7,-317.030944,1000
8,-302.994506,1000
9,-431.665516,1000
10,-472.002744,1000
11,-457.895942,1000
12,-214.406523,1000
13,-353.158333,1000
14,-249.219096,1000
15,-205.588969,1000
16,-72.413344,1000
17,44.845573,1000
18,230.062114,1000
19,439.411869,1000
20,438.191446,1000
21,309.680844,1000
22,799.190836,1000
23,705.167657,1000
24,731.953283,1000
25,766.91477,1000
26,752.093194,1000
27,821.671851,1000
28,596.762531,1000
29,168.959387,1000
30,1037.762333,1000
31,644.540849,1000
32,1414.442855,1000
33,1188.780544,1000
34,250.517356,1000
35,1670.134646,1000
36,1152.023177,1000
37,1929.939055,1000
38,2177.238639,1000
39,2193.419386,1000
40,2090.508586,1000
41,2528.585212,1000
42,2465.58509,1000
43,2724.233448,1000
44,2620.439399,1000
45,2740.559566,1000
46,2664.59498,1000
47,2945.668697,1000
48,2550.755412,1000
49,3138.666486,1000
50,3455.442971,1000
51,3205.468339,1000
52,3701.144787,1000
53,3523.586945,1000
54,3515.86206,1000
55,2277.766384,1000
56,2736.397308,1000
57,2583.161382,1000
58,3643.544955,1000
59,3557.226286,1000
60,3765.594046,1000
61,3642.936654,1000
62,3939.386773,1000
63,3942.344279,1000
64,3863.114658,1000
65,3738.762661,1000
66,3718.436622,1000
67,4039.62936,1000
68,4067.433402,1000
69,4094.28881,1000
70,4122.758959,1000
71,3944.132485,1000
72,4298.131367,1000
73,4257.485599,1000
74,4042.944673,1000
75,4302.929712,1000
76,4153.024054,1000
77,4570.039246,1000
78,4360.253104,1000
79,4446.138672,1000
80,4507.454293,1000
81,2704.05803,1000
82,4428.794355,1000
83,4685.668992,1000
84,4552.536157,1000
85,4618.709351,1000
86,4608.241713,1000
87,4574.740421,1000
88,4854.442863,1000
89,4752.06093,1000
90,4871.970522,1000
91,4446.439812,1000
92,4702.998992,1000
93,4822.437042,1000
94,5010.029906,1000
95,5028.955776,1000
96,4654.939897,1000
97,5016.963652,1000
98,2515.990005,1000
99,4874.205712,1000
100,4857.517403,1000
101,4886.45042,1000
102,4893.891938,1000
103,5203.269882,1000
104,4850.961624,1000
105,4988.667765,1000
106,4808.523144,1000
107,5066.633902,1000
108,5187.692935,1000
109,4545.961325,1000
110,4845.240055,1000
111,5228.345766,1000
112,5458.765013,1000
113,4847.786354,1000
114,3581.370186,1000
115,5326.691082,1000
116,5055.641107,1000
117,5301.012533,1000
118,4826.966065,1000
119,4937.814525,1000
120,5294.823939,1000
121,5034.104588,1000
122,5362.30689,1000
123,5145.211165,1000
124,5311.425061,1000
125,5465.679148,1000
126,4644.012874,1000
127,5201.226453,1000
128,5421.237455,1000
129,5675.544533,1000
130,5416.847734,1000
131,4649.496274,1000
132,4976.089867,1000
133,5466.494038,1000
134,5485.777462,1000
135,5429.534994,1000
136,4533.264778,1000
137,5385.377761,1000
138,5361.246564,1000
139,5441.664771,1000
140,5359.382762,1000
141,5395.868325,1000
142,5504.56843,1000
143,5818.609094,1000
144,5552.407187,1000
145,5347.576866,1000
146,5540.49099,1000
147,5577.560392,1000
148,1700.293924,1000
149,5709.753086,1000
150,5554.603924,1000
151,5493.018435,1000
152,4961.823335,1000
153,5398.012588,1000
154,5765.436307,1000
155,5871.413459,1000
156,5732.943449,1000
157,5811.484732,1000
158,5747.344405,1000
159,5726.364523,1000
160,5956.580335,1000
161,5925.415183,1000
162,5831.861142,1000
163,5798.976943,1000
164,5114.130078,1000
165,6080.210756,1000
166,5837.337681,1000
167,5971.749763,1000
168,5784.241324,1000
169,1569.288663,1000
170,2625.097522,1000
171,5810.644156,1000
172,5780.148718,1000
173,6327.543643,1000
174,5718.865049,1000
175,5922.647476,1000
176,5995.999376,1000
177,6189.377393,1000
178,6321.138555,1000
179,2930.63523,1000
180,6537.374222,1000
181,312.832332,1000
182,6020.862942,1000
183,6143.118725,1000
184,2204.030912,1000
185,6284.162154,1000
186,6175.677352,1000
187,6247.139308,1000
188,6353.62708,1000
189,6257.312799,1000
190,6398.047875,1000
191,6530.128615,1000
192,4530.898131,1000
193,6317.108483,1000
194,6283.105914,1000
195,6540.128648,1000
196,6153.995414,1000
197,6610.762992,1000
198,6234.754196,1000
199,6527.042424,1000
200,6448.684918,1000
201,6603.753703,1000
202,6391.217632,1000
203,6487.922375,1000
204,6726.173458,1000
205,6536.105384,1000
206,6549.877598,1000
207,6739.844274,1000
208,6557.35116,1000
209,6621.080451,1000
210,6805.120918,1000
211,6546.476545,1000
212,6816.559505,1000
213,6409.095381,1000
214,3068.813734,1000
215,6668.402711,1000
216,6898.702952,1000
217,7136.830089,1000
218,6751.139049,1000
219,6826.800674,1000
220,6531.024771,1000
221,7001.657415,1000
222,7236.932768,1000
223,6703.174817,1000
224,6676.068986,1000
225,6805.462378,1000
226,6712.554269,1000
227,6788.055718,1000
228,6989.984961,1000
229,6882.540067,1000
230,7052.220406,1000
231,6857.425837,1000
232,6552.413062,1000
233,7268.485427,1000
234,6735.548397,1000
235,7316.024071,1000
236,6870.172307,1000
237,6987.514565,1000
238,7509.941435,1000
239,7179.525657,1000
240,6972.597462,1000
241,7425.278395,1000
242,6965.034593,1000
243,7157.278044,1000
244,6660.433823,1000
245,7001.409956,1000
246,7218.177773,1000
247,7083.106182,1000
248,6681.740928,1000
249,6847.710019,1000
250,2635.207068,1000
251,7328.210389,1000
252,7287.707276,1000
253,7241.724913,1000
254,4448.354055,1000
255,7364.700109,1000
256,7672.944287,1000
257,7389.777976,1000
258,7414.579587,1000
259,7518.264897,1000
260,2309.873947,1000
261,7352.36054,1000
262,7235.017935,1000
263,7507.873605,1000
264,7241.002823,1000
265,7287.588157,1000
266,7574.467915,1000
267,4950.213571,1000
268,7487.341651,1000
269,7646.023424,1000
270,7534.645755,1000
271,7566.319079,1000
272,7396.127341,1000
273,7450.975275,1000
274,7089.87577,1000
275,7618.79788,1000
276,7427.288837,1000
277,7413.483748,1000
278,7816.42934,1000
279,7573.030669,1000
280,7253.329322,1000
281,7350.925014,1000
282,7710.65532,1000
283,7410.937822,1000
284,7387.430023,1000
285,7625.454692,1000
286,7521.386866,1000
287,7593.363664,1000
288,7644.153534,1000
289,7474.736184,1000
290,7743.751143,1000
291,5030.83353,1000
292,7341.794833,1000
293,7491.981732,1000
294,7563.955048,1000
295,7457.461508,1000
296,7679.974342,1000
297,7774.009195,1000
298,8007.165394,1000
299,8172.623654,1000
300,7841.322205,1000
301,7727.697913,1000
302,7760.782068,1000
303,2351.529884,1000
304,8098.983033,1000
305,7982.611595,1000
306,7776.225799,1000
307,7519.667816,1000
308,8086.804281,1000
309,6024.644243,1000
310,7942.131512,1000
311,7646.922368,1000
312,7903.48268,1000
313,7352.282567,1000
314,7579.185883,1000
315,8498.732336,1000
316,8039.97693,1000
317,8168.660098,1000
318,7861.40212,1000
319,8114.423537,1000
320,8027.429607,1000
321,7892.344258,1000
322,7845.454692,1000
323,8140.960709,1000
324,8107.183133,1000
325,7947.069904,1000
326,8060.318587,1000
327,7824.821153,1000
328,8225.697826,1000
329,8152.298435,1000
330,7836.680574,1000
331,8070.17303,1000
332,8125.401346,1000
333,8333.908915,1000
334,7593.210531,1000
335,8118.79113,1000
336,2141.379202,1000
337,8517.590309,1000
338,8145.764247,1000
339,8357.0418,1000
340,8226.741432,1000
341,8537.113728,1000
342,7747.116397,1000
343,8080.359617,1000
344,8336.757819,1000
345,8163.334487,1000
346,8414.361234,1000
347,8056.299504,1000
348,8556.655168,1000
349,8189.15227,1000
350,8089.561253,1000
351,8407.330043,1000
352,7475.670895,1000
353,8178.363184,1000
354,7891.63718,1000
355,8514.838466,1000
356,8037.993474,1000
357,7980.188806,1000
358,8150.828151,1000
359,8419.753943,1000
360,8352.639786,1000
361,8347.866011,1000
362,8591.117887,1000
363,8408.401118,1000
364,8632.266521,1000
365,8485.279466,1000
366,8343.042658,1000
367,8743.682651,1000
368,8508.039611,1000
369,8278.829418,1000
370,8397.037498,1000
371,8973.028733,1000
372,8577.644025,1000
373,8541.185361,1000
374,8277.223256,1000
375,8567.833071,1000
376,8766.261275,1000
377,8328.314885,1000
378,8624.176572,1000
379,8700.999529,1000
380,8321.204562,1000
381,8704.735295,1000
382,8543.020029,1000
383,3239.883419,1000
384,9106.188361,1000
385,8661.470572,1000
386,8640.748048,1000
387,9073.845353,1000
388,8802.211073,1000
389,8792.434909,1000
390,8507.632833,1000
391,7699.310448,1000
392,8394.659809,1000
393,8881.064989,1000
394,8668.901764,1000
395,8643.78413,1000
396,8891.287418,1000
