episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,2,1.0011,4.1960,1503,500,1503,500,76.3061,62.7770,0.000332601,0.0507692,0.000999905,0.125554
0,Hankel a0 rollout,1,1.0002,2.5105,1503,500,1503,500,1.0111,1.0053,0.000656819,0.00067271,0.0019896,0.00201054
0,Hankel a1 rollout,1,1.0001,3.5070,1503,500,1503,500,1.0286,1.0214,0.000664847,0.000684386,0.00199883,0.00204275
0,Hankel a2 rollout,8,1.3353,107.9709,1503,500,1503,500,164.1282,62.0977,8.21495e-05,0.1092,0.000249249,0.124195
0,Hankel a3 rollout,11,1.1276,62.7973,1503,500,1503,500,113.9564,45.2681,6.07915e-05,0.0758193,0.000185295,0.0905362
0,Hankel a4 rollout,1,1.0003,5.1059,1503,500,1503,500,1.0146,1.0062,0.00065662,0.000675041,0.00198015,0.00201235
0,Hankel a5 rollout,1,1.0002,3.2023,1503,500,1503,500,1.0183,1.0132,0.000663439,0.000677526,0.00199955,0.00202641
100,Hankel Q rollout,1,1.0006,1.0589,1503,500,1503,500,1.0108,1.0054,0.000641513,0.000672541,0.00193296,0.0020108
100,Hankel a0 rollout,491,14.2820,1.0245,1503,500,1503,500,1.1054,1.0133,0.000599634,0.00073547,0.00197074,0.00202661
100,Hankel a1 rollout,494,29.7088,1.1268,1503,500,1503,500,1.1187,1.0106,0.00060189,0.000744315,0.00195534,0.00202115
100,Hankel a2 rollout,489,45.8458,1.0405,1503,500,1503,500,1.1198,1.0196,0.000593772,0.000745075,0.00194842,0.0020393
100,Hankel a3 rollout,482,3.9967,1.0703,1503,500,1503,500,1.1316,1.0262,0.000570721,0.000752887,0.00194364,0.00205238
100,Hankel a4 rollout,487,5.4643,1.0800,1503,500,1503,500,1.1125,1.0227,0.00060725,0.000740195,0.00194015,0.00204535
100,Hankel a5 rollout,494,23.0708,1.1046,1503,500,1503,500,1.1215,1.0109,0.00058235,0.000746207,0.00196651,0.00202171
200,Hankel Q rollout,1,1.0005,1.0517,1503,500,1503,500,1.0189,1.0074,0.000641904,0.000677888,0.00195472,0.0020148
200,Hankel a0 rollout,490,11.9415,1.0239,1503,500,1503,500,1.1391,1.0175,0.000590594,0.000757916,0.00196353,0.00203498
200,Hankel a1 rollout,490,13.1596,1.1187,1503,500,1503,500,1.1023,1.0182,0.000582805,0.000733407,0.00196325,0.00203633
200,Hankel a2 rollout,488,29.5252,1.0902,1503,500,1503,500,1.1193,1.0223,0.000596393,0.000744681,0.00197178,0.0020445
200,Hankel a3 rollout,488,4.3663,1.0740,1503,500,1503,500,1.0990,1.0189,0.000576005,0.0007312,0.00195279,0.00203778
200,Hankel a4 rollout,493,3.2416,1.1197,1503,500,1503,500,1.0944,1.0126,0.000611814,0.000728121,0.00196423,0.00202525
200,Hankel a5 rollout,492,8.8251,1.0737,1503,500,1503,500,1.0917,1.0122,0.000602129,0.00072634,0.00195529,0.0020244
