grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03,pen_sv_04,pen_sv_05,pen_sv_06,pen_sv_07,pen_sv_08,pen_sv_09
0,10001,17,9,253,10,0,3.9196269512176514,3.748380184173584,3.6289687156677246,3.5456175804138184,3.498978853225708,3.43019962310791,3.2804346084594727,3.2201199531555176,3.1819040775299072,3.0847489833831787,3.003506660461426,2.959699869155884,2.892554759979248,2.688987970352173,2.52679705619812,2.5079469680786133,2.3026950359344482,3.539085626602173,3.4821126461029053,3.4600841999053955,3.2834067344665527,3.1853139400482178,3.1048755645751953,2.9645657539367676,2.857616662979126,2.6853387355804443
0,10001,17,9,253,10,1,40.237186431884766,5.951242923736572,5.712423801422119,5.393256664276123,5.0832905769348145,5.014044284820557,4.887578010559082,4.7144694328308105,4.681274890899658,4.570066452026367,4.261125564575195,4.229532718658447,4.027065753936768,3.9547057151794434,3.886908531188965,3.693331480026245,3.5188565254211426,29.2270565032959,5.631249904632568,5.227270603179932,4.932936668395996,4.805706977844238,4.539375305175781,4.229404449462891,3.993096113204956,3.8371357917785645
5000,15001,17,9,254,15,0,280.8248291015625,72.3415298461914,44.40444564819336,30.665992736816406,28.513744354248047,21.862407684326172,19.727630615234375,16.77202606201172,14.897272109985352,12.574409484863281,12.484389305114746,10.605084419250488,10.32331657409668,9.501134872436523,8.947397232055664,8.26213550567627,7.782829761505127,208.64491271972656,42.763484954833984,28.01085662841797,20.6098575592041,15.84329605102539,12.338013648986816,9.98116397857666,9.281946182250977,8.796489715576172
5000,15001,17,9,254,15,1,283.7436828613281,72.80757904052734,44.88923263549805,30.629032135009766,28.406217575073242,22.56055450439453,20.376386642456055,16.9097843170166,13.858271598815918,12.617588996887207,11.555522918701172,9.691238403320312,9.17166519165039,8.901453018188477,8.23397445678711,7.643628120422363,7.2843241691589355,211.06689453125,43.31221008300781,28.234302520751953,20.329885482788086,15.613789558410645,11.57796573638916,9.412965774536133,8.880523681640625,8.123953819274902
10000,20001,17,9,256,20,0,793.0598754882812,92.73027038574219,54.0682487487793,39.036827087402344,32.34818649291992,28.592905044555664,24.824995040893555,22.708816528320312,20.722606658935547,18.833126068115234,16.050294876098633,15.39449691772461,13.907119750976562,12.703886032104492,12.277722358703613,11.583580017089844,10.984090805053711,581.6622314453125,53.49673080444336,32.19732666015625,25.846837997436523,20.123355865478516,17.909526824951172,15.368639945983887,13.172758102416992,12.597115516662598
10000,20001,17,9,256,20,1,796.6819458007812,93.58147430419922,55.16381072998047,39.64139938354492,32.688018798828125,29.311691284179688,25.728412628173828,22.00295066833496,20.512378692626953,16.8808650970459,15.389725685119629,15.022042274475098,13.697396278381348,13.320019721984863,12.85431957244873,11.327929496765137,10.046566009521484,584.7714233398438,53.15072250366211,32.34238052368164,26.49854850769043,20.214719772338867,16.347808837890625,14.993895530700684,13.77782917022705,11.948830604553223
15000,25001,17,9,251,25,0,1130.6951904296875,105.16594696044922,53.36807632446289,37.09780502319336,29.594812393188477,24.78101348876953,22.364076614379883,19.939640045166016,18.765491485595703,16.200485229492188,13.031393051147461,9.501574516296387,9.121193885803223,7.6009931564331055,7.339472770690918,6.72224235534668,6.066700458526611,828.442138671875,58.96556854248047,29.395389556884766,21.554452896118164,18.305675506591797,15.771374702453613,9.348136901855469,7.507298469543457,6.654189586639404
15000,25001,17,9,251,25,1,1119.9134521484375,105.03752899169922,53.88224411010742,36.78897476196289,28.752227783203125,25.249086380004883,22.016494750976562,18.791820526123047,17.778533935546875,15.638531684875488,11.451876640319824,9.737629890441895,8.902973175048828,8.442181587219238,7.560161590576172,7.226198196411133,7.0613555908203125,821.0532836914062,58.446407318115234,28.929622650146484,21.14065170288086,17.554859161376953,14.807196617126465,9.454133987426758,7.682159900665283,7.3255720138549805
20000,30001,17,9,249,30,0,1549.15673828125,113.71240234375,65.54928588867188,39.88709259033203,30.06955337524414,28.277528762817383,26.810726165771484,23.431102752685547,21.62860870361328,16.716991424560547,12.87530517578125,11.994607925415039,10.714864730834961,9.3948335647583,8.807284355163574,8.360404968261719,7.891693115234375,1127.8193359375,65.23381805419922,34.40852737426758,25.477067947387695,24.170581817626953,17.184720993041992,11.46385383605957,9.590886116027832,8.444416046142578
20000,30001,17,9,249,30,1,1551.033935546875,114.60364532470703,65.224853515625,40.32463836669922,29.37209701538086,27.763107299804688,25.613906860351562,22.288633346557617,20.954835891723633,16.393512725830078,12.898744583129883,11.035494804382324,9.950502395629883,9.152008056640625,8.302949905395508,7.966110706329346,7.339879035949707,1129.9144287109375,65.8057861328125,33.51002502441406,25.356351852416992,22.959487915039062,16.593730926513672,10.977169036865234,9.293207168579102,8.532471656799316
