episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
1,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
2,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
3,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
4,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
5,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
6,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
7,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
8,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
9,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
10,Hankel Q rollout,1,1.0000,1.0111,1503,500,1503,500,1.0143,1.0140,0.000646796,0.000674845,0.00194873,0.00202794
11,Hankel Q rollout,1,1.0000,1.0680,1503,500,1503,500,1.0049,1.0016,0.000657755,0.000668621,0.00198681,0.00200325
12,Hankel Q rollout,1,1.0000,1.1856,1503,500,1503,500,1.0126,1.0089,0.000658543,0.00067374,0.00199202,0.00201773
13,Hankel Q rollout,1,1.0001,1.3304,1503,500,1503,500,1.0326,1.0256,0.000661009,0.00068702,0.00199694,0.00205112
14,Hankel Q rollout,1,1.0001,1.3209,1503,500,1503,500,1.0189,1.0183,0.000663521,0.00067794,0.00199658,0.00203659
15,Hankel Q rollout,1,1.0001,1.2066,1503,500,1503,500,1.0236,1.0160,0.000643502,0.00068107,0.00199142,0.00203203
16,Hankel Q rollout,1,1.0009,1.8530,1503,500,1503,500,1.1032,1.0993,0.000655256,0.000734014,0.00197819,0.0021985
17,Hankel Q rollout,1,1.0003,1.3693,1503,500,1503,500,1.2367,1.0341,0.000369505,0.0008228,0.00199376,0.00206811
18,Hankel Q rollout,2,1.0028,2.0289,1503,500,1503,500,8.0117,7.8325,0.000331257,0.00533047,0.000997369,0.0156649
19,Hankel Q rollout,2,1.0021,1.9211,1503,500,1503,500,12.6783,10.1241,0.00025509,0.00843531,0.000939761,0.0202483
20,Hankel Q rollout,1,1.0002,1.5782,1503,500,1503,500,1.0290,1.0257,0.000658972,0.000684624,0.00198628,0.00205141
21,Hankel Q rollout,1,1.0006,1.5022,1503,500,1503,500,1.5322,1.0548,0.000310266,0.00101943,0.00198086,0.00210968
22,Hankel Q rollout,1,1.0006,1.6753,1503,500,1503,500,1.3371,1.0969,0.00057694,0.000889628,0.00195083,0.00219373
23,Hankel Q rollout,1,1.0001,1.2427,1503,500,1503,500,1.0394,1.0193,0.000616901,0.000691532,0.00198189,0.00203867
24,Hankel Q rollout,1,1.0001,1.1408,1503,500,1503,500,1.0379,1.0046,0.000651144,0.000690565,0.00199651,0.00200913
25,Hankel Q rollout,4,1.0040,1.4702,1503,500,1503,500,7.6593,5.2549,0.000127875,0.00509603,0.00074169,0.0105099
26,Hankel Q rollout,5,1.0075,1.3892,1503,500,1503,500,4.3610,2.3693,0.000132068,0.00290156,0.0011023,0.00473869
27,Hankel Q rollout,32,1.0042,1.7072,1503,500,1503,500,5.7449,4.3256,0.000165489,0.00382232,0.000894762,0.00865118
28,Hankel Q rollout,74,1.0040,1.5293,1503,500,1503,500,2.3497,2.1174,0.00031278,0.00156332,0.00110529,0.0042349
29,Hankel Q rollout,32,1.0024,1.5488,1503,500,1503,500,3.4392,3.0872,0.00015909,0.0022882,0.00134136,0.00617439
30,Hankel Q rollout,12,1.0026,1.3556,1503,500,1503,500,4.9488,3.8851,0.000103774,0.0032926,0.000668047,0.00777019
31,Hankel Q rollout,19,1.0057,1.5984,1503,500,1503,500,3.1898,2.3097,0.000131167,0.00212228,0.00150611,0.00461945
32,Hankel Q rollout,76,1.0030,1.8503,1503,500,1503,500,2.2519,2.3482,0.000302118,0.00149828,0.00158019,0.00469637
33,Hankel Q rollout,3,1.0039,1.1584,1503,500,1503,500,3.8806,1.9358,0.000243212,0.00258189,0.00142846,0.00387165
34,Hankel Q rollout,4,1.0032,1.3075,1503,500,1503,500,5.2577,3.1612,0.00014815,0.00349812,0.000863164,0.00632231
35,Hankel Q rollout,1,1.0001,1.1152,1503,500,1503,500,1.0385,1.0046,0.000651384,0.000690921,0.00199309,0.00200927
36,Hankel Q rollout,2,1.0015,1.1986,1503,500,1503,500,15.6565,5.5190,0.000176859,0.0104169,0.000995944,0.0110379
37,Hankel Q rollout,1,1.0001,1.1182,1503,500,1503,500,1.0297,1.0259,0.000656255,0.000685113,0.00197617,0.00205189
38,Hankel Q rollout,2,1.0013,1.1697,1503,500,1503,500,16.5113,5.8551,0.00019035,0.0109856,0.000997298,0.0117102
39,Hankel Q rollout,2,1.0011,1.2395,1503,500,1503,500,17.6089,6.3158,0.000176651,0.0117158,0.00100109,0.0126316
40,Hankel Q rollout,1,1.0002,1.1104,1503,500,1503,500,1.0187,1.0036,0.000650489,0.000677752,0.00199184,0.00200711
41,Hankel Q rollout,5,1.0028,1.3714,1503,500,1503,500,7.3320,3.5303,0.000112764,0.00487824,0.000606416,0.00706057
42,Hankel Q rollout,4,1.0075,1.2610,1503,500,1503,500,5.1831,2.3769,6.27944e-05,0.00344849,0.000935245,0.00475382
43,Hankel Q rollout,1,1.0001,1.0998,1503,500,1503,500,1.0242,1.0044,0.000640648,0.000681424,0.00197316,0.00200875
44,Hankel Q rollout,2,1.0013,1.1430,1503,500,1503,500,2.3622,1.7910,0.000253441,0.00157163,0.00100205,0.00358206
45,Hankel Q rollout,3,1.0038,1.2717,1503,500,1503,500,5.4372,2.0884,0.000130646,0.00361754,0.000880499,0.00417671
46,Hankel Q rollout,4,1.0079,1.2152,1503,500,1503,500,4.3315,2.1865,5.97024e-05,0.00288193,0.00113086,0.004373
47,Hankel Q rollout,6,1.0059,1.1303,1503,500,1503,500,3.9762,1.6164,0.000133004,0.00264551,0.000938341,0.00323289
48,Hankel Q rollout,1,1.0004,1.1107,1503,500,1503,500,1.0464,1.0297,0.000622566,0.000696216,0.00197064,0.00205944
49,Hankel Q rollout,1,1.0003,1.1378,1503,500,1503,500,1.0461,1.0389,0.000579431,0.000696007,0.0019328,0.00207772
50,Hankel Q rollout,1,1.0006,1.2742,1503,500,1503,500,1.2058,1.0438,0.000500126,0.000802241,0.00198774,0.00208753
51,Hankel Q rollout,1,1.0001,1.0859,1503,500,1503,500,1.0383,1.0133,0.000615457,0.000690825,0.00196565,0.0020267
52,Hankel Q rollout,4,1.0028,1.3012,1503,500,1503,500,5.1322,3.0011,0.000149545,0.00341463,0.000913549,0.00600213
53,Hankel Q rollout,1,1.0000,1.0876,1503,500,1503,500,1.0033,1.0015,0.000659661,0.00066753,0.00198905,0.00200306
54,Hankel Q rollout,1,1.0007,1.1576,1503,500,1503,500,1.1621,1.0285,0.00045739,0.00077322,0.00198906,0.00205702
55,Hankel Q rollout,13,1.0036,1.4540,1503,500,1503,500,2.2090,2.4880,0.00010927,0.00146971,0.00135907,0.00497603
56,Hankel Q rollout,2,1.0012,1.1761,1503,500,1503,500,8.0194,3.3644,0.000228128,0.00533563,0.000988046,0.00672882
57,Hankel Q rollout,1,1.0000,1.0909,1503,500,1503,500,1.0080,1.0058,0.000656684,0.000670636,0.00198356,0.00201154
58,Hankel Q rollout,1,1.0000,1.0729,1503,500,1503,500,1.0150,1.0011,0.000653744,0.000675338,0.00198922,0.00200217
59,Hankel Q rollout,1,1.0000,1.0679,1503,500,1503,500,1.0026,1.0011,0.000662818,0.000667075,0.00199673,0.00200219
60,Hankel Q rollout,2,1.0021,1.1111,1503,500,1503,500,3.8233,1.8705,0.000351102,0.00254381,0.00100424,0.00374105
61,Hankel Q rollout,3,1.0038,1.3048,1503,500,1503,500,8.3816,4.9380,0.000151861,0.0055766,0.00085953,0.00987609
62,Hankel Q rollout,1,1.0004,1.1667,1503,500,1503,500,1.2189,1.0207,0.000369554,0.000811001,0.00199103,0.00204139
63,Hankel Q rollout,12,1.0038,1.3888,1503,500,1503,500,3.2991,2.5984,0.000258697,0.00219502,0.000794708,0.0051968
