episode,reward,steps
0,32422.264514,1000
1,32501.199602,1000
2,32770.512999,1000
3,32145.436269,1000
4,31668.192907,1000
5,33944.999846,1000
6,34722.611754,1000
7,32368.395151,1000
8,30801.975922,1000
9,31251.871544,1000
10,35515.666654,1000
11,56539.225106,1000
12,55896.132229,1000
13,105020.113656,1000
14,85626.581079,1000
15,83628.582357,1000
16,71889.925066,1000
17,58159.119619,1000
18,79041.340352,1000
19,69727.113029,1000
20,69657.556751,1000
21,91823.0665,1000
22,111384.665526,1000
23,75653.360988,1000
24,112168.974515,1000
25,76315.031629,1000
26,113417.675807,1000
27,79835.302149,1000
28,70848.393318,1000
29,81912.865297,1000
30,76742.187649,1000
31,83035.592981,1000
32,91903.280159,1000
33,109361.85156,1000
34,98805.05093,1000
35,113085.413274,1000
36,111043.121757,1000
37,112168.840164,1000
38,118137.848092,1000
39,122598.723907,1000
40,112770.600027,1000
41,121413.541349,1000
42,115726.81679,1000
43,121917.744743,1000
44,127816.509058,1000
45,109124.404887,1000
46,115170.070541,1000
47,113949.47742,1000
48,116062.809444,1000
49,72575.099897,1000
50,113169.282557,1000
51,113220.950769,1000
52,107500.280579,1000
53,114598.844434,1000
54,117266.401635,1000
55,65691.395243,1000
56,64968.535941,1000
57,59414.628507,1000
58,121505.095227,1000
59,121306.979466,1000
60,121485.091081,1000
61,124387.034671,1000
62,72539.278584,1000
63,70738.780266,1000
64,88790.01995,1000
65,70153.821568,1000
66,116278.010373,1000
67,75664.895866,1000
68,61383.092035,1000
69,90258.986619,1000
70,101745.512271,1000
71,66802.562055,1000
72,72469.545668,1000
73,78722.253142,1000
74,71395.993666,1000
75,118787.835956,1000
76,113850.208252,1000
77,120160.609424,1000
78,122513.914829,1000
79,121866.703055,1000
80,122579.616357,1000
81,115983.134694,1000
82,113140.177504,1000
83,121231.704906,1000
84,122995.491155,1000
85,123430.658748,1000
86,122898.246935,1000
87,122078.928717,1000
88,123136.112256,1000
89,123318.260043,1000
90,123540.373735,1000
91,123230.875941,1000
92,122465.894537,1000
93,121336.904595,1000
94,123479.136481,1000
95,124537.983301,1000
96,125992.410766,1000
97,121420.011544,1000
98,121990.731645,1000
99,123190.418876,1000
100,124733.216056,1000
101,126343.340099,1000
102,123590.456532,1000
103,123315.35771,1000
104,121344.225118,1000
105,126215.039493,1000
106,122810.79258,1000
107,122752.840779,1000
108,122981.318543,1000
109,123569.754189,1000
110,123313.054052,1000
111,123104.589049,1000
112,123753.054013,1000
113,123528.999346,1000
114,122056.067508,1000
115,109084.965092,1000
116,123374.225326,1000
117,123545.189094,1000
118,121841.376418,1000
119,123324.138557,1000
120,122379.380692,1000
121,123342.490024,1000
122,123128.628236,1000
123,123612.021006,1000
124,123193.60255,1000
125,122318.534687,1000
126,122590.474181,1000
127,121950.378538,1000
128,123001.475993,1000
129,123180.393335,1000
130,123649.810157,1000
131,122454.939822,1000
132,122985.678743,1000
133,121574.207088,1000
134,122401.36247,1000
135,122868.290229,1000
136,124390.576779,1000
137,123305.22121,1000
138,123507.984487,1000
139,123344.469218,1000
140,122156.632677,1000
141,122304.307332,1000
142,122572.215723,1000
143,122884.3508,1000
144,121751.790832,1000
145,121820.652569,1000
146,122870.382032,1000
147,124042.210614,1000
148,123647.777892,1000
149,122848.767709,1000
150,123475.697175,1000
151,123193.492227,1000
