episode,reward,steps
0,32422.264514,1000
1,32501.199602,1000
2,32770.512999,1000
3,32145.436269,1000
4,31668.192907,1000
5,33944.999846,1000
6,34722.611754,1000
7,32368.395151,1000
8,30801.975922,1000
9,31251.871544,1000
10,34013.932637,1000
11,35521.635698,1000
12,42074.748917,1000
13,72720.262526,1000
14,67132.038106,1000
15,86186.106769,1000
16,95253.222869,1000
17,107151.975923,1000
18,112633.289037,1000
19,127203.303987,1000
20,78243.962474,1000
21,57937.565628,1000
22,50337.681494,1000
23,102862.397996,1000
24,53074.453287,1000
25,67038.779372,1000
26,66619.402514,1000
27,132801.784544,1000
28,129118.833761,1000
29,114814.821955,1000
30,55775.871649,1000
31,129404.737035,1000
32,130212.09962,1000
33,127015.448878,1000
34,131257.785946,1000
35,127630.387461,1000
36,128948.82558,1000
37,129997.48504,1000
38,128184.982622,1000
39,123761.761263,1000
40,105790.53757,1000
41,117938.316348,1000
42,57563.764101,1000
43,133134.367474,1000
44,126560.499933,1000
45,131155.683782,1000
46,134715.08889,1000
47,134925.335027,1000
48,129528.439759,1000
49,134659.018562,1000
50,135232.310283,1000
51,133671.294015,1000
52,130581.158498,1000
53,135006.316645,1000
54,134219.240896,1000
55,131177.502379,1000
56,134789.957933,1000
57,73227.774709,1000
58,133181.466242,1000
59,134303.334178,1000
60,134103.769674,1000
61,134537.279706,1000
62,135499.024243,1000
63,136062.328861,1000
64,132589.723335,1000
65,135440.42219,1000
66,135492.307232,1000
67,134681.567456,1000
68,136309.84059,1000
69,135951.387517,1000
70,135556.597772,1000
71,135717.343392,1000
72,134504.494238,1000
73,135131.500601,1000
74,135883.138213,1000
75,135418.74953,1000
76,134652.175671,1000
77,135007.926475,1000
78,133164.469636,1000
79,127599.808241,1000
80,57335.846112,1000
81,131440.457403,1000
82,135710.500493,1000
83,132684.037937,1000
84,136094.866243,1000
85,134683.119318,1000
86,136034.011014,1000
87,135285.926089,1000
88,135050.528273,1000
89,135638.683622,1000
90,134040.401367,1000
91,135231.109931,1000
92,134138.61858,1000
93,135715.820507,1000
94,134610.544439,1000
95,133643.013486,1000
96,135081.99025,1000
97,135597.194919,1000
98,134776.619345,1000
99,134811.012036,1000
100,134779.867623,1000
101,134040.613012,1000
102,134858.321796,1000
103,135992.604467,1000
104,135212.09023,1000
105,135708.755356,1000
106,136001.612741,1000
107,135930.507038,1000
108,134763.521093,1000
109,136192.142317,1000
110,135441.77998,1000
111,136167.90123,1000
112,136979.912172,1000
113,136173.229849,1000
114,135904.319305,1000
115,135796.977448,1000
116,136281.126594,1000
117,136299.113701,1000
118,136452.46799,1000
119,136363.20635,1000
120,136319.434492,1000
121,136278.678004,1000
122,136396.675912,1000
123,136195.335012,1000
124,135256.207765,1000
125,136093.032267,1000
126,136315.177732,1000
127,136272.917462,1000
128,136218.119096,1000
129,136301.92031,1000
130,136400.433524,1000
131,136357.034012,1000
132,136712.715877,1000
133,134607.275882,1000
134,137083.850367,1000
135,136491.001046,1000
136,136088.305326,1000
137,136731.8111,1000
138,136246.582067,1000
139,136202.761432,1000
140,137315.234367,1000
141,136326.498304,1000
142,136279.523137,1000
143,136902.924104,1000
144,136548.502822,1000
145,135488.774668,1000
146,136065.328436,1000
147,136789.335916,1000
148,138047.781853,1000
149,136397.371604,1000
150,136613.378083,1000
151,135139.296587,1000
