episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
1,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
2,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
3,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
4,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
5,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
6,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
7,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
8,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
9,Hankel Q rollout,495,2.2152,9.1255,1503,500,1503,500,1.4144,1.0088,0.00047504,0.000941067,0.00196499,0.00201762
10,Hankel Q rollout,1,1.0000,1.0036,1503,500,1503,500,1.0027,1.0019,0.000660436,0.000667107,0.0019866,0.00200385
11,Hankel Q rollout,1,1.0000,1.0015,1503,500,1503,500,1.0025,1.0020,0.000659306,0.000666971,0.00198201,0.00200406
12,Hankel Q rollout,1,1.0000,1.0031,1503,500,1503,500,1.0040,1.0036,0.000659194,0.000667991,0.00198195,0.0020072
13,Hankel Q rollout,1,1.0000,1.0032,1503,500,1503,500,1.0049,1.0039,0.000659594,0.000668623,0.0019834,0.00200782
14,Hankel Q rollout,1,1.0000,1.0019,1503,500,1503,500,1.0031,1.0026,0.000659856,0.000667428,0.00198388,0.00200522
15,Hankel Q rollout,1,1.0000,1.0058,1503,500,1503,500,1.0072,1.0065,0.000656258,0.000670145,0.00197624,0.00201305
16,Hankel Q rollout,1,1.0000,1.0030,1503,500,1503,500,1.0053,1.0036,0.00065712,0.000668851,0.00198081,0.00200729
17,Hankel Q rollout,1,1.0000,1.0443,1503,500,1503,500,1.0093,1.0071,0.000659499,0.000671506,0.00198882,0.00201428
18,Hankel Q rollout,1,1.0001,1.1365,1503,500,1503,500,1.0298,1.0262,0.000661173,0.000685148,0.0019906,0.00205234
19,Hankel Q rollout,1,1.0001,1.1324,1503,500,1503,500,1.0254,1.0235,0.000660797,0.000682254,0.00199298,0.00204709
20,Hankel Q rollout,1,1.0000,1.0017,1503,500,1503,500,1.0012,1.0004,0.000655073,0.000666145,0.00197091,0.00200086
21,Hankel Q rollout,1,1.0000,1.1388,1503,500,1503,500,1.0131,1.0094,0.000662326,0.000674072,0.00199626,0.00201884
22,Hankel Q rollout,1,1.0001,1.1506,1503,500,1503,500,1.1099,1.0062,0.000603022,0.000738482,0.00199109,0.00201249
23,Hankel Q rollout,1,1.0000,1.0240,1503,500,1503,500,1.0083,1.0008,0.000651012,0.000670845,0.00197437,0.00200166
24,Hankel Q rollout,1,1.0000,1.0138,1503,500,1503,500,1.0032,1.0008,0.000653582,0.000667478,0.00197288,0.00200158
25,Hankel Q rollout,1,1.0000,1.0290,1503,500,1503,500,1.0066,1.0026,0.000656956,0.000669725,0.00198027,0.00200517
26,Hankel Q rollout,1,1.0000,1.0366,1503,500,1503,500,1.0034,1.0016,0.000658009,0.000667597,0.00198195,0.00200325
27,Hankel Q rollout,1,1.0000,1.0550,1503,500,1503,500,1.0024,1.0009,0.000657898,0.00066696,0.00198086,0.0020018
28,Hankel Q rollout,1,1.0000,1.0999,1503,500,1503,500,1.0052,1.0012,0.000649513,0.000668775,0.00197383,0.00200244
29,Hankel Q rollout,1,1.0000,1.0542,1503,500,1503,500,1.0032,1.0007,0.00065583,0.000667467,0.00197848,0.00200142
30,Hankel Q rollout,1,1.0000,1.0761,1503,500,1503,500,1.0023,1.0007,0.000656749,0.000666891,0.00197803,0.00200143
31,Hankel Q rollout,1,1.0000,1.1363,1503,500,1503,500,1.0102,1.0082,0.000650263,0.000672147,0.00197332,0.00201642
32,Hankel Q rollout,2,1.0018,1.6214,1503,500,1503,500,7.0297,6.9000,0.000331266,0.00467713,0.00099761,0.0137999
33,Hankel Q rollout,2,1.0020,1.6090,1503,500,1503,500,4.5195,4.2867,0.000327017,0.00300697,0.000990212,0.00857343
34,Hankel Q rollout,2,1.0016,1.5929,1503,500,1503,500,7.0608,7.0421,0.000328251,0.00469778,0.000997105,0.0140842
35,Hankel Q rollout,8,1.0088,1.7169,1503,500,1503,500,2.2449,2.1970,0.000250735,0.00149364,0.000861262,0.0043941
36,Hankel Q rollout,5,1.0036,1.4327,1503,500,1503,500,3.5710,2.4420,0.000117822,0.00237595,0.000824612,0.00488401
37,Hankel Q rollout,2,1.0017,1.5049,1503,500,1503,500,5.0363,4.0785,0.000273262,0.00335084,0.00100541,0.00815694
38,Hankel Q rollout,2,1.0012,1.4821,1503,500,1503,500,6.2221,3.4737,0.00031782,0.0041398,0.000987888,0.00694734
39,Hankel Q rollout,2,1.0024,1.4082,1503,500,1503,500,8.0155,4.0326,0.000238582,0.00533302,0.000996126,0.00806526
40,Hankel Q rollout,1,1.0000,1.1726,1503,500,1503,500,1.0206,1.0156,0.00065695,0.00067904,0.00199217,0.00203129
41,Hankel Q rollout,19,1.0190,1.9347,1503,500,1503,500,2.6763,2.5324,0.000185312,0.00178061,0.00134058,0.00506486
42,Hankel Q rollout,1,1.0005,1.4561,1503,500,1503,500,1.1195,1.0809,0.000634174,0.000744863,0.0019743,0.00216173
43,Hankel Q rollout,1,1.0004,1.4549,1503,500,1503,500,1.0923,1.0715,0.000623087,0.000726729,0.00197526,0.00214299
44,Hankel Q rollout,2,1.0027,1.4704,1503,500,1503,500,7.4280,3.1868,0.00017678,0.00494212,0.000983632,0.00637359
45,Hankel Q rollout,1,1.0005,1.3701,1503,500,1503,500,1.0605,1.0396,0.000642258,0.000705583,0.00196487,0.00207916
46,Hankel Q rollout,1,1.0002,1.3794,1503,500,1503,500,1.0661,1.0586,0.00065655,0.000709295,0.00198731,0.00211718
47,Hankel Q rollout,4,1.0024,1.4531,1503,500,1503,500,6.7968,5.5225,0.000116011,0.00452218,0.000585866,0.011045
48,Hankel Q rollout,4,1.0039,1.8998,1503,500,1503,500,9.0311,7.9210,0.000268804,0.00600874,0.00116518,0.0158421
49,Hankel Q rollout,3,1.0024,1.1810,1503,500,1503,500,3.3161,1.7949,0.00016111,0.00220635,0.00103401,0.00358984
50,Hankel Q rollout,9,1.0212,1.3633,1503,500,1503,500,2.7447,2.3444,0.000130301,0.00182613,0.00124996,0.00468887
51,Hankel Q rollout,4,1.0029,1.3029,1503,500,1503,500,5.2649,2.5808,8.98316e-05,0.00350291,0.00126528,0.0051617
52,Hankel Q rollout,1,1.0001,1.0696,1503,500,1503,500,1.0256,1.0110,0.000652429,0.000682338,0.00199423,0.00202206
53,Hankel Q rollout,1,1.0001,1.0693,1503,500,1503,500,1.0195,1.0023,0.00065189,0.000678309,0.00199367,0.0020047
54,Hankel Q rollout,1,1.0003,1.1458,1503,500,1503,500,1.0660,1.0071,0.000586275,0.000709261,0.00198528,0.00201411
55,Hankel Q rollout,6,1.0083,1.1751,1503,500,1503,500,3.2682,2.3390,0.000110168,0.00217448,0.00143981,0.00467803
56,Hankel Q rollout,2,1.0029,1.0699,1503,500,1503,500,2.4614,1.7626,0.00033069,0.00163767,0.00102899,0.00352524
57,Hankel Q rollout,3,1.0031,1.4151,1503,500,1503,500,7.5515,4.1883,0.000144165,0.00502429,0.000984674,0.00837662
58,Hankel Q rollout,13,1.0044,1.4118,1503,500,1503,500,2.3977,1.7513,7.4212e-05,0.00159525,0.00152843,0.00350265
59,Hankel Q rollout,2,1.0014,1.3214,1503,500,1503,500,8.0402,3.4850,0.000255926,0.00534941,0.00100053,0.00697009
60,Hankel Q rollout,3,1.0038,1.2534,1503,500,1503,500,7.4296,4.0086,0.000267574,0.00494316,0.0010471,0.00801722
61,Hankel Q rollout,7,1.0093,1.4740,1503,500,1503,500,3.7598,2.6256,0.000108884,0.00250156,0.00095043,0.00525122
62,Hankel Q rollout,2,1.0019,1.5124,1503,500,1503,500,8.9214,7.3408,0.000255287,0.0059357,0.00100455,0.0146816
63,Hankel Q rollout,3,1.0024,1.2751,1503,500,1503,500,4.1403,2.6252,0.000204513,0.00275466,0.00119265,0.00525044
