episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,2,1.0018,1.0566,1500,500,1500,500,2.3349,1.5359,0.000322842,0.0015566,0.000998915,0.00307176
0,Hankel action rollout,3,1.4284,1.9782,1500,500,1500,500,1.7340,1.0780,0.000388802,0.001156,0.00191214,0.00215609
30,Hankel Q rollout,9,1.0539,30.3763,426,141,426,141,29.9810,9.9643,0.000292863,0.0703778,0.00100987,0.0706685
30,Hankel action rollout,28,1.9336,3.8073,426,141,426,141,8.0974,3.1182,8.19951e-05,0.019008,0.00187013,0.0221146
60,Hankel Q rollout,8,1.0624,5.7741,201,66,201,66,3.8594,2.7381,0.000223701,0.0192009,0.0091289,0.0414867
60,Hankel action rollout,32,1.2694,1.2940,201,66,201,66,1.9265,1.7749,0.000508232,0.00958446,0.010774,0.026892
90,Hankel Q rollout,4,1.0179,1.8892,102,33,102,33,3.2508,2.1132,0.00326102,0.031871,0.0204283,0.0640373
90,Hankel action rollout,20,1.8128,1.0094,102,33,102,33,4.5618,1.6232,0.00144659,0.044724,0.00587472,0.0491868
120,Hankel Q rollout,3,1.0221,1.5344,117,38,117,38,2.9228,1.9749,0.00267448,0.0249811,0.0170571,0.0519723
120,Hankel action rollout,30,2.2908,1.0103,117,38,117,38,3.4727,1.2560,0.00175511,0.0296815,0.0103657,0.0330525
150,Hankel Q rollout,4,1.0103,1.6216,117,38,117,38,2.5909,1.9598,0.00232176,0.0221443,0.0162806,0.0515735
150,Hankel action rollout,32,2.3335,1.0101,117,38,117,38,2.2940,1.1848,0.00181574,0.0196065,0.00959162,0.0311778
180,Hankel Q rollout,3,1.0064,1.6967,111,37,111,37,2.2831,1.3619,0.00270341,0.0205685,0.0214416,0.0368075
180,Hankel action rollout,32,2.4152,1.0107,111,37,111,37,1.6098,1.1133,0.00590328,0.0145025,0.0254507,0.0300885
210,Hankel Q rollout,3,1.0045,1.6757,105,34,105,34,2.0618,1.4544,0.00259541,0.0196363,0.021917,0.042775
210,Hankel action rollout,28,2.2568,1.0088,105,34,105,34,1.4614,1.2129,0.00179398,0.013918,0.00656031,0.035674
240,Hankel Q rollout,3,1.0034,1.7039,102,33,102,33,2.4398,1.5638,0.00366747,0.0239193,0.0207712,0.047389
240,Hankel action rollout,18,2.0241,1.0138,102,33,102,33,3.7876,1.7049,0.00219857,0.0371329,0.00796957,0.051663
270,Hankel Q rollout,2,1.0020,1.7357,102,33,102,33,2.3432,1.6343,0.00184246,0.0229726,0.0138855,0.0495254
270,Hankel action rollout,19,1.8820,1.0122,102,33,102,33,3.9267,1.6873,0.00166054,0.038497,0.00606496,0.05113
300,Hankel Q rollout,2,1.0016,1.6742,102,34,102,34,2.0531,1.9502,0.00261252,0.0201288,0.0144795,0.0573587
300,Hankel action rollout,20,1.8375,1.0131,102,34,102,34,3.3862,1.6761,0.00160315,0.0331979,0.00493571,0.0492977
330,Hankel Q rollout,5,1.0305,1.9050,189,62,189,62,1.6155,1.6930,0.00271198,0.00854749,0.0111147,0.0273065
330,Hankel action rollout,43,2.2373,1.0293,189,62,189,62,2.1795,1.4383,0.00074475,0.0115316,0.00417672,0.0231976
360,Hankel Q rollout,3,1.0152,2.0002,165,55,165,55,4.0334,2.8994,0.00246165,0.0244449,0.00929232,0.0527165
360,Hankel action rollout,30,3.3127,1.0915,165,55,165,55,1.4020,1.4162,0.00280239,0.00849697,0.013286,0.0257486
390,Hankel Q rollout,2,1.0062,1.9386,150,50,150,50,3.2045,2.4825,0.00257456,0.0213633,0.00790301,0.0496493
390,Hankel action rollout,35,2.1190,1.0607,150,50,150,50,2.0399,1.2705,0.00213088,0.0135996,0.0108162,0.0254105
420,Hankel Q rollout,1,1.0002,1.5431,102,33,102,33,1.6301,1.5308,0.00534019,0.0159813,0.017547,0.0463871
420,Hankel action rollout,24,2.0777,1.0138,102,33,102,33,4.0665,1.3620,0.00158615,0.0398681,0.00730527,0.0412729
450,Hankel Q rollout,1,1.0002,1.5292,102,33,102,33,1.6032,1.5316,0.0052111,0.0157175,0.0175656,0.0464122
450,Hankel action rollout,22,1.8594,1.0096,102,33,102,33,3.3390,1.4964,0.00133301,0.0327353,0.00526947,0.0453467
480,Hankel Q rollout,1,1.0001,1.5222,102,33,102,33,1.5910,1.5158,0.00527058,0.0155978,0.0179348,0.0459319
480,Hankel action rollout,21,1.8581,1.0108,102,33,102,33,3.8701,1.5602,0.00137931,0.0379418,0.00524783,0.047278
510,Hankel Q rollout,1,1.0001,1.5192,102,33,102,33,1.5930,1.5125,0.00533519,0.0156181,0.0182683,0.0458346
510,Hankel action rollout,21,1.9564,1.0117,102,33,102,33,4.2929,1.5410,0.00161142,0.0420872,0.00633805,0.0466969
540,Hankel Q rollout,1,1.0001,1.5174,102,33,102,33,1.5955,1.5202,0.0052915,0.015642,0.0181633,0.0460654
540,Hankel action rollout,21,1.8967,1.0117,102,33,102,33,4.1306,1.5540,0.00144295,0.0404957,0.00597599,0.0470894
570,Hankel Q rollout,1,1.0001,1.5104,102,33,102,33,1.5847,1.5209,0.00523671,0.0155362,0.0180164,0.0460871
570,Hankel action rollout,19,1.7519,1.0106,102,33,102,33,3.8629,1.7136,0.00135245,0.0378715,0.00467918,0.0519258
600,Hankel Q rollout,1,1.0001,1.5111,102,33,102,33,1.5796,1.5122,0.00526238,0.015486,0.0180857,0.0458253
600,Hankel action rollout,20,1.7640,1.0100,102,33,102,33,3.6029,1.6393,0.00132724,0.035323,0.00463839,0.0496747
630,Hankel Q rollout,1,1.0001,1.5065,102,33,102,33,1.5785,1.4955,0.0053679,0.0154757,0.0183817,0.0453186
630,Hankel action rollout,18,1.9495,1.0139,102,33,102,33,4.4393,1.7117,0.00185586,0.0435224,0.00861884,0.0518686
660,Hankel Q rollout,1,1.0001,1.5091,102,33,102,33,1.5723,1.4979,0.00536592,0.0154148,0.0184147,0.04539
660,Hankel action rollout,18,1.8292,1.0126,102,33,102,33,4.7205,1.7607,0.001569,0.0462792,0.00605784,0.0533561
690,Hankel Q rollout,1,1.0001,1.5004,102,33,102,33,1.5630,1.4991,0.0053639,0.0153231,0.0184652,0.0454262
690,Hankel action rollout,19,1.7021,1.0109,102,33,102,33,3.6552,1.7240,0.00129735,0.0358352,0.00462124,0.0522414
720,Hankel Q rollout,1,1.0001,1.4969,102,33,102,33,1.5618,1.4893,0.00548712,0.0153114,0.0187158,0.0451301
720,Hankel action rollout,19,1.8208,1.0129,102,33,102,33,4.5707,1.6974,0.00146771,0.0448111,0.00565468,0.0514364
750,Hankel Q rollout,1,1.0001,1.4995,102,33,102,33,1.5629,1.4917,0.00547238,0.0153224,0.0186525,0.0452045
