episode,reward,steps
0,-54.233139,999
1,-16.462525,999
2,-48.938479,999
3,-29.084447,999
4,-31.96773,999
5,-41.131423,999
6,-37.684488,999
7,-10.380826,999
8,-21.860857,999
9,72.185309,608
10,-36.527706,999
11,-54.912017,999
12,89.676059,551
13,61.243813,707
14,-71.355123,999
15,-12.744376,999
16,-70.286034,999
17,-22.952732,999
18,-25.679718,999
19,-38.79868,999
20,-31.660791,999
21,-52.86703,999
22,-32.30492,999
23,-18.384328,999
24,-19.807335,999
25,89.172871,407
26,95.508842,406
27,83.396733,729
28,89.695987,324
29,-59.824484,999
30,-25.135626,999
31,-60.730831,999
32,52.842857,784
33,86.51802,652
34,-29.555901,999
35,90.803478,460
36,65.126796,891
37,-88.213896,999
38,78.390856,782
39,88.46717,280
40,81.65742,593
41,91.194063,387
42,96.014805,167
43,64.270611,786
44,-40.761013,999
45,94.263251,150
46,80.773215,234
47,94.78173,168
48,95.183291,149
49,92.862175,281
50,74.74738,792
51,-69.848245,999
52,-83.942991,999
53,94.577091,279
54,90.731607,184
55,88.310893,299
56,58.661238,535
57,-52.642562,999
58,72.955967,926
59,86.522888,484
60,91.344764,203
61,92.381393,171
62,93.729304,77
63,93.493927,173
64,94.66135,91
65,93.506507,70
66,94.101094,94
67,92.144491,261
68,94.589569,106
69,93.913046,90
70,93.090817,78
71,92.969437,89
72,93.464075,90
73,92.643737,88
74,92.041821,88
75,91.349166,96
76,91.857043,97
77,92.920942,92
78,92.168279,90
79,-77.157367,999
80,92.209539,89
81,93.435291,81
82,94.253975,78
83,92.646974,90
84,92.639653,103
85,92.633168,83
86,93.48623,86
87,92.256742,97
88,92.910439,88
89,94.183699,81
90,92.164263,88
91,93.346815,82
92,93.016652,93
93,93.283191,80
94,-78.724959,999
95,92.727594,88
96,92.513027,92
97,92.884228,82
98,92.774877,82
99,93.214363,85
100,93.500889,104
101,84.449003,228
102,93.476494,85
103,92.381772,90
104,93.394987,77
105,92.668211,79
106,92.333213,80
107,93.632256,89
108,93.421287,77
109,93.355502,78
110,94.488244,71
111,94.026787,73
112,94.044564,89
113,91.861479,86
114,93.992793,75
115,92.134121,83
116,92.167151,84
117,92.221485,89
118,93.09623,75
119,92.518404,80
120,92.772353,84
121,92.749168,80
122,86.853029,184
123,92.880455,87
124,93.203897,80
125,92.008829,90
126,93.701756,98
127,92.583431,90
128,93.708726,76
129,92.282566,87
130,93.365861,79
131,94.618965,74
132,94.012684,72
133,92.829524,74
134,93.020261,72
135,91.169184,94
136,93.949115,84
137,94.393634,71
138,93.821114,76
139,93.706493,78
140,93.47981,91
141,94.068141,87
142,93.480756,80
143,93.79543,77
144,94.066199,70
145,93.301389,102
146,93.642839,73
147,94.38676,70
148,93.345026,79
149,93.528681,74
150,94.202702,69
151,92.43529,84
152,94.070771,71
153,93.314898,71
154,94.532864,73
155,93.732264,72
156,88.241049,161
157,93.574885,74
158,94.074868,84
159,92.370026,88
160,92.396663,82
161,93.283466,71
162,93.807402,73
163,91.082699,160
164,93.516241,69
165,93.051616,83
166,93.726463,75
167,93.932813,70
168,93.593326,83
169,93.745547,69
170,94.574213,77
171,94.085395,68
172,93.827508,70
173,92.858806,78
174,94.209316,67
175,94.157449,70
176,95.139714,77
177,94.504831,75
178,94.71456,92
179,94.06729,69
180,93.258693,71
181,92.76153,146
182,94.133591,72
183,93.788307,80
184,92.921614,78
185,93.909927,73
186,93.731995,68
187,93.957056,69
188,93.297186,78
189,93.733182,69
190,93.761818,68
191,93.413198,69
192,94.327061,73
193,94.192456,69
194,94.20647,75
195,91.159411,133
196,94.372534,83
197,94.340645,69
198,93.991423,72
199,93.103739,72
200,93.859836,68
201,94.061212,74
202,94.300094,78
203,94.290235,73
204,93.907017,73
205,93.327075,70
206,94.450882,73
207,94.947696,90
208,88.898905,231
209,94.458889,73
210,93.319796,69
211,94.302067,71
212,95.523337,84
213,93.730267,78
214,93.296529,69
215,93.937268,68
216,93.804943,72
217,93.97401,68
218,90.790892,182
219,94.093385,70
220,92.066856,144
221,93.56795,87
222,93.848893,68
223,94.076735,71
224,94.059484,68
225,94.297191,75
226,94.83932,79
227,94.418872,70
228,94.372075,72
229,92.617975,146
230,92.078841,137
231,94.90264,77
232,95.546694,89
233,93.85624,71
234,93.496091,70
235,93.897411,69
236,94.012749,69
237,91.284847,132
238,93.559569,68
239,93.610548,69
240,93.717825,67
241,93.566007,68
242,90.281446,129
243,93.65901,70
244,93.500325,67
245,87.51777,207
246,94.090783,71
247,94.187296,71
248,90.786732,136
249,94.296062,70
250,88.541276,222
251,93.679636,73
252,93.238723,69
253,94.076762,71
254,93.665256,72
255,94.102421,75
256,93.921407,68
257,94.48995,74
258,93.675233,67
259,93.828673,70
260,93.591025,68
261,94.343905,68
262,93.625968,68
263,94.606514,72
264,91.430497,135
265,93.772206,73
266,94.434954,69
267,94.521274,72
268,93.643611,68
269,94.031791,100
