episode,reward,steps
0,-54.233139,999
1,-16.462525,999
2,-48.938479,999
3,-29.084447,999
4,-31.96773,999
5,-41.131423,999
6,-37.684488,999
7,-10.380826,999
8,-21.860857,999
9,72.185309,608
10,-36.563567,999
11,77.249338,589
12,86.533978,634
13,89.159818,524
14,-35.219041,999
15,-48.894042,999
16,-19.132979,999
17,-21.872954,999
18,-37.135451,999
19,91.114826,802
20,77.700525,622
21,95.98705,340
22,93.625872,374
23,-60.688384,999
24,-18.170279,999
25,-24.837976,999
26,-21.281062,999
27,79.059035,610
28,-11.365495,999
29,-26.754812,999
30,-39.187293,999
31,-41.231412,999
32,74.674839,638
33,51.129366,766
34,85.026124,747
35,-23.612835,999
36,87.840918,376
37,70.56868,730
38,-72.535845,999
39,70.606727,650
40,95.321069,300
41,93.031361,233
42,89.75128,231
43,94.040515,222
44,79.364823,796
45,79.486632,508
46,89.439724,269
47,-61.069359,999
48,90.32147,249
49,86.454428,386
50,92.87178,87
51,92.595182,119
52,93.475964,117
53,93.670527,140
54,92.835529,139
55,90.713615,141
56,92.950821,83
57,92.165372,225
58,93.064326,133
59,93.293662,125
60,91.779425,129
61,92.458856,151
62,90.526751,139
63,93.232773,131
64,93.856409,81
65,93.681073,116
66,93.561401,78
67,89.605427,111
68,91.399935,135
69,89.89423,148
70,94.149957,96
71,93.748223,112
72,91.755841,157
73,93.201618,126
74,93.693709,163
75,92.529566,94
76,92.837867,102
77,94.039269,126
78,90.640625,134
79,93.253426,133
80,93.009584,123
81,93.108499,111
82,93.238152,167
83,88.893124,295
84,95.027007,74
85,94.244248,94
86,95.223591,116
87,95.413352,76
88,94.51724,119
89,94.477763,79
90,94.46219,86
91,92.877773,112
92,95.008278,87
93,95.115578,81
94,94.958976,86
95,94.849099,79
96,94.798151,79
97,93.542115,103
98,96.023436,92
99,93.083595,213
100,93.575343,84
101,94.275383,89
102,95.290272,78
103,94.660064,108
104,88.718936,266
105,93.255286,88
106,91.343767,168
107,92.997684,79
108,90.714309,184
109,93.987854,80
110,93.754108,124
111,92.566539,85
112,92.873541,89
113,94.131497,76
114,93.815655,85
115,92.774116,85
116,92.110562,85
117,92.946354,84
118,92.552625,84
119,94.521579,73
120,93.596277,74
121,93.607441,90
122,93.729428,93
123,92.022789,84
124,92.775501,80
125,91.593991,89
126,92.176104,92
127,92.527863,85
128,90.97506,93
129,93.180204,97
130,90.217057,175
131,92.743028,83
132,92.556525,82
133,-72.108901,999
134,93.210837,78
135,91.473241,89
136,94.016746,86
137,94.565232,72
138,91.820104,86
139,94.105861,83
140,92.506191,82
141,93.574389,81
142,92.729375,77
143,94.847764,82
144,93.377046,83
145,94.19157,95
146,-60.106295,999
147,86.852725,159
148,75.220835,328
149,74.956165,409
150,92.290719,81
151,92.33191,91
152,93.620751,73
153,92.884525,77
154,94.412985,72
155,93.998991,73
156,92.31928,98
157,92.821461,85
158,93.350835,76
159,91.924342,87
160,91.975044,89
161,93.704924,87
162,93.843848,75
163,93.244324,77
164,92.081157,83
165,91.385898,91
166,92.752007,84
167,93.988134,76
168,92.818908,88
169,92.540517,89
170,92.817421,80
171,93.34677,100
172,93.158113,90
173,94.161978,75
174,92.526491,84
175,92.322972,89
176,93.679047,83
177,93.091247,73
178,93.227959,77
179,93.75981,73
180,92.780661,75
181,94.294081,85
182,93.270824,74
183,93.359821,77
184,92.883745,90
185,94.208595,89
186,93.685394,77
187,94.068998,81
188,93.115294,77
189,95.020122,72
190,94.016373,85
191,93.127237,76
192,94.039846,74
193,93.273835,81
194,92.896665,75
195,93.766889,74
196,92.848532,78
197,94.129068,73
198,92.743912,77
199,94.435654,72
200,93.628738,75
201,94.084453,90
202,93.521512,72
203,93.365161,74
204,94.51727,79
205,93.899623,78
206,93.407647,75
207,93.075419,73
208,93.822301,78
209,94.653087,81
210,93.896017,81
211,93.103685,72
212,94.113291,73
213,93.392949,135
214,94.263293,76
215,94.557844,72
216,94.458611,84
217,94.28973,69
218,93.67471,70
219,93.413529,73
220,93.104076,70
221,93.379064,70
222,94.612724,79
223,94.919667,81
224,95.69893,101
225,93.631728,71
226,93.293683,70
227,91.852406,153
228,93.796415,69
229,93.244294,75
230,93.647981,72
231,93.455107,70
232,93.661996,78
233,93.693726,70
234,93.57473,74
235,93.489123,71
236,93.907469,70
237,93.366324,70
238,94.587785,77
239,93.24137,73
240,93.23627,77
241,89.773878,138
242,94.636724,89
243,85.612642,229
244,94.536723,69
245,93.225856,71
246,84.579215,304
247,69.493132,521
248,94.101215,70
249,93.95926,71
250,93.639426,71
251,93.291807,69
252,93.443396,73
253,94.243149,74
254,94.179137,78
255,91.237561,131
256,94.138005,74
257,94.296279,74
258,93.731867,71
259,94.111038,69
260,93.854073,69
261,93.971386,70
262,94.05656,68
263,95.238428,78
264,91.822034,125
265,90.331202,134
266,95.552124,86
267,93.452778,69
268,92.764303,94
269,92.942445,94
270,95.370647,76
