grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03,pen_sv_04,pen_sv_05,pen_sv_06,pen_sv_07,pen_sv_08,pen_sv_09
0,101,17,9,215,1,0,1.9863635301589966,0.25054115056991577,0.2353469729423523,0.21382689476013184,0.20535123348236084,0.1843939572572708,0.17630954086780548,0.17405995726585388,0.167414128780365,0.16113436222076416,0.15246649086475372,0.14747172594070435,0.1354045420885086,0.13329468667507172,0.11808909475803375,0.11041833460330963,0.10125342756509781,1.4893189668655396,0.19910216331481934,0.19137713313102722,0.18621405959129333,0.17804305255413055,0.17021504044532776,0.1581619828939438,0.1317429542541504,0.10795366019010544
0,101,17,9,215,1,1,1.8572636842727661,0.484035462141037,0.4691522717475891,0.42867425084114075,0.3948211669921875,0.36450904607772827,0.34649279713630676,0.3388903737068176,0.32790759205818176,0.3083820343017578,0.29373490810394287,0.27705299854278564,0.25612470507621765,0.2378639131784439,0.22029832005500793,0.20788832008838654,0.1899791806936264,1.4613386392593384,0.3849925100803375,0.3706008195877075,0.35219061374664307,0.33672669529914856,0.3181416094303131,0.29889631271362305,0.2336934506893158,0.21217918395996094
1000,1101,17,9,247,2,0,6.263659477233887,0.5868579745292664,0.2866201102733612,0.2744350731372833,0.2134488970041275,0.2069045603275299,0.1969488263130188,0.16970345377922058,0.14785926043987274,0.1421317607164383,0.13888518512248993,0.11300607770681381,0.09806035459041595,0.08999630808830261,0.07565368711948395,0.06931153684854507,0.0474516786634922,4.581601619720459,0.3087255656719208,0.18931566178798676,0.16700626909732819,0.15052835643291473,0.12806206941604614,0.10576096922159195,0.09498053044080734,0.07670805603265762
1000,1101,17,9,247,2,1,6.431633949279785,0.591400682926178,0.28644952178001404,0.27239683270454407,0.2120855450630188,0.2047841101884842,0.19565990567207336,0.16830691695213318,0.14776870608329773,0.14242662489414215,0.13775697350502014,0.11361993849277496,0.09757941216230392,0.09025752544403076,0.07559787482023239,0.06940935552120209,0.04780460521578789,4.706669807434082,0.30960336327552795,0.1877252608537674,0.16602440178394318,0.14901860058307648,0.12733274698257446,0.10486970096826553,0.0930485650897026,0.07678800821304321
2000,2101,17,9,253,3,0,5.672618865966797,0.39183226227760315,0.22734686732292175,0.2075965851545334,0.19121092557907104,0.17467248439788818,0.16026073694229126,0.1382482647895813,0.11336683481931686,0.10394258052110672,0.0741262212395668,0.06627291440963745,0.06135315075516701,0.05175657197833061,0.04758516326546669,0.042382195591926575,0.03382484242320061,4.162807941436768,0.24954961240291595,0.17464011907577515,0.15618479251861572,0.14628781378269196,0.1197509840130806,0.07576094567775726,0.05574055016040802,0.05247290059924126
2000,2101,17,9,253,3,1,5.716623783111572,0.3955264985561371,0.2272580862045288,0.20706114172935486,0.1916927844285965,0.1747312843799591,0.1591339111328125,0.13766783475875854,0.11306672543287277,0.1035880520939827,0.07371694594621658,0.06668471544981003,0.061207834631204605,0.05201282724738121,0.047870535403490067,0.04250722751021385,0.03413328900933266,4.195323467254639,0.2505963146686554,0.17462602257728577,0.15543624758720398,0.1459040492773056,0.11944939196109772,0.07571930438280106,0.055551085621118546,0.052234504371881485
3000,3101,17,9,252,4,0,6.299689769744873,0.3801106810569763,0.22744809091091156,0.2139119952917099,0.20596016943454742,0.18743456900119781,0.1440967172384262,0.12342553585767746,0.1052689477801323,0.090892493724823,0.0772731825709343,0.07038187980651855,0.05706211179494858,0.0498010516166687,0.041078757494688034,0.03981812298297882,0.03707194700837135,4.611020565032959,0.2494395226240158,0.18190324306488037,0.13537363708019257,0.12145169824361801,0.10434158891439438,0.08367006480693817,0.07015904039144516,0.04527797922492027
3000,3101,17,9,252,4,1,6.335128307342529,0.3889344334602356,0.22760464251041412,0.21370773017406464,0.20330485701560974,0.18577565252780914,0.14288903772830963,0.12255397439002991,0.10473880916833878,0.09097250550985336,0.07930231839418411,0.07127832621335983,0.05748811364173889,0.05022289976477623,0.041694242507219315,0.04095136746764183,0.03816206380724907,4.6371636390686035,0.25128373503685,0.18043386936187744,0.13408614695072174,0.12157239019870758,0.10219298303127289,0.084287628531456,0.07016700506210327,0.04600868374109268
4000,4101,17,9,253,5,0,7.055096626281738,0.4049544334411621,0.2170051783323288,0.1790977120399475,0.15214477479457855,0.11836473643779755,0.11304478347301483,0.09786414355039597,0.06339555978775024,0.062133654952049255,0.05583096295595169,0.05128466710448265,0.04800289124250412,0.04139205068349838,0.038129571825265884,0.034328266978263855,0.032612863928079605,5.143618583679199,0.22178871929645538,0.15132156014442444,0.10985345393419266,0.10190420597791672,0.09253033995628357,0.05546307936310768,0.05287932977080345,0.035585302859544754
4000,4101,17,9,253,5,1,7.057824611663818,0.40032801032066345,0.21428020298480988,0.17584164440631866,0.15132156014442444,0.11749114841222763,0.11181097477674484,0.0963556170463562,0.06295518577098846,0.06066387891769409,0.055429115891456604,0.05106697231531143,0.047133732587099075,0.04118422791361809,0.03791017457842827,0.03404562175273895,0.03226816654205322,5.146144390106201,0.21936561167240143,0.15025213360786438,0.10949748754501343,0.10004156827926636,0.09145303070545197,0.055026233196258545,0.05229179933667183,0.03508341684937477
5000,5101,17,9,250,6,0,8.10269546508789,0.3373541235923767,0.20857621729373932,0.19136366248130798,0.16236290335655212,0.12079083919525146,0.09475443512201309,0.07506430149078369,0.0627126544713974,0.0533764511346817,0.04462158679962158,0.039146650582551956,0.036378711462020874,0.0336335189640522,0.03040814958512783,0.028879744932055473,0.027054453268647194,5.915109634399414,0.20826874673366547,0.1538354754447937,0.1129208356142044,0.08893278241157532,0.060385145246982574,0.053924817591905594,0.03686613589525223,0.03004135750234127
5000,5101,17,9,250,6,1,8.181831359863281,0.337960422039032,0.208619624376297,0.1910177767276764,0.16259807348251343,0.1216830164194107,0.09554237872362137,0.07542746514081955,0.06352700293064117,0.05376305803656578,0.04509670287370682,0.0399196520447731,0.036810774356126785,0.03413045406341553,0.030681397765874863,0.029061555862426758,0.02737170085310936,5.972078323364258,0.20807471871376038,0.15349335968494415,0.11420248448848724,0.08981629461050034,0.06097196787595749,0.05413265526294708,0.037322331219911575,0.03022565320134163
6000,6101,17,9,253,7,0,9.175004005432129,0.3580091893672943,0.19518253207206726,0.13613884150981903,0.10860078781843185,0.10331019759178162,0.08427570015192032,0.05913177505135536,0.05626318231225014,0.04627221077680588,0.043978460133075714,0.040022458881139755,0.03854265436530113,0.03631655126810074,0.034277454018592834,0.03107965923845768,0.025964172556996346,6.688020706176758,0.2024790197610855,0.09596211463212967,0.06909731030464172,0.05928892269730568,0.046088311821222305,0.04203711450099945,0.03774910792708397,0.03517905995249748
6000,6101,17,9,253,7,1,9.204798698425293,0.3583635091781616,0.19520941376686096,0.1372186243534088,0.10887071490287781,0.10509293526411057,0.08436141908168793,0.059008073061704636,0.0562489777803421,0.046803317964076996,0.04394639655947685,0.040572118014097214,0.03902905806899071,0.0368088074028492,0.03413989394903183,0.03147566318511963,0.026150209829211235,6.709315299987793,0.20226894319057465,0.09633376449346542,0.06983067840337753,0.06010761111974716,0.04605863615870476,0.04248765856027603,0.038228727877140045,0.03519674390554428
7000,7101,17,9,252,8,0,9.835579872131348,0.33874961733818054,0.19963012635707855,0.11830061674118042,0.10019845515489578,0.08594535291194916,0.07230893522500992,0.0635104551911354,0.05040581896901131,0.04614900425076485,0.04076103866100311,0.037987031042575836,0.03615207225084305,0.03518503159284592,0.03257189691066742,0.029073070734739304,0.02779528498649597,7.167233467102051,0.19759590923786163,0.09485846012830734,0.06327733397483826,0.052481479942798615,0.04551532864570618,0.036310646682977676,0.03444616124033928,0.031951893121004105
7000,7101,17,9,252,8,1,9.891953468322754,0.3383471369743347,0.19938600063323975,0.11910871416330338,0.10009537637233734,0.08603595197200775,0.07301794737577438,0.06314767152070999,0.05077001079916954,0.046333663165569305,0.04097539559006691,0.03766234591603279,0.03617824986577034,0.03502960130572319,0.032857745885849,0.029162151739001274,0.02770392969250679,7.207561016082764,0.19742150604724884,0.09522675722837448,0.06318823993206024,0.0523490309715271,0.04574599862098694,0.03634723648428917,0.03437752276659012,0.03204718604683876
8000,8101,17,9,254,9,0,10.232036590576172,0.39038676023483276,0.20079059898853302,0.16863274574279785,0.14913929998874664,0.13342876732349396,0.10771875083446503,0.0940655767917633,0.08431455492973328,0.069636769592762,0.05814466252923012,0.050508566200733185,0.04434720426797867,0.040646180510520935,0.04044637456536293,0.03546459227800369,0.028290878981351852,7.456200122833252,0.2137363851070404,0.11492609232664108,0.09865781664848328,0.08336037397384644,0.05903884768486023,0.0448521189391613,0.04377441853284836,0.03272421658039093
