episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,2,1.0018,1.0566,1500,500,1500,500,2.3349,1.5359,0.000322842,0.0015566,0.000998915,0.00307176
0,Hankel action rollout,3,1.4284,1.9782,1500,500,1500,500,1.7340,1.0780,0.000388802,0.001156,0.00191214,0.00215609
30,Hankel Q rollout,6,1.0545,13.6225,267,89,267,89,22.6377,7.6361,0.000646646,0.0847855,0.00263759,0.0857992
30,Hankel action rollout,16,1.7038,3.9322,267,89,267,89,6.3320,2.8502,0.000593613,0.0237152,0.00516106,0.0320242
60,Hankel Q rollout,6,1.1338,3.7179,165,55,165,55,6.5490,3.5326,0.000442635,0.039691,0.00988762,0.0642282
60,Hankel action rollout,44,1.4745,1.2745,165,55,165,55,1.9433,1.2168,0.000381306,0.0117776,0.00979032,0.0221232
90,Hankel Q rollout,3,1.0224,1.5681,114,38,114,38,3.2664,1.9934,0.00281299,0.0286527,0.0161022,0.052458
90,Hankel action rollout,30,2.2554,1.0606,114,38,114,38,2.0966,1.2377,0.00415176,0.0183916,0.0166649,0.0325711
120,Hankel Q rollout,3,1.0144,1.4246,114,37,114,37,3.0002,2.3201,0.00211188,0.0263179,0.0160649,0.062705
120,Hankel action rollout,30,2.3306,1.0124,114,37,114,37,2.6433,1.2214,0.00238327,0.0231872,0.0135747,0.0330105
150,Hankel Q rollout,3,1.0067,1.4619,117,39,117,39,3.2674,2.4714,0.00172353,0.0279265,0.0145747,0.0633684
150,Hankel action rollout,30,2.3256,1.0106,117,39,117,39,1.7968,1.2897,0.0019971,0.0153575,0.00734291,0.0330691
180,Hankel Q rollout,4,1.0077,1.5321,129,43,129,43,2.6512,1.9942,0.00145329,0.0205517,0.0155381,0.0463775
180,Hankel action rollout,29,2.0649,1.0080,129,43,129,43,2.7963,1.4705,0.00104973,0.0216768,0.00349351,0.0341966
210,Hankel Q rollout,3,1.0044,1.5631,117,39,117,39,3.1923,1.7436,0.00173329,0.0272846,0.0146174,0.0447084
210,Hankel action rollout,29,2.3051,1.0122,117,39,117,39,3.4342,1.3171,0.00216837,0.0293525,0.00984873,0.0337717
240,Hankel Q rollout,2,1.0025,1.5989,108,36,108,36,1.8287,1.7711,0.00265683,0.0169322,0.0139228,0.0491983
240,Hankel action rollout,31,2.3392,1.0112,108,36,108,36,2.8679,1.1584,0.00239613,0.0265547,0.0144078,0.0321791
270,Hankel Q rollout,8,1.0165,1.1871,1500,500,1500,500,4.6898,3.2680,0.000564744,0.00312651,0.00169294,0.006536
270,Hankel action rollout,76,3.9789,1.0002,1500,500,1500,500,3.8490,2.9065,0.000562803,0.002566,0.00167242,0.00581309
300,Hankel Q rollout,3,1.0064,1.7251,144,48,144,48,2.7338,1.9576,0.00479465,0.0189849,0.0148605,0.0407842
300,Hankel action rollout,41,1.8270,1.0129,144,48,144,48,2.0373,1.1707,0.00109504,0.0141476,0.0117513,0.0243902
330,Hankel Q rollout,3,1.0080,1.9045,153,51,153,51,3.9624,2.1370,0.00264913,0.0258981,0.0110002,0.0419024
330,Hankel action rollout,34,2.1057,1.0782,153,51,153,51,2.9186,1.4991,0.000840245,0.0190759,0.00449897,0.0293937
360,Hankel Q rollout,4,1.0081,1.9184,153,51,153,51,3.1128,2.6579,0.00296574,0.0203453,0.0103956,0.0521148
360,Hankel action rollout,37,1.6335,1.1337,153,51,153,51,1.5790,1.3763,0.000572603,0.01032,0.00479933,0.0269869
390,Hankel Q rollout,3,1.0079,1.9959,138,46,138,46,5.1792,2.6994,0.0029223,0.0375308,0.011411,0.0586822
390,Hankel action rollout,37,1.7224,1.0802,138,46,138,46,1.9448,1.2431,0.00074246,0.0140931,0.00909837,0.027023
420,Hankel Q rollout,2,1.0033,1.7084,102,33,102,33,2.5890,1.5570,0.00363391,0.0253827,0.0143839,0.0471827
420,Hankel action rollout,18,1.6370,1.0095,102,33,102,33,4.8608,1.7860,0.00129892,0.0476552,0.00589204,0.0541212
450,Hankel Q rollout,2,1.0016,1.6244,102,33,102,33,2.9244,1.4883,0.00307386,0.0286709,0.013908,0.0450986
450,Hankel action rollout,24,2.0259,1.0071,102,33,102,33,1.6753,1.3728,0.00141998,0.0164249,0.004733,0.0416012
480,Hankel Q rollout,2,1.0013,1.5952,102,33,102,33,2.4840,2.2165,0.00246894,0.0243532,0.0163875,0.0671665
480,Hankel action rollout,16,1.9266,1.0161,102,33,102,33,2.2860,1.8857,0.00214411,0.0224122,0.00730925,0.0571431
510,Hankel Q rollout,1,1.0009,1.5698,102,34,102,34,1.6695,1.6173,0.00439359,0.0163672,0.0149762,0.0475676
510,Hankel action rollout,22,2.0792,1.0135,102,34,102,34,2.9570,1.5161,0.00182897,0.0289902,0.00592705,0.0445898
540,Hankel Q rollout,1,1.0008,1.5632,102,34,102,34,1.6364,1.5854,0.00455208,0.0160435,0.0154609,0.0466305
540,Hankel action rollout,18,2.0785,1.0178,102,34,102,34,3.6635,1.7382,0.00229845,0.0359162,0.00794694,0.0511243
570,Hankel Q rollout,1,1.0007,1.5474,102,33,102,33,1.6257,1.5608,0.0045456,0.0159382,0.0164687,0.0472982
570,Hankel action rollout,18,1.9194,1.0155,102,33,102,33,2.2350,1.7594,0.00179059,0.0219114,0.00645709,0.0533164
600,Hankel Q rollout,1,1.0004,1.5535,102,34,102,34,1.6163,1.5575,0.00485452,0.0158457,0.0164693,0.0458075
600,Hankel action rollout,23,2.1139,1.0145,102,34,102,34,3.4736,1.4577,0.00187793,0.0340547,0.00649689,0.0428747
630,Hankel Q rollout,1,1.0003,1.5217,102,33,102,33,1.5891,1.5175,0.00501208,0.0155794,0.0177428,0.0459849
630,Hankel action rollout,23,2.0752,1.0138,102,33,102,33,3.3613,1.4222,0.00184154,0.0329544,0.0070315,0.0430984
660,Hankel Q rollout,1,1.0002,1.5180,102,33,102,33,1.5806,1.5161,0.00510785,0.0154961,0.017876,0.0459433
660,Hankel action rollout,23,2.0348,1.0107,102,33,102,33,2.8530,1.4272,0.00167756,0.027971,0.00607146,0.0432496
690,Hankel Q rollout,1,1.0002,1.5111,102,34,102,34,1.5595,1.5198,0.00532125,0.0152893,0.0174399,0.0446997
690,Hankel action rollout,27,2.1569,1.0049,102,34,102,34,1.4851,1.2589,0.00170444,0.0145603,0.00517104,0.0370273
720,Hankel Q rollout,1,1.0001,1.5062,102,33,102,33,1.5665,1.5014,0.00533234,0.015358,0.018273,0.0454956
720,Hankel action rollout,18,1.9488,1.0161,102,33,102,33,3.2849,1.7473,0.0018403,0.0322048,0.00721486,0.0529499
750,Hankel Q rollout,1,1.0001,1.5026,102,33,102,33,1.5625,1.4997,0.0053824,0.0153186,0.0183594,0.0454466
