episode,reward,steps
0,-1195.724418,200
1,-1683.363475,200
2,-1371.314475,200
3,-1523.902329,200
4,-1388.529183,200
5,-1504.189911,200
6,-1530.806086,200
7,-1494.299833,200
8,-1383.595455,200
9,-1260.151514,200
10,-1302.776206,200
11,-1164.555631,200
12,-1184.625756,200
13,-1081.256885,200
14,-932.139894,200
15,-915.659083,200
16,-815.691779,200
17,-524.500292,200
18,-529.822872,200
19,-554.596688,200
20,-258.866585,200
21,-258.6437,200
22,-127.690231,200
23,-134.393269,200
24,-128.004624,200
25,-403.446121,200
26,-132.14829,200
27,-265.694917,200
28,-360.446653,200
29,-132.640136,200
30,-246.80997,200
31,-261.983392,200
32,-130.736474,200
33,-123.122919,200
34,-0.477517,200
35,-274.379012,200
36,-126.620897,200
37,-131.765688,200
38,-360.088555,200
39,-116.621444,200
40,-129.204337,200
41,-126.356663,200
42,-129.996878,200
43,-328.205075,200
44,-127.619771,200
45,-247.60197,200
46,-122.900506,200
47,-129.719094,200
48,-0.581952,200
49,-0.596316,200
50,-1.184813,200
51,-115.519082,200
52,-357.823678,200
53,-120.36637,200
54,-117.810841,200
55,-118.134958,200
56,-0.461488,200
57,-118.581712,200
58,-0.697269,200
59,-231.963252,200
60,-0.539069,200
61,-335.21001,200
62,-318.431959,200
63,-2.087771,200
64,-115.024683,200
65,-128.72251,200
66,-232.974546,200
67,-122.142713,200
68,-128.672193,200
69,-118.930881,200
70,-124.988089,200
71,-115.987277,200
72,-126.102146,200
73,-245.222611,200
74,-124.524774,200
75,-250.327417,200
76,-120.901124,200
77,-280.963179,200
78,-230.615113,200
79,-238.626741,200
80,-231.356778,200
81,-0.750423,200
82,-115.587845,200
83,-118.523742,200
84,-128.549885,200
85,-224.211306,200
86,-232.643104,200
87,-346.40313,200
88,-127.562097,200
89,-119.877781,200
90,-127.131495,200
91,-134.101938,200
92,-130.779925,200
93,-119.045166,200
94,-124.610106,200
95,-5.458579,200
96,-352.228696,200
97,-127.212716,200
98,-343.212731,200
99,-256.45028,200
