episode,reward,steps
0,-1195.724418,200
1,-1683.363475,200
2,-1371.314475,200
3,-1523.902329,200
4,-1388.529183,200
5,-1504.189911,200
6,-1530.806086,200
7,-1494.299833,200
8,-1383.595455,200
9,-1260.151514,200
10,-1297.145232,200
11,-1159.962236,200
12,-1104.084514,200
13,-1068.058553,200
14,-944.601259,200
15,-886.631647,200
16,-794.071798,200
17,-673.332414,200
18,-526.019219,200
19,-423.235949,200
20,-127.37403,200
21,-255.550357,200
22,-127.242103,200
23,-133.721436,200
24,-125.462317,200
25,-271.748445,200
26,-131.721708,200
27,-265.793027,200
28,-358.875784,200
29,-134.020678,200
30,-773.173534,200
31,-397.405449,200
32,-129.175904,200
33,-125.072055,200
34,-3.132617,200
35,-251.71434,200
36,-128.270967,200
37,-132.469647,200
38,-355.780434,200
39,-117.306375,200
40,-128.702634,200
41,-127.151583,200
42,-128.985111,200
43,-328.597872,200
44,-119.695947,200
45,-244.072234,200
46,-118.019369,200
47,-130.770708,200
48,-0.631228,200
49,-0.632569,200
50,-1.070191,200
51,-115.070464,200
52,-229.731896,200
53,-120.253851,200
54,-118.559094,200
55,-120.183426,200
56,-2.989406,200
57,-120.052827,200
58,-2.990802,200
59,-238.279427,200
60,-2.467389,200
61,-346.816136,200
62,-357.940956,200
63,-3.659501,200
64,-116.326927,200
65,-131.704131,200
66,-245.773143,200
67,-121.701989,200
68,-130.493396,200
69,-119.23777,200
70,-127.091018,200
71,-116.731239,200
72,-124.676402,200
73,-244.693191,200
74,-125.385802,200
75,-256.461133,200
76,-119.139168,200
77,-258.033258,200
78,-231.464428,200
79,-235.362809,200
80,-234.223576,200
81,-1.324555,200
82,-116.580224,200
83,-119.50698,200
84,-127.247204,200
85,-226.880491,200
86,-233.700536,200
87,-342.46914,200
88,-128.526991,200
89,-119.479768,200
90,-129.677959,200
91,-134.460336,200
92,-129.378186,200
93,-118.063962,200
94,-124.175401,200
95,-1.617564,200
96,-345.803339,200
97,-125.624815,200
98,-341.276554,200
99,-248.931228,200
