episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,2,1.0017,1.3956,1503,500,1503,500,8.4936,7.4968,0.00023873,0.00565111,0.000860335,0.0149936
0,Hankel a0 rollout,2,1.0045,1.0867,1503,500,1503,500,7.2873,5.5508,0.000335005,0.00484848,0.00105492,0.0111016
0,Hankel a1 rollout,2,1.0038,1.2164,1503,500,1503,500,8.3199,7.6298,0.000294749,0.00553554,0.000983286,0.0152595
100,Hankel Q rollout,2,1.0018,1.0621,1503,500,1503,500,4.1877,3.7167,0.000321594,0.00278624,0.000989236,0.00743343
100,Hankel a0 rollout,72,1.0739,1.0207,1503,500,1503,500,8.6736,5.9754,1.32094e-05,0.00577083,4.4493e-05,0.0119507
100,Hankel a1 rollout,26,1.0393,1.0197,1503,500,1503,500,13.3712,7.7453,3.33206e-05,0.00889632,0.000106246,0.0154907
200,Hankel Q rollout,1,1.0003,1.0292,1503,500,1503,500,1.0027,1.0019,0.000664303,0.000667148,0.00199828,0.00200377
200,Hankel a0 rollout,456,2.7418,1.4178,1503,500,1503,500,1.3050,1.0625,0.00056925,0.000868232,0.00189401,0.00212496
200,Hankel a1 rollout,464,3.3644,1.5832,1503,500,1503,500,1.2813,1.0676,0.00056322,0.000852491,0.00194092,0.00213523
300,Hankel Q rollout,1,1.0000,1.0082,1503,500,1503,500,1.0002,1.0001,0.000663867,0.000665461,0.00199672,0.00200027
300,Hankel a0 rollout,45,2.1444,1.1605,1503,500,1503,500,3.2461,2.4212,0.000516577,0.00215976,0.00156604,0.00484237
300,Hankel a1 rollout,103,2.3318,1.1527,1503,500,1503,500,4.3065,3.6185,0.000406365,0.0028653,0.0013693,0.00723697
400,Hankel Q rollout,1,1.0000,1.0054,1503,500,1503,500,1.0001,1.0001,0.00066432,0.000665413,0.00199747,0.00200025
400,Hankel a0 rollout,29,2.1868,1.1697,1503,500,1503,500,1.1049,1.0497,0.000532245,0.0007351,0.00175926,0.00209949
400,Hankel a1 rollout,35,2.4128,1.1395,1503,500,1503,500,1.0718,1.0677,0.000467999,0.000713129,0.00171892,0.00213532
500,Hankel Q rollout,1,1.0000,1.0043,1503,500,1503,500,1.0002,1.0001,0.000664591,0.000665443,0.00199806,0.00200024
500,Hankel a0 rollout,51,2.1552,1.1641,1503,500,1503,500,4.5568,2.8562,0.000540892,0.0030318,0.00167173,0.00571238
500,Hankel a1 rollout,126,2.3684,1.1251,1503,500,1503,500,5.0434,2.9975,0.000437733,0.00335557,0.00151391,0.00599509
600,Hankel Q rollout,1,1.0008,1.1903,1503,500,1503,500,1.1975,1.1537,0.000507764,0.00079674,0.00156188,0.00230738
600,Hankel a0 rollout,231,2.1924,1.2077,1503,500,1503,500,3.5576,2.1014,2.48718e-05,0.00236697,0.000368389,0.00420287
600,Hankel a1 rollout,259,1.8529,1.1753,1503,500,1503,500,2.4032,1.7708,1.33177e-05,0.00159897,0.000921841,0.00354166
700,Hankel Q rollout,1,1.0002,1.0458,1503,500,1503,500,1.0419,1.0377,0.000616183,0.000693247,0.00185462,0.00207538
700,Hankel a0 rollout,290,2.6937,1.4481,1503,500,1503,500,2.7860,1.7085,8.41659e-05,0.00185366,0.000586128,0.00341693
700,Hankel a1 rollout,337,3.8666,1.6635,1503,500,1503,500,2.1660,1.4583,0.000199432,0.00144115,0.000757404,0.00291669
800,Hankel Q rollout,1,1.0000,1.0027,1503,500,1503,500,1.0001,1.0001,0.000664897,0.000665419,0.00199888,0.00200019
800,Hankel a0 rollout,76,2.1758,1.1915,1503,500,1503,500,4.4490,3.0265,0.000459652,0.00296009,0.00144953,0.00605298
800,Hankel a1 rollout,142,2.3218,1.1486,1503,500,1503,500,5.8700,3.1144,0.000427765,0.00390554,0.00136425,0.00622877
900,Hankel Q rollout,1,1.0000,1.0022,1503,500,1503,500,1.0001,1.0001,0.000664928,0.000665379,0.00199906,0.0020001
900,Hankel a0 rollout,35,2.1206,1.1797,1503,500,1503,500,2.9861,2.1948,0.000560536,0.00198673,0.00171181,0.00438957
900,Hankel a1 rollout,44,2.3015,1.1453,1503,500,1503,500,5.6962,4.7624,0.000513755,0.00378989,0.00157895,0.00952473
