episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,2,1.0017,1.3956,1503,500,1503,500,8.4936,7.4968,0.00023873,0.00565111,0.000860335,0.0149936
0,Hankel a0 rollout,2,1.0045,1.0867,1503,500,1503,500,7.2873,5.5508,0.000335005,0.00484848,0.00105492,0.0111016
0,Hankel a1 rollout,2,1.0038,1.2164,1503,500,1503,500,8.3199,7.6298,0.000294749,0.00553554,0.000983286,0.0152595
100,Hankel Q rollout,1,1.0003,1.0295,1503,500,1503,500,1.0476,1.0381,0.000592787,0.000696998,0.00181257,0.00207612
100,Hankel a0 rollout,103,1.6020,5.4233,1503,500,1503,500,10.3634,4.8430,3.70166e-05,0.00689513,0.000259348,0.00968609
100,Hankel a1 rollout,25,1.0334,1.9433,1503,500,1503,500,16.6710,16.5818,9.00133e-05,0.0110918,0.000333753,0.0331636
200,Hankel Q rollout,1,1.0001,1.0115,1503,500,1503,500,1.0003,1.0003,0.000663998,0.000665552,0.00199633,0.00200051
200,Hankel a0 rollout,25,2.2316,1.1017,1503,500,1503,500,1.1250,1.0641,0.000588537,0.00074851,0.00189745,0.00212816
200,Hankel a1 rollout,67,2.3041,1.1577,1503,500,1503,500,4.7706,5.4994,0.0005145,0.00317402,0.00170037,0.0109988
300,Hankel Q rollout,1,1.0000,1.0069,1503,500,1503,500,1.0003,1.0002,0.000664219,0.000665512,0.00199741,0.00200031
300,Hankel a0 rollout,55,2.1280,1.1535,1503,500,1503,500,3.1280,1.8983,0.000396426,0.00208119,0.00153656,0.00379661
300,Hankel a1 rollout,67,2.3059,1.1300,1503,500,1503,500,4.8759,3.9168,0.000458741,0.00324413,0.00144439,0.00783366
400,Hankel Q rollout,1,1.0000,1.0048,1503,500,1503,500,1.0002,1.0001,0.000664699,0.000665443,0.00199827,0.00200027
400,Hankel a0 rollout,47,2.1264,1.2178,1503,500,1503,500,1.0691,1.0589,0.000616897,0.000711343,0.00187701,0.00211781
400,Hankel a1 rollout,41,2.2334,1.1446,1503,500,1503,500,5.2433,4.8518,0.000574323,0.00348855,0.00174819,0.00970357
500,Hankel Q rollout,1,1.0000,1.0039,1503,500,1503,500,1.0001,1.0001,0.000664571,0.00066543,0.00199826,0.00200023
500,Hankel a0 rollout,22,2.1176,1.1973,1503,500,1503,500,1.2837,1.1645,0.000459976,0.000854099,0.00178997,0.00232895
500,Hankel a1 rollout,32,2.3189,1.1130,1503,500,1503,500,1.1120,1.0664,0.000510694,0.000739863,0.00169959,0.00213287
600,Hankel Q rollout,1,1.0000,1.0033,1503,500,1503,500,1.0001,1.0001,0.000664744,0.000665415,0.00199851,0.00200021
600,Hankel a0 rollout,27,2.1257,1.1983,1503,500,1503,500,1.5031,1.2387,0.000508071,0.00100009,0.0018156,0.00247741
600,Hankel a1 rollout,36,2.2787,1.1383,1503,500,1503,500,1.5315,1.1505,0.000550261,0.00101895,0.00175021,0.00230109
700,Hankel Q rollout,1,1.0000,1.0028,1503,500,1503,500,1.0001,1.0000,0.000664844,0.000665395,0.00199878,0.00200009
700,Hankel a0 rollout,84,2.1786,1.1935,1503,500,1503,500,2.9704,2.2310,0.000357479,0.00197632,0.0011957,0.00446191
700,Hankel a1 rollout,82,2.3477,1.1201,1503,500,1503,500,4.4049,3.5025,0.000391851,0.00293071,0.00128901,0.00700509
800,Hankel Q rollout,1,1.0000,1.0026,1503,500,1503,500,1.0001,1.0000,0.000664882,0.00066538,0.00199882,0.00200009
800,Hankel a0 rollout,78,2.1135,1.2061,1503,500,1503,500,2.8945,2.4468,0.000513309,0.00192584,0.0016039,0.00489362
800,Hankel a1 rollout,94,2.2836,1.1165,1503,500,1503,500,5.9388,4.2455,0.000514964,0.00395127,0.00156914,0.00849102
900,Hankel Q rollout,1,1.0000,1.0023,1503,500,1503,500,1.0001,1.0001,0.000665014,0.000665386,0.00199911,0.00200012
900,Hankel a0 rollout,26,2.1603,1.1731,1503,500,1503,500,3.0465,2.2605,0.000496864,0.00202695,0.00179438,0.00452102
900,Hankel a1 rollout,40,2.3005,1.1314,1503,500,1503,500,2.0837,2.0268,0.000506357,0.00138634,0.00167488,0.00405356
