episode,reward,steps
0,6.192983,1000
1,5.778518,1000
2,2.376806,1000
3,0.011264,1000
4,-4.536772,1000
5,1.095376,1000
6,15.189446,1000
7,5.879065,1000
8,-8.308197,1000
9,-13.434587,1000
10,8.964546,1000
11,34.694591,1000
12,22.35878,1000
13,22.103212,1000
14,18.969163,1000
15,29.665026,1000
16,32.329131,1000
17,29.981411,1000
18,39.059937,1000
19,7.336109,1000
20,30.891893,1000
21,34.964885,1000
22,1.191032,1000
23,44.239355,1000
24,13.126388,1000
25,16.353504,1000
26,9.161352,1000
27,7.384376,1000
28,5.826474,1000
29,3.043186,1000
30,4.212612,1000
31,4.381083,1000
32,17.830999,1000
33,12.795806,1000
34,8.345637,1000
35,12.895346,1000
36,27.768421,1000
37,23.560047,1000
38,7.790323,1000
39,5.40815,1000
40,9.677603,1000
41,11.961622,1000
42,11.207821,1000
43,14.810759,1000
44,12.682865,1000
45,15.687423,1000
46,11.114511,1000
47,13.825109,1000
48,12.443676,1000
49,15.284079,1000
50,14.537691,1000
51,14.134676,1000
52,17.006636,1000
53,9.440801,1000
54,15.33377,1000
55,15.446622,1000
56,15.976628,1000
57,16.025326,1000
58,15.092437,1000
59,17.529699,1000
60,18.769287,1000
61,27.180893,1000
62,19.064183,1000
63,23.816752,1000
64,-19.785314,1000
65,1.787909,1000
66,-10.697694,1000
67,-10.139725,1000
68,-2.80169,1000
69,-0.609063,1000
70,-1.286022,1000
71,1.924604,1000
72,0.754948,1000
73,1.085593,1000
74,2.145404,1000
75,10.275937,1000
76,8.944531,1000
77,2.463941,1000
78,9.610205,1000
79,7.968172,1000
80,10.283228,1000
81,22.709991,1000
82,17.300434,1000
83,-6.586428,1000
84,2.97449,1000
85,21.79105,1000
86,18.853157,1000
87,10.34974,1000
88,9.400609,1000
89,15.793001,1000
90,14.096748,1000
91,14.295586,1000
92,12.604883,1000
93,14.577176,1000
94,15.447685,1000
95,19.514094,1000
96,14.016859,1000
97,7.953742,1000
98,14.310995,1000
99,-9.044976,1000
100,9.451029,1000
101,17.836481,1000
102,16.442557,1000
103,31.794292,1000
104,30.399654,1000
105,12.877457,1000
106,20.8197,1000
107,31.663718,1000
108,27.315437,1000
109,29.813375,1000
110,32.159448,1000
111,31.94167,1000
112,24.114858,1000
113,36.918576,1000
114,39.028367,1000
115,37.618286,1000
116,37.866865,1000
117,34.741815,1000
118,36.300538,1000
119,35.752335,1000
120,31.911736,1000
121,28.476788,1000
122,51.568108,1000
123,43.896304,1000
124,36.551799,1000
125,33.347345,1000
126,36.050699,1000
127,32.80322,1000
128,30.676979,1000
129,26.930966,1000
130,50.110262,1000
131,47.105175,1000
132,53.869455,1000
133,56.368997,1000
134,58.713669,1000
135,62.315171,1000
136,62.198369,1000
137,54.115542,1000
138,48.509113,1000
139,45.398607,1000
140,51.948587,1000
141,52.593884,1000
142,60.33542,1000
143,58.673778,1000
144,55.547341,1000
145,64.826019,1000
146,59.760345,1000
147,64.395246,1000
148,68.849693,1000
149,64.672455,1000
150,63.355429,1000
151,57.170311,1000
152,52.761962,1000
153,67.25046,1000
154,48.889858,1000
155,43.30599,1000
156,43.811145,1000
157,48.877574,1000
158,43.097027,1000
159,44.619833,1000
160,43.825296,1000
161,38.977454,1000
162,31.364965,1000
163,19.186995,1000
164,20.397753,1000
165,42.265662,1000
166,37.170306,1000
167,33.683689,1000
168,37.454779,1000
169,39.587676,1000
170,41.775899,1000
171,39.895865,1000
172,36.449728,1000
173,36.006896,1000
174,38.798045,1000
175,33.16811,1000
176,32.666549,1000
177,35.180706,1000
178,46.927427,1000
179,47.966814,1000
180,40.113575,1000
181,48.345211,1000
182,48.909675,1000
183,44.683977,1000
184,49.199065,1000
185,47.708911,1000
186,45.544447,1000
187,48.28131,1000
188,39.328145,1000
189,48.719335,1000
190,28.63563,1000
191,33.793569,1000
192,26.50312,1000
193,26.972709,1000
194,26.456401,1000
195,29.176623,1000
196,28.148512,1000
197,26.518031,1000
198,29.255939,1000
199,34.642266,1000
200,29.514419,1000
201,47.680938,1000
202,50.017874,1000
203,45.499657,1000
204,47.2972,1000
205,47.510402,1000
206,46.894763,1000
207,50.248905,1000
208,49.647765,1000
209,52.640442,1000
210,48.589921,1000
211,52.706306,1000
212,46.286714,1000
213,47.205858,1000
214,51.445764,1000
215,49.936422,1000
216,51.2117,1000
217,51.844476,1000
218,47.355561,1000
219,54.032797,1000
220,53.418657,1000
221,53.337619,1000
222,49.206402,1000
223,56.626349,1000
224,53.797249,1000
225,55.480016,1000
226,54.879345,1000
227,56.501265,1000
228,50.454201,1000
229,26.202476,1000
230,27.706831,1000
231,31.221147,1000
232,34.055491,1000
233,28.579973,1000
234,48.367818,1000
235,41.686316,1000
236,39.352672,1000
