episode,reward,steps
0,2.85156,1000
1,-14.42816,1000
2,0.28204,1000
3,20.981279,1000
4,-5.250202,1000
5,17.066227,1000
6,1.690737,1000
7,-22.428763,1000
8,13.147558,1000
9,-2.423,1000
10,24.737959,1000
11,26.161814,1000
12,30.58777,1000
13,33.784337,1000
14,32.878825,1000
15,27.155519,1000
16,35.25939,1000
17,24.430632,1000
18,32.283727,1000
19,26.74149,1000
20,29.381489,1000
21,24.256382,1000
22,24.520705,1000
23,23.298004,1000
24,13.915555,1000
25,34.235632,1000
26,-7.990135,1000
27,-9.506888,1000
28,-4.744836,1000
29,0.98105,1000
30,16.937247,1000
31,15.673978,1000
32,13.757093,1000
33,5.368059,1000
34,-0.134132,1000
35,28.691584,1000
36,34.152622,1000
37,31.529192,1000
38,34.899069,1000
39,29.64923,1000
40,23.739082,1000
41,29.11272,1000
42,-1.794657,1000
43,23.880141,1000
44,31.169379,1000
45,9.603893,1000
46,18.428098,1000
47,7.764091,1000
48,3.168993,1000
49,19.804293,1000
50,24.259326,1000
51,59.208624,1000
52,39.118871,1000
53,16.512533,1000
54,36.421672,1000
55,28.96882,1000
56,30.242607,1000
57,33.324175,1000
58,32.528193,1000
59,35.973967,1000
60,39.030718,1000
61,28.940139,1000
62,10.443507,1000
63,-20.638547,1000
64,-20.959166,1000
65,35.775354,1000
66,-24.354561,1000
67,7.230007,1000
68,11.297157,1000
69,20.043239,1000
70,18.374096,1000
71,-0.48669,1000
72,19.61199,1000
73,21.942409,1000
74,21.042106,1000
75,13.009367,1000
76,14.718567,1000
77,11.245593,1000
78,16.690043,1000
79,9.624808,1000
80,20.29772,1000
81,26.875188,1000
82,25.652414,1000
83,31.166726,1000
84,17.965555,1000
85,28.537993,1000
86,8.347191,1000
87,-24.181965,1000
88,48.778749,1000
89,2.829489,1000
90,1.58547,1000
91,3.439424,1000
92,16.456254,1000
93,15.380341,1000
94,17.238277,1000
95,14.246859,1000
96,0.153125,1000
97,2.68568,1000
98,23.157635,1000
99,14.639951,1000
100,9.495274,1000
101,-4.836966,1000
102,10.710749,1000
103,13.447373,1000
104,-10.017823,1000
105,-11.120768,1000
106,-9.917088,1000
107,-16.906063,1000
108,11.646477,1000
109,13.587582,1000
110,12.085279,1000
111,33.297643,1000
112,12.575668,1000
113,16.272804,1000
114,21.440352,1000
115,-6.094777,1000
116,2.477757,1000
117,11.826842,1000
118,23.745024,1000
119,22.98134,1000
120,11.245892,1000
121,25.171726,1000
122,37.729363,1000
123,26.97853,1000
124,38.5273,1000
125,8.877254,1000
126,24.205965,1000
127,18.453932,1000
128,23.265191,1000
129,38.481961,1000
130,29.002667,1000
131,29.781331,1000
132,39.122608,1000
133,19.265395,1000
134,17.155183,1000
135,1.718714,1000
136,39.185423,1000
137,27.071229,1000
138,23.549002,1000
139,32.447796,1000
140,25.143386,1000
141,21.429792,1000
142,22.736518,1000
143,27.629825,1000
144,24.607087,1000
145,29.03567,1000
146,26.590042,1000
147,25.920787,1000
148,20.157927,1000
149,24.177348,1000
150,12.07648,1000
151,5.266794,1000
152,39.579753,1000
153,36.75607,1000
154,23.620387,1000
155,57.431703,1000
156,54.117351,1000
157,42.134426,1000
158,43.801919,1000
159,44.567099,1000
160,36.528065,1000
161,14.600604,1000
162,44.828644,1000
163,34.516734,1000
164,33.837248,1000
165,-6.931391,1000
166,24.864548,1000
167,-0.350106,1000
168,20.012325,1000
169,16.646219,1000
170,-1.350586,1000
171,20.815189,1000
172,12.104913,1000
173,25.06397,1000
174,26.843703,1000
175,23.834858,1000
176,7.945125,1000
177,0.699596,1000
178,28.000296,1000
179,23.164098,1000
180,17.406503,1000
181,24.439776,1000
182,19.675555,1000
183,19.447173,1000
184,25.601944,1000
185,23.086188,1000
186,23.153013,1000
187,21.65239,1000
188,9.174446,1000
189,19.088062,1000
190,31.876286,1000
191,27.378477,1000
192,34.429205,1000
193,21.846799,1000
194,19.392263,1000
195,23.425015,1000
196,25.60193,1000
197,40.773774,1000
198,35.213674,1000
199,36.782416,1000
200,42.228516,1000
201,30.076191,1000
202,28.736235,1000
203,30.985682,1000
204,22.677398,1000
205,31.194204,1000
206,51.637508,1000
207,52.704781,1000
208,33.373881,1000
209,40.988005,1000
210,43.332734,1000
211,42.8846,1000
212,47.566865,1000
213,50.509077,1000
214,50.167811,1000
215,47.791721,1000
216,50.012107,1000
217,43.33005,1000
218,44.87801,1000
219,45.06873,1000
220,47.011624,1000
221,59.805912,1000
222,50.687172,1000
223,49.3235,1000
224,59.333693,1000
225,52.954217,1000
226,53.305277,1000
227,61.794213,1000
228,60.937391,1000
229,53.946115,1000
230,53.520165,1000
231,47.957238,1000
232,53.617909,1000
233,58.775327,1000
234,44.097672,1000
235,49.854544,1000
236,56.427934,1000
237,33.853865,1000
238,48.671021,1000
239,49.870649,1000
240,55.09822,1000
241,56.3829,1000
242,51.435804,1000
243,60.533401,1000
244,59.579205,1000
245,57.82757,1000
246,43.668227,1000
247,47.823182,1000
248,57.503819,1000
249,51.87482,1000
250,45.574719,1000
251,48.123282,1000
252,32.936087,1000
253,47.311609,1000
254,45.045821,1000
255,48.701329,1000
256,30.932288,1000
257,21.649404,1000
258,29.76198,1000
259,24.024072,1000
260,22.291122,1000
261,37.288905,1000
262,35.119506,1000
263,42.432414,1000
264,48.028054,1000
265,25.626469,1000
266,36.122095,1000
267,31.798023,1000
268,32.493005,1000
269,22.169792,1000
270,40.680947,1000
271,26.432966,1000
272,38.248333,1000
273,21.587857,1000
274,25.60714,1000
275,19.365857,1000
276,18.289494,1000
277,17.003918,1000
278,56.978991,1000
279,4.395869,1000
280,31.737963,1000
281,33.471732,1000
282,25.224914,1000
283,17.068258,1000
284,24.153511,1000
285,20.05134,1000
286,30.038712,1000
287,44.20283,1000
