episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,4,1.0251,1.2524,1503,500,1503,500,5.5502,4.9016,0.000387206,0.00369277,0.00133862,0.00980312
0,Hankel a0 rollout,38,2.0998,3.9036,1503,500,1503,500,5.2825,5.1726,0.000257794,0.00351466,0.00084734,0.0103451
0,Hankel a1 rollout,9,1.1451,1.8233,1503,500,1503,500,5.9190,4.8703,0.000280507,0.00393813,0.00119905,0.00974054
100,Hankel Q rollout,3,1.0053,1.0860,1503,500,1503,500,1.1306,1.0839,0.000515504,0.000752218,0.0015374,0.00216789
100,Hankel a0 rollout,394,2.5053,1.0187,1503,500,1503,500,1.4545,1.2466,0.000513835,0.000967759,0.00180672,0.00249312
100,Hankel a1 rollout,427,2.5196,1.0336,1503,500,1503,500,1.5628,1.1525,0.000529373,0.00103981,0.00181282,0.00230506
200,Hankel Q rollout,1,1.0004,1.0244,1503,500,1503,500,1.0015,1.0013,0.00066195,0.000666357,0.0019921,0.00200266
200,Hankel a0 rollout,326,2.4185,1.0097,1503,500,1503,500,1.7598,1.4614,0.000265227,0.00117084,0.00171984,0.00292284
200,Hankel a1 rollout,295,2.3912,1.0333,1503,500,1503,500,1.9761,1.6063,0.000226983,0.00131475,0.00166953,0.00321251
300,Hankel Q rollout,1,1.0001,1.0143,1503,500,1503,500,1.0005,1.0004,0.000663662,0.000665647,0.00199547,0.00200074
300,Hankel a0 rollout,21,2.4505,1.0004,1503,500,1503,500,1.0381,1.0360,0.000608644,0.000690711,0.00182996,0.0020719
300,Hankel a1 rollout,33,2.3511,1.0312,1503,500,1503,500,7.7652,7.0071,0.000565321,0.00516647,0.00168268,0.0140142
400,Hankel Q rollout,1,1.0001,1.0107,1503,500,1503,500,1.0006,1.0005,0.000664261,0.000665733,0.00199726,0.00200095
400,Hankel a0 rollout,166,2.3644,1.0237,1503,500,1503,500,3.5992,2.5221,0.000418252,0.00239465,0.00131862,0.00504416
400,Hankel a1 rollout,188,2.3843,1.0342,1503,500,1503,500,3.7844,2.3414,0.000446274,0.0025179,0.00139374,0.00468279
500,Hankel Q rollout,1,1.0000,1.0072,1503,500,1503,500,1.0003,1.0002,0.000664443,0.000665552,0.00199779,0.00200044
500,Hankel a0 rollout,131,2.3037,1.0420,1503,500,1503,500,4.0995,2.8125,0.00023748,0.00272752,0.00113351,0.00562507
500,Hankel a1 rollout,202,2.3661,1.0227,1503,500,1503,500,3.5435,2.2766,0.000223206,0.00235761,0.00106697,0.00455329
600,Hankel Q rollout,2,1.0019,1.3551,1503,500,1503,500,6.2111,2.8664,0.000287849,0.00413247,0.00102872,0.00573272
600,Hankel a0 rollout,401,1.5004,1.1071,1503,500,1503,500,2.6919,1.2389,2.62171e-06,0.00179103,0.00167438,0.00247784
600,Hankel a1 rollout,416,1.5647,1.8879,1503,500,1503,500,2.6184,1.1985,1.36786e-10,0.0017421,0.00169666,0.00239699
700,Hankel Q rollout,1,1.0002,1.0684,1503,500,1503,500,1.1066,1.0818,0.000580017,0.000736249,0.00175694,0.00216351
700,Hankel a0 rollout,123,1.1130,1.0701,1503,500,1503,500,7.8102,3.9717,8.4056e-06,0.00519643,6.02471e-05,0.00794338
700,Hankel a1 rollout,102,1.0560,1.0014,1503,500,1503,500,7.9039,4.6812,8.9927e-06,0.00525876,2.9848e-05,0.00936241
800,Hankel Q rollout,2,1.0011,1.4479,1503,500,1503,500,2.4371,2.3974,0.000300204,0.00162147,0.000910898,0.00479477
800,Hankel a0 rollout,476,3.9948,1.0158,1503,500,1503,500,1.3419,1.0397,0.000469613,0.000892809,0.00185191,0.00207945
800,Hankel a1 rollout,472,4.7534,1.0053,1503,500,1503,500,1.3365,1.0418,0.000512314,0.000889212,0.00185192,0.00208359
900,Hankel Q rollout,1,1.0002,1.4464,1503,500,1503,500,1.4949,1.4803,0.000406736,0.000994611,0.00123391,0.00296063
900,Hankel a0 rollout,477,6.7967,1.0051,1503,500,1503,500,1.2319,1.0328,0.000466653,0.000819645,0.00174357,0.00206568
900,Hankel a1 rollout,476,6.2444,1.0082,1503,500,1503,500,1.1814,1.0228,0.000553048,0.000786025,0.00193346,0.00204552
