episode,matrix,eff_rank,stable_rank,spikiness,n_rows,n_cols,nnz_rows,nnz_cols,row_coherence,col_coherence,row_lev_min,row_lev_max,col_lev_min,col_lev_max
0,Hankel Q rollout,4,1.0251,1.2524,1503,500,1503,500,5.5502,4.9016,0.000387206,0.00369277,0.00133862,0.00980312
0,Hankel a0 rollout,38,2.0998,3.9036,1503,500,1503,500,5.2825,5.1726,0.000257794,0.00351466,0.00084734,0.0103451
0,Hankel a1 rollout,9,1.1451,1.8233,1503,500,1503,500,5.9190,4.8703,0.000280507,0.00393813,0.00119905,0.00974054
100,Hankel Q rollout,4,1.0033,1.0706,1503,500,1503,500,1.3522,1.2760,0.000432577,0.000899687,0.00145039,0.00255199
100,Hankel a0 rollout,320,2.3705,1.0304,1503,500,1503,500,2.2122,1.4541,0.000212793,0.00147186,0.00151008,0.00290814
100,Hankel a1 rollout,378,2.5067,1.0334,1503,500,1503,500,2.0792,1.2665,0.000187841,0.00138338,0.0014533,0.00253307
200,Hankel Q rollout,1,1.0003,1.0215,1503,500,1503,500,1.0007,1.0007,0.000663302,0.000665815,0.00199471,0.00200131
200,Hankel a0 rollout,87,2.3088,1.0337,1503,500,1503,500,6.7729,4.3063,0.00034629,0.00450622,0.00109593,0.00861269
200,Hankel a1 rollout,75,2.3869,1.0328,1503,500,1503,500,7.0362,4.2302,0.000383254,0.00468145,0.00117055,0.00846043
300,Hankel Q rollout,1,1.0001,1.0124,1503,500,1503,500,1.0004,1.0004,0.000664046,0.000665602,0.00199672,0.00200078
300,Hankel a0 rollout,72,2.3218,1.0336,1503,500,1503,500,6.7464,3.5599,0.000395599,0.00448863,0.00119553,0.00711977
300,Hankel a1 rollout,66,2.3138,1.0440,1503,500,1503,500,8.5104,5.7675,0.000414428,0.00566231,0.00123215,0.011535
400,Hankel Q rollout,1,1.0000,1.0093,1503,500,1503,500,1.0004,1.0003,0.000664503,0.000665594,0.00199771,0.00200055
400,Hankel a0 rollout,41,2.3128,1.0466,1503,500,1503,500,4.5477,2.7955,0.00057541,0.00302575,0.0018051,0.00559096
400,Hankel a1 rollout,42,2.3600,1.0313,1503,500,1503,500,4.1959,3.2583,0.000518691,0.00279169,0.00168129,0.00651651
500,Hankel Q rollout,2,1.0018,1.7000,1503,500,1503,500,1.9648,1.9276,0.000321517,0.00130724,0.000972318,0.00385529
500,Hankel a0 rollout,472,6.1301,1.0092,1503,500,1503,500,1.2372,1.0359,0.00044943,0.000823145,0.00164713,0.00207174
500,Hankel a1 rollout,463,4.6675,1.0053,1503,500,1503,500,1.5101,1.0575,0.000528335,0.00100473,0.00195354,0.00211502
600,Hankel Q rollout,1,1.0005,1.5699,1503,500,1503,500,1.6313,1.6215,0.000328254,0.00108536,0.00100547,0.00324299
600,Hankel a0 rollout,441,4.5251,1.0053,1503,500,1503,500,1.5834,1.1165,0.000502532,0.0010535,0.00176329,0.00223309
600,Hankel a1 rollout,458,3.9255,1.0050,1503,500,1503,500,1.2605,1.0693,0.00053255,0.000838649,0.00185133,0.00213858
700,Hankel Q rollout,1,1.0002,1.4717,1503,500,1503,500,1.5297,1.5215,0.000374852,0.00101776,0.00114275,0.003043
700,Hankel a0 rollout,469,8.7155,1.0069,1503,500,1503,500,1.2892,1.0401,0.000519926,0.000857728,0.00190408,0.0020802
700,Hankel a1 rollout,448,3.3243,1.0166,1503,500,1503,500,1.3236,1.0886,0.000497126,0.000880654,0.00186943,0.00217717
800,Hankel Q rollout,1,1.0002,1.3739,1503,500,1503,500,1.4275,1.4208,0.000412222,0.000949784,0.00125456,0.00284154
800,Hankel a0 rollout,454,6.7373,1.0076,1503,500,1503,500,1.2741,1.0654,0.000563549,0.000847702,0.00187648,0.00213073
800,Hankel a1 rollout,440,2.8798,1.0266,1503,500,1503,500,1.1896,1.0987,0.000547726,0.000791485,0.00183182,0.00219742
900,Hankel Q rollout,1,1.0002,1.2939,1503,500,1503,500,1.3345,1.3295,0.000453983,0.000887909,0.00137834,0.00265903
900,Hankel a0 rollout,457,5.0028,1.0140,1503,500,1503,500,1.2883,1.0564,0.000546717,0.000857182,0.00194,0.00211275
900,Hankel a1 rollout,449,2.9338,1.0255,1503,500,1503,500,1.3480,1.0471,0.000559791,0.00089688,0.00186476,0.00209429
