episode,reward,steps
0,9.176823,1000
1,-11.344449,1000
2,12.523422,1000
3,13.045963,1000
4,18.516451,1000
5,-6.574488,1000
6,-11.291789,1000
7,-0.721109,1000
8,10.28085,1000
9,-0.131607,1000
10,25.415147,1000
11,29.12926,1000
12,25.83178,1000
13,26.05353,1000
14,18.025814,1000
15,30.444426,1000
16,22.58186,1000
17,20.274173,1000
18,20.460452,1000
19,27.168154,1000
20,13.720395,1000
21,24.171301,1000
22,16.407308,1000
23,13.861855,1000
24,19.249727,1000
25,15.050292,1000
26,29.441935,1000
27,53.706856,1000
28,72.75637,1000
29,50.814854,1000
30,71.065536,1000
31,57.052977,1000
32,62.029359,1000
33,61.587799,1000
34,47.676532,1000
35,28.450447,1000
36,16.608357,1000
37,18.054581,1000
38,51.139694,1000
39,46.219345,1000
40,36.628214,1000
41,39.640427,1000
42,20.082994,1000
43,13.691508,1000
44,51.473227,1000
45,34.207812,1000
46,29.360892,1000
47,34.211047,1000
48,46.66264,1000
49,37.780218,1000
50,57.268018,1000
51,52.533381,1000
52,43.236003,1000
53,43.531955,1000
54,42.404076,1000
55,48.083971,1000
56,35.878525,1000
57,45.838565,1000
58,38.156073,1000
59,46.508904,1000
60,50.452509,1000
61,22.033323,1000
62,51.402657,1000
63,14.27507,1000
64,46.786146,1000
65,57.676259,1000
66,51.648642,1000
67,46.831807,1000
68,50.287923,1000
69,52.788965,1000
70,44.697121,1000
71,60.280625,1000
72,46.444681,1000
73,64.574557,1000
74,60.689028,1000
75,65.317347,1000
76,68.315905,1000
77,73.494795,1000
78,35.161724,1000
79,74.662213,1000
80,77.213622,1000
81,92.732767,1000
82,85.583827,1000
83,92.673713,1000
84,78.407474,1000
85,68.626665,1000
86,109.536771,1000
87,82.519047,1000
88,119.172665,1000
89,129.670159,1000
90,103.638208,1000
91,118.118792,1000
92,96.684319,1000
93,98.868921,1000
94,131.571058,1000
95,111.482073,1000
96,100.715804,1000
97,132.452817,1000
98,112.481424,1000
99,110.361459,1000
100,124.759833,1000
101,118.519479,1000
102,108.144297,1000
103,133.85518,1000
104,137.729162,1000
105,183.869666,1000
106,159.029244,1000
107,197.564466,1000
108,185.043419,1000
109,204.640519,1000
110,211.917957,1000
111,190.543838,1000
112,201.829176,1000
113,175.305248,1000
114,208.157862,1000
115,209.718258,1000
