arm,seed,variant,eval@100k,eval@30k,eval@60k,eval_final,eval_to-110,eval_to-120,eval_to-140,eval_to-160,total_steps,train_final25,train_to-110,train_to-120,train_to-140,train_to-160
baseline,66,gamma99,-103.2,-200.0,-200.0,-148.4,80001.0,80001.0,80001.0,80001.0,149914.0,-122.92,134298.0,79214.0,77738.0,71882.0
baseline,44,gamma99,-166.1,-200.0,-200.0,-128.4,110001.0,85001.0,85001.0,85001.0,149937.0,-126.32,126507.0,125638.0,106810.0,67458.0
baseline,52,gamma99,-117.4,-200.0,-200.0,-103.3,140001.0,95001.0,95001.0,95001.0,149970.0,-121.96,142967.0,142541.0,113971.0,92641.0
exp2,44,gamma99,-129.4,-200.0,-200.0,-134.9,,110001.0,85001.0,60001.0,149991.0,-162.68,,129104.0,90234.0,58099.0
exp2,66,gamma99,-147.6,-200.0,-200.0,-136.0,110001.0,90001.0,90001.0,60001.0,149923.0,-139.72,88156.0,84638.0,80561.0,69021.0
exp2,52,gamma99,-200.0,-200.0,-200.0,-119.4,125001.0,125001.0,120001.0,115001.0,149996.0,-113.96,135181.0,132603.0,111103.0,101877.0
exp1,66,gamma99,-147.7,-200.0,-200.0,-103.0,65001.0,65001.0,65001.0,65001.0,149991.0,-139.04,107745.0,103548.0,82169.0,62788.0
exp1,52,gamma99,-200.0,-200.0,-200.0,-130.6,,,150000.0,145001.0,149874.0,-177.2,,,,
exp1,44,gamma99,-200.0,-200.0,-200.0,-162.4,,,,145001.0,149925.0,-173.68,,,,140184.0
baseline,66,buf100k,-146.8,-200.0,-200.0,-111.3,105001.0,105001.0,105001.0,75001.0,149900.0,-118.48,119078.0,103015.0,82193.0,62005.0
baseline,44,buf100k,-172.0,-200.0,-200.0,-167.3,,130001.0,100001.0,85001.0,149930.0,-145.12,,108260.0,88897.0,74215.0
baseline,52,buf100k,-200.0,-200.0,-200.0,-200.0,,,,145001.0,149850.0,-185.88,,,,
exp1,44,buf100k,-103.3,-200.0,-200.0,-173.7,95001.0,95001.0,70001.0,70001.0,149962.0,-126.12,139090.0,119623.0,91502.0,88281.0
exp1,66,buf100k,-150.0,-200.0,-200.0,-108.0,105001.0,105001.0,90001.0,85001.0,149945.0,-115.28,114869.0,107216.0,84774.0,78014.0
exp1,52,buf100k,-200.0,-200.0,-200.0,-115.8,140001.0,135001.0,130001.0,80001.0,149888.0,-121.56,,141724.0,118745.0,99303.0
exp2,44,buf100k,-145.8,-200.0,-200.0,-126.0,135001.0,130001.0,105001.0,95001.0,149962.0,-123.2,137607.0,137063.0,84288.0,83043.0
exp2,52,buf100k,-200.0,-200.0,-200.0,-146.2,140001.0,140001.0,130001.0,125001.0,149902.0,-150.44,,,135910.0,130084.0
exp2,66,buf100k,-200.0,-200.0,-200.0,-200.0,,,,,149918.0,-195.24,,,,
baseline,66,polyak,-121.1,-200.0,-200.0,-103.7,135001.0,90001.0,70001.0,70001.0,149947.0,-145.32,,99416.0,90886.0,70533.0
baseline,52,polyak,-120.7,-200.0,-200.0,-171.6,100001.0,100001.0,95001.0,90001.0,149959.0,-151.52,98779.0,94827.0,74304.0,73512.0
baseline,44,polyak,-200.0,-200.0,-200.0,-106.0,105001.0,105001.0,105001.0,105001.0,149928.0,-123.96,,118863.0,103663.0,100764.0
exp2,66,polyak,-131.0,-200.0,-102.9,-152.0,50001.0,50001.0,45001.0,45001.0,149910.0,-131.52,53561.0,51849.0,48033.0,33971.0
exp2,52,polyak,-101.6,-200.0,-119.8,-101.6,65001.0,55001.0,55001.0,50001.0,149892.0,-120.36,64600.0,63741.0,58245.0,51240.0
exp2,44,polyak,-120.3,-200.0,-197.6,-97.9,100001.0,80001.0,60001.0,60001.0,149883.0,-119.16,78691.0,69829.0,64384.0,55899.0
exp1,66,polyak,-110.5,-200.0,-137.4,-120.8,75001.0,65001.0,45001.0,45001.0,149918.0,-131.56,66922.0,53184.0,46352.0,45244.0
exp1,52,polyak,-136.6,-200.0,-137.3,-105.3,90001.0,90001.0,55001.0,55001.0,149963.0,-132.28,81401.0,70415.0,55760.0,52637.0
exp1,44,polyak,-124.2,-200.0,-200.0,-104.5,65001.0,65001.0,65001.0,50001.0,149981.0,-124.32,69001.0,64535.0,58458.0,49081.0
baseline,52,lr1e3,-148.9,-200.0,-200.0,-102.2,115001.0,105001.0,100001.0,95001.0,124776.0,-107.64,121193.0,114388.0,93748.0,93064.0
baseline,44,lr1e3,-141.6,-200.0,-200.0,-99.3,125001.0,105001.0,100001.0,85001.0,129662.0,-109.68,125728.0,119925.0,100151.0,95014.0
baseline,66,lr1e3,-175.4,-200.0,-200.0,-102.3,120001.0,120001.0,120001.0,105001.0,138767.0,-109.2,126559.0,117107.0,106449.0,105977.0
